team,date,opponent,time,channel
atl,"Wed, Oct 25",Charlotte Hornets,2023-10-25 23:00:00,['NBA LEAGUE PASS']
atl,"Fri, Oct 27",New York Knicks,2023-10-27 23:30:00,['NBA LEAGUE PASS']
atl,"Sun, Oct 29",Milwaukee Bucks,2023-10-29 23:00:00,['NBA LEAGUE PASS']
atl,"Mon, Oct 30",Minnesota Timberwolves,2023-10-30 23:30:00,['NBA LEAGUE PASS']
atl,"Wed, Nov 1",Washington Wizards,2023-11-01 23:30:00,['NBA LEAGUE PASS']
atl,"Sat, Nov 4",New Orleans Pelicans,2023-11-04 23:00:00,['NBA LEAGUE PASS']
atl,"Mon, Nov 6",Oklahoma City Thunder,2023-11-07 01:00:00,['NBA LEAGUE PASS']
atl,"Thu, Nov 9",Orlando Magic,2023-11-10 02:30:00,['NBA TV']
atl,"Sat, Nov 11",Miami Heat,2023-11-12 00:30:00,['NBA LEAGUE PASS']
atl,"Tue, Nov 14",Detroit Pistons,2023-11-15 00:00:00,['NBA LEAGUE PASS']
atl,"Wed, Nov 15",New York Knicks,2023-11-16 00:30:00,['NBA LEAGUE PASS']
atl,"Fri, Nov 17",Philadelphia 76Ers,2023-11-18 00:30:00,['NBA LEAGUE PASS']
atl,"Tue, Nov 21",Indiana Pacers,2023-11-22 00:30:00,['NBA LEAGUE PASS']
atl,"Wed, Nov 22",Brooklyn Nets,2023-11-23 00:30:00,['NBA LEAGUE PASS']
atl,"Sat, Nov 25",Washington Wizards,2023-11-26 00:00:00,['NBA LEAGUE PASS']
atl,"Sun, Nov 26",Boston Celtics,2023-11-26 23:00:00,['NBA LEAGUE PASS']
atl,"Tue, Nov 28",Cleveland Cavaliers,2023-11-29 00:30:00,['NBA LEAGUE PASS']
atl,"Thu, Nov 30",San Antonio Spurs,2023-12-01 01:00:00,['NBA LEAGUE PASS']
atl,"Sat, Dec 2",Milwaukee Bucks,2023-12-03 01:00:00,['NBA LEAGUE PASS']
atl,"Mon, Dec 11",Denver Nuggets,2023-12-12 00:30:00,['NBA LEAGUE PASS']
atl,"Wed, Dec 13",Toronto Raptors,2023-12-14 00:30:00,['NBA LEAGUE PASS']
atl,"Fri, Dec 15",Toronto Raptors,2023-12-16 00:30:00,['NBA LEAGUE PASS']
atl,"Sat, Dec 16",Cleveland Cavaliers,2023-12-17 00:30:00,['NBA TV']
atl,"Mon, Dec 18",Detroit Pistons,2023-12-19 00:30:00,['NBA LEAGUE PASS']
atl,"Wed, Dec 20",Houston Rockets,2023-12-21 01:00:00,['NBA LEAGUE PASS']
atl,"Fri, Dec 22",Miami Heat,2023-12-23 01:00:00,['NBA LEAGUE PASS']
atl,"Sat, Dec 23",Memphis Grizzlies,2023-12-24 00:30:00,['NBA LEAGUE PASS']
atl,"Tue, Dec 26",Chicago Bulls,2023-12-27 01:00:00,['NBA LEAGUE PASS']
atl,"Fri, Dec 29",Sacramento Kings,2023-12-30 00:30:00,['NBA LEAGUE PASS']
atl,"Sun, Dec 31",Washington Wizards,2023-12-31 20:00:00,['NBA LEAGUE PASS']
atl,"Wed, Jan 3",Oklahoma City Thunder,2024-01-04 00:30:00,['NBA LEAGUE PASS']
atl,"Fri, Jan 5",Indiana Pacers,2024-01-06 00:00:00,['NBA LEAGUE PASS']
atl,"Sun, Jan 7",Orlando Magic,2024-01-07 23:00:00,['NBA LEAGUE PASS']
atl,"Wed, Jan 10",Philadelphia 76Ers,2024-01-11 00:30:00,['NBA LEAGUE PASS']
atl,"Fri, Jan 12",Indiana Pacers,2024-01-13 00:30:00,['NBA LEAGUE PASS']
atl,"Sat, Jan 13",Washington Wizards,2024-01-14 00:30:00,['NBA LEAGUE PASS']
atl,"Mon, Jan 15",San Antonio Spurs,2024-01-15 20:30:00,['TNT']
atl,"Wed, Jan 17",Orlando Magic,2024-01-18 00:30:00,['NBA LEAGUE PASS']
atl,"Fri, Jan 19",Miami Heat,2024-01-20 01:00:00,['NBA LEAGUE PASS']
atl,"Sat, Jan 20",Cleveland Cavaliers,2024-01-21 00:30:00,['NBA LEAGUE PASS']
atl,"Mon, Jan 22",Sacramento Kings,2024-01-23 03:00:00,['NBA TV']
atl,"Wed, Jan 24",Golden State Warriors,2024-01-25 03:00:00,['NBA LEAGUE PASS']
atl,"Fri, Jan 26",Dallas Mavericks,2024-01-27 00:00:00,['NBA TV']
atl,"Sun, Jan 28",Toronto Raptors,2024-01-28 23:00:00,['NBA LEAGUE PASS']
atl,"Tue, Jan 30",Los Angeles Lakers,2024-01-31 00:30:00,['NBA LEAGUE PASS']
atl,"Fri, Feb 2",Phoenix Suns,2024-02-03 00:30:00,['NBA LEAGUE PASS']
atl,"Sat, Feb 3",Golden State Warriors,2024-02-04 00:30:00,['NBA LEAGUE PASS']
atl,"Mon, Feb 5",La Clippers,2024-02-06 00:30:00,['NBA LEAGUE PASS']
atl,"Wed, Feb 7",Boston Celtics,2024-02-08 00:30:00,['ESPN']
atl,"Fri, Feb 9",Philadelphia 76Ers,2024-02-10 00:00:00,['NBA TV']
atl,"Sat, Feb 10",Houston Rockets,2024-02-11 00:30:00,['NBA LEAGUE PASS']
atl,"Mon, Feb 12",Chicago Bulls,2024-02-13 00:30:00,['NBA LEAGUE PASS']
atl,"Wed, Feb 14",Charlotte Hornets,2024-02-15 00:00:00,['NBA LEAGUE PASS']
atl,"Fri, Feb 23",Toronto Raptors,2024-02-24 00:30:00,['NBA LEAGUE PASS']
atl,"Sun, Feb 25",Orlando Magic,2024-02-26 00:00:00,['NBA LEAGUE PASS']
atl,"Tue, Feb 27",Utah Jazz,2024-02-28 00:30:00,['NBA LEAGUE PASS']
atl,"Thu, Feb 29",Brooklyn Nets,2024-03-01 00:30:00,['NBA LEAGUE PASS']
atl,"Sat, Mar 2",Brooklyn Nets,2024-03-02 20:00:00,['NBA LEAGUE PASS']
atl,"Tue, Mar 5",New York Knicks,2024-03-06 00:30:00,['TNT']
atl,"Wed, Mar 6",Cleveland Cavaliers,2024-03-07 00:30:00,['NBA LEAGUE PASS']
atl,"Fri, Mar 8",Memphis Grizzlies,2024-03-09 00:30:00,['ESPN']
atl,"Sun, Mar 10",New Orleans Pelicans,2024-03-10 22:00:00,['NBA LEAGUE PASS']
atl,"Wed, Mar 13",Portland Trail Blazers,2024-03-14 02:00:00,['NBA LEAGUE PASS']
atl,"Fri, Mar 15",Utah Jazz,2024-03-16 01:30:00,['NBA TV']
atl,"Sun, Mar 17",La Clippers,2024-03-18 01:30:00,['NBA TV']
atl,"Mon, Mar 18",Los Angeles Lakers,2024-03-19 02:30:00,['NBA LEAGUE PASS']
atl,"Thu, Mar 21",Phoenix Suns,2024-03-22 02:30:00,['NBA TV']
atl,"Sat, Mar 23",Charlotte Hornets,2024-03-23 23:30:00,['NBA LEAGUE PASS']
atl,"Mon, Mar 25",Boston Celtics,2024-03-25 23:30:00,['NBA TV']
atl,"Wed, Mar 27",Portland Trail Blazers,2024-03-27 23:30:00,['NBA LEAGUE PASS']
atl,"Thu, Mar 28",Boston Celtics,2024-03-28 23:30:00,['NBA LEAGUE PASS']
atl,"Sat, Mar 30",Milwaukee Bucks,2024-03-30 23:30:00,['NBA TV']
atl,"Mon, Apr 1",Chicago Bulls,2024-04-02 00:00:00,['NBA LEAGUE PASS']
atl,"Wed, Apr 3",Detroit Pistons,2024-04-03 23:30:00,['NBA LEAGUE PASS']
atl,"Fri, Apr 5",Dallas Mavericks,2024-04-06 00:30:00,['NBA LEAGUE PASS']
atl,"Sat, Apr 6",Denver Nuggets,2024-04-07 01:00:00,['NBA LEAGUE PASS']
atl,"Tue, Apr 9",Miami Heat,2024-04-09 23:30:00,['NBA LEAGUE PASS']
atl,"Wed, Apr 10",Charlotte Hornets,2024-04-10 23:30:00,['NBA LEAGUE PASS']
atl,"Fri, Apr 12",Minnesota Timberwolves,2024-04-13 00:00:00,['NBA LEAGUE PASS']
atl,"Sun, Apr 14",Indiana Pacers,2024-04-14 17:00:00,['NBA LEAGUE PASS']
