team,date,opponent,time,channel
bkn,"Wed, Oct 25",Cleveland Cavaliers,2023-10-25 23:30:00,['NBA LEAGUE PASS']
bkn,"Fri, Oct 27",Dallas Mavericks,2023-10-28 00:30:00,['NBA LEAGUE PASS']
bkn,"Mon, Oct 30",Charlotte Hornets,2023-10-30 23:00:00,['NBA LEAGUE PASS']
bkn,"Wed, Nov 1",Miami Heat,2023-11-01 23:30:00,['NBA LEAGUE PASS']
bkn,"Fri, Nov 3",Chicago Bulls,2023-11-04 00:00:00,['NBA LEAGUE PASS']
bkn,"Sat, Nov 4",Boston Celtics,2023-11-05 00:00:00,['NBA LEAGUE PASS']
bkn,"Mon, Nov 6",Milwaukee Bucks,2023-11-07 00:30:00,['NBA LEAGUE PASS']
bkn,"Wed, Nov 8",La Clippers,2023-11-09 00:30:00,['NBA LEAGUE PASS']
bkn,"Fri, Nov 10",Boston Celtics,2023-11-11 00:30:00,['ESPN']
bkn,"Sun, Nov 12",Washington Wizards,2023-11-12 20:00:00,['NBA LEAGUE PASS']
bkn,"Tue, Nov 14",Orlando Magic,2023-11-15 00:30:00,['NBA LEAGUE PASS']
bkn,"Thu, Nov 16",Miami Heat,2023-11-17 00:30:00,['NBA TV']
bkn,"Sun, Nov 19",Philadelphia 76Ers,2023-11-19 20:00:00,['NBA LEAGUE PASS']
bkn,"Wed, Nov 22",Atlanta Hawks,2023-11-23 00:30:00,['NBA LEAGUE PASS']
bkn,"Sat, Nov 25",Miami Heat,2023-11-25 23:00:00,['NBA LEAGUE PASS']
bkn,"Sun, Nov 26",Chicago Bulls,2023-11-27 00:30:00,['NBA LEAGUE PASS']
bkn,"Tue, Nov 28",Toronto Raptors,2023-11-29 00:30:00,['NBA LEAGUE PASS']
bkn,"Thu, Nov 30",Charlotte Hornets,2023-12-01 00:30:00,['NBA LEAGUE PASS']
bkn,"Sat, Dec 2",Orlando Magic,2023-12-03 00:00:00,['NBA LEAGUE PASS']
bkn,"Mon, Dec 11",Sacramento Kings,2023-12-12 03:00:00,['NBA LEAGUE PASS']
bkn,"Wed, Dec 13",Phoenix Suns,2023-12-14 02:00:00,['NBA LEAGUE PASS']
bkn,"Thu, Dec 14",Denver Nuggets,2023-12-15 02:00:00,['NBA LEAGUE PASS']
bkn,"Sat, Dec 16",Golden State Warriors,2023-12-17 01:30:00,['NBA LEAGUE PASS']
bkn,"Mon, Dec 18",Utah Jazz,2023-12-19 02:00:00,['NBA LEAGUE PASS']
bkn,"Wed, Dec 20",New York Knicks,2023-12-21 00:30:00,['NBA LEAGUE PASS']
bkn,"Fri, Dec 22",Denver Nuggets,2023-12-23 00:30:00,['NBA TV']
bkn,"Sat, Dec 23",Detroit Pistons,2023-12-24 00:30:00,['NBA LEAGUE PASS']
bkn,"Tue, Dec 26",Detroit Pistons,2023-12-27 00:00:00,['NBA LEAGUE PASS']
bkn,"Wed, Dec 27",Milwaukee Bucks,2023-12-28 00:30:00,['NBA LEAGUE PASS']
bkn,"Fri, Dec 29",Washington Wizards,2023-12-30 00:00:00,['NBA LEAGUE PASS']
bkn,"Sun, Dec 31",Oklahoma City Thunder,2024-01-01 00:00:00,['NBA LEAGUE PASS']
bkn,"Tue, Jan 2",New Orleans Pelicans,2024-01-03 01:00:00,['NBA LEAGUE PASS']
bkn,"Wed, Jan 3",Houston Rockets,2024-01-04 01:00:00,['NBA LEAGUE PASS']
bkn,"Fri, Jan 5",Oklahoma City Thunder,2024-01-06 00:30:00,['NBA LEAGUE PASS']
bkn,"Sun, Jan 7",Portland Trail Blazers,2024-01-07 20:00:00,['NBA LEAGUE PASS']
bkn,"Thu, Jan 11",Cleveland Cavaliers,2024-01-11 19:00:00,['NBA TV']
bkn,"Mon, Jan 15",Miami Heat,2024-01-16 00:30:00,['NBA LEAGUE PASS']
bkn,"Wed, Jan 17",Portland Trail Blazers,2024-01-18 03:00:00,['NBA LEAGUE PASS']
bkn,"Fri, Jan 19",Los Angeles Lakers,2024-01-20 03:30:00,['NBA LEAGUE PASS']
bkn,"Sun, Jan 21",La Clippers,2024-01-21 20:30:00,['NBA LEAGUE PASS']
bkn,"Tue, Jan 23",New York Knicks,2024-01-24 00:30:00,['TNT']
bkn,"Thu, Jan 25",Minnesota Timberwolves,2024-01-26 00:30:00,['NBA LEAGUE PASS']
bkn,"Sat, Jan 27",Houston Rockets,2024-01-27 23:00:00,['NBA LEAGUE PASS']
bkn,"Mon, Jan 29",Utah Jazz,2024-01-30 00:30:00,['NBA LEAGUE PASS']
bkn,"Wed, Jan 31",Phoenix Suns,2024-02-01 01:30:00,['ABC']
bkn,"Sat, Feb 3",Philadelphia 76Ers,2024-02-03 23:00:00,['NBA LEAGUE PASS']
bkn,"Mon, Feb 5",Golden State Warriors,2024-02-06 00:30:00,['NBA TV']
bkn,"Tue, Feb 6",Dallas Mavericks,2024-02-07 00:30:00,['TNT']
bkn,"Thu, Feb 8",Cleveland Cavaliers,2024-02-09 00:30:00,['NBA LEAGUE PASS']
bkn,"Sat, Feb 10",San Antonio Spurs,2024-02-10 23:00:00,['NBA LEAGUE PASS']
bkn,"Tue, Feb 13",Boston Celtics,2024-02-14 00:30:00,['NBA LEAGUE PASS']
bkn,"Wed, Feb 14",Boston Celtics,2024-02-15 00:30:00,['NBA LEAGUE PASS']
bkn,"Thu, Feb 22",Toronto Raptors,2024-02-23 00:00:00,['NBA LEAGUE PASS']
bkn,"Sat, Feb 24",Minnesota Timberwolves,2024-02-25 01:00:00,['NBA LEAGUE PASS']
bkn,"Mon, Feb 26",Memphis Grizzlies,2024-02-27 01:00:00,['NBA LEAGUE PASS']
bkn,"Tue, Feb 27",Orlando Magic,2024-02-28 00:00:00,['NBA LEAGUE PASS']
bkn,"Thu, Feb 29",Atlanta Hawks,2024-03-01 00:30:00,['NBA LEAGUE PASS']
bkn,"Sat, Mar 2",Atlanta Hawks,2024-03-02 20:00:00,['NBA LEAGUE PASS']
bkn,"Mon, Mar 4",Memphis Grizzlies,2024-03-05 00:30:00,['NBA LEAGUE PASS']
bkn,"Tue, Mar 5",Philadelphia 76Ers,2024-03-06 00:30:00,['NBA LEAGUE PASS']
