team,date,opponent,time,channel
bos,"Wed, Oct 25",New York Knicks,2023-10-25 23:00:00,['ESPN']
bos,"Fri, Oct 27",Miami Heat,2023-10-27 23:30:00,['ESPN']
bos,"Mon, Oct 30",Washington Wizards,2023-10-30 23:00:00,['NBA LEAGUE PASS']
bos,"Wed, Nov 1",Indiana Pacers,2023-11-01 23:30:00,['NBA LEAGUE PASS']
bos,"Sat, Nov 4",Brooklyn Nets,2023-11-05 00:00:00,['NBA LEAGUE PASS']
bos,"Mon, Nov 6",Minnesota Timberwolves,2023-11-07 01:00:00,['NBA LEAGUE PASS']
bos,"Wed, Nov 8",Philadelphia 76Ers,2023-11-09 00:00:00,['NBA LEAGUE PASS']
bos,"Fri, Nov 10",Brooklyn Nets,2023-11-11 00:30:00,['ESPN']
bos,"Sat, Nov 11",Toronto Raptors,2023-11-12 00:00:00,['NBA LEAGUE PASS']
bos,"Mon, Nov 13",New York Knicks,2023-11-14 00:30:00,['NBA TV']
bos,"Wed, Nov 15",Philadelphia 76Ers,2023-11-16 00:30:00,['ESPN']
bos,"Fri, Nov 17",Toronto Raptors,2023-11-18 00:30:00,['NBA LEAGUE PASS']
bos,"Sun, Nov 19",Memphis Grizzlies,2023-11-20 01:00:00,['NBA LEAGUE PASS']
bos,"Mon, Nov 20",Charlotte Hornets,2023-11-21 00:00:00,['NBA LEAGUE PASS']
bos,"Wed, Nov 22",Milwaukee Bucks,2023-11-23 00:30:00,['ESPN']
bos,"Fri, Nov 24",Orlando Magic,2023-11-24 19:30:00,['NBA TV']
bos,"Sun, Nov 26",Atlanta Hawks,2023-11-26 23:00:00,['NBA LEAGUE PASS']
bos,"Tue, Nov 28",Chicago Bulls,2023-11-29 00:30:00,['NBA LEAGUE PASS']
bos,"Fri, Dec 1",Philadelphia 76Ers,2023-12-02 00:30:00,['NBA LEAGUE PASS']
bos,"Tue, Dec 12",Cleveland Cavaliers,2023-12-13 00:30:00,['NBA LEAGUE PASS']
bos,"Thu, Dec 14",Cleveland Cavaliers,2023-12-15 00:30:00,['NBA TV']
bos,"Fri, Dec 15",Orlando Magic,2023-12-16 00:30:00,['NBA LEAGUE PASS']
bos,"Sun, Dec 17",Orlando Magic,2023-12-17 20:00:00,['NBA LEAGUE PASS']
bos,"Tue, Dec 19",Golden State Warriors,2023-12-20 03:00:00,['TNT']
bos,"Wed, Dec 20",Sacramento Kings,2023-12-21 03:00:00,['NBA TV']
bos,"Sat, Dec 23",La Clippers,2023-12-23 20:30:00,['NBA LEAGUE PASS']
bos,"Mon, Dec 25",Los Angeles Lakers,2023-12-25 22:00:00,"['ABC', 'ESPN']"
bos,"Thu, Dec 28",Detroit Pistons,2023-12-29 00:30:00,['NBA TV']
bos,"Fri, Dec 29",Toronto Raptors,2023-12-30 00:30:00,['NBA LEAGUE PASS']
bos,"Sun, Dec 31",San Antonio Spurs,2024-01-01 00:00:00,['NBA LEAGUE PASS']
