team,date,opponent,time,channel
cha,"Wed, Oct 25",Atlanta Hawks,2023-10-25 23:00:00,['NBA LEAGUE PASS']
cha,"Fri, Oct 27",Detroit Pistons,2023-10-27 23:00:00,['NBA LEAGUE PASS']
cha,"Mon, Oct 30",Brooklyn Nets,2023-10-30 23:00:00,['NBA LEAGUE PASS']
cha,"Wed, Nov 1",Houston Rockets,2023-11-02 00:00:00,['NBA LEAGUE PASS']
cha,"Sat, Nov 4",Indiana Pacers,2023-11-04 23:00:00,['NBA LEAGUE PASS']
cha,"Sun, Nov 5",Dallas Mavericks,2023-11-06 00:30:00,['NBA LEAGUE PASS']
cha,"Wed, Nov 8",Washington Wizards,2023-11-09 00:00:00,['NBA LEAGUE PASS']
cha,"Fri, Nov 10",Washington Wizards,2023-11-11 00:00:00,['NBA LEAGUE PASS']
cha,"Sun, Nov 12",New York Knicks,2023-11-12 17:00:00,['NBA LEAGUE PASS']
cha,"Tue, Nov 14",Miami Heat,2023-11-15 00:00:00,['NBA LEAGUE PASS']
cha,"Fri, Nov 17",Milwaukee Bucks,2023-11-18 00:00:00,['NBA LEAGUE PASS']
cha,"Sat, Nov 18",New York Knicks,2023-11-18 23:00:00,['NBA LEAGUE PASS']
cha,"Mon, Nov 20",Boston Celtics,2023-11-21 00:00:00,['NBA LEAGUE PASS']
cha,"Wed, Nov 22",Washington Wizards,2023-11-23 00:00:00,['NBA LEAGUE PASS']
cha,"Sun, Nov 26",Orlando Magic,2023-11-26 23:00:00,['NBA LEAGUE PASS']
cha,"Tue, Nov 28",New York Knicks,2023-11-29 00:30:00,['NBA LEAGUE PASS']
cha,"Thu, Nov 30",Brooklyn Nets,2023-12-01 00:30:00,['NBA LEAGUE PASS']
cha,"Sat, Dec 2",Minnesota Timberwolves,2023-12-02 22:00:00,['NBA LEAGUE PASS']
cha,"Mon, Dec 11",Miami Heat,2023-12-12 00:00:00,['NBA LEAGUE PASS']
cha,"Wed, Dec 13",Miami Heat,2023-12-14 00:30:00,['NBA LEAGUE PASS']
cha,"Fri, Dec 15",New Orleans Pelicans,2023-12-16 00:00:00,['NBA LEAGUE PASS']
cha,"Sat, Dec 16",Philadelphia 76Ers,2023-12-17 00:00:00,['NBA LEAGUE PASS']
cha,"Mon, Dec 18",Toronto Raptors,2023-12-19 00:30:00,['NBA LEAGUE PASS']
cha,"Wed, Dec 20",Indiana Pacers,2023-12-21 00:00:00,['NBA LEAGUE PASS']
cha,"Sat, Dec 23",Denver Nuggets,2023-12-24 00:00:00,['NBA LEAGUE PASS']
cha,"Tue, Dec 26",La Clippers,2023-12-27 03:30:00,['NBA TV']
cha,"Thu, Dec 28",Los Angeles Lakers,2023-12-29 03:30:00,['NBA LEAGUE PASS']
cha,"Fri, Dec 29",Phoenix Suns,2023-12-30 02:00:00,['NBA LEAGUE PASS']
cha,"Mon, Jan 1",Denver Nuggets,2024-01-02 02:00:00,['NBA LEAGUE PASS']
