team,date,opponent,time,channel
chi,"Wed, Oct 25",Oklahoma City Thunder,2023-10-26 00:00:00,['NBA LEAGUE PASS']
chi,"Fri, Oct 27",Toronto Raptors,2023-10-28 00:00:00,['NBA LEAGUE PASS']
chi,"Sat, Oct 28",Detroit Pistons,2023-10-28 23:00:00,['NBA LEAGUE PASS']
chi,"Mon, Oct 30",Indiana Pacers,2023-10-30 23:00:00,['NBA LEAGUE PASS']
chi,"Wed, Nov 1",Dallas Mavericks,2023-11-02 00:30:00,['NBA LEAGUE PASS']
chi,"Fri, Nov 3",Brooklyn Nets,2023-11-04 00:00:00,['NBA LEAGUE PASS']
chi,"Sat, Nov 4",Denver Nuggets,2023-11-05 01:00:00,['NBA TV']
chi,"Mon, Nov 6",Utah Jazz,2023-11-07 01:00:00,['NBA LEAGUE PASS']
chi,"Wed, Nov 8",Phoenix Suns,2023-11-09 01:00:00,['NBA LEAGUE PASS']
chi,"Sun, Nov 12",Detroit Pistons,2023-11-13 00:00:00,['NBA LEAGUE PASS']
chi,"Mon, Nov 13",Milwaukee Bucks,2023-11-14 01:00:00,['NBA LEAGUE PASS']
chi,"Wed, Nov 15",Orlando Magic,2023-11-16 01:00:00,['NBA LEAGUE PASS']
chi,"Fri, Nov 17",Orlando Magic,2023-11-18 01:00:00,['NBA LEAGUE PASS']
chi,"Sat, Nov 18",Miami Heat,2023-11-19 01:00:00,['NBA LEAGUE PASS']
chi,"Mon, Nov 20",Miami Heat,2023-11-21 01:00:00,['NBA LEAGUE PASS']
chi,"Wed, Nov 22",Oklahoma City Thunder,2023-11-23 01:00:00,['NBA LEAGUE PASS']
chi,"Fri, Nov 24",Toronto Raptors,2023-11-25 00:30:00,['NBA LEAGUE PASS']
chi,"Sun, Nov 26",Brooklyn Nets,2023-11-27 00:30:00,['NBA LEAGUE PASS']
chi,"Tue, Nov 28",Boston Celtics,2023-11-29 00:30:00,['NBA LEAGUE PASS']
chi,"Thu, Nov 30",Milwaukee Bucks,2023-12-01 01:00:00,['NBA LEAGUE PASS']
chi,"Sat, Dec 2",New Orleans Pelicans,2023-12-03 01:00:00,['NBA LEAGUE PASS']
chi,"Mon, Dec 11",Milwaukee Bucks,2023-12-12 01:00:00,['NBA LEAGUE PASS']
chi,"Tue, Dec 12",Denver Nuggets,2023-12-13 01:00:00,['NBA LEAGUE PASS']
