team,date,opponent,time,channel
cle,"Wed, Oct 25",Brooklyn Nets,2023-10-25 23:30:00,['NBA LEAGUE PASS']
cle,"Fri, Oct 27",Oklahoma City Thunder,2023-10-27 23:30:00,['NBA LEAGUE PASS']
cle,"Sat, Oct 28",Indiana Pacers,2023-10-28 23:30:00,['NBA LEAGUE PASS']
cle,"Tue, Oct 31",New York Knicks,2023-10-31 23:30:00,['TNT']
cle,"Wed, Nov 1",New York Knicks,2023-11-01 23:30:00,['NBA LEAGUE PASS']
cle,"Fri, Nov 3",Indiana Pacers,2023-11-03 23:00:00,['NBA LEAGUE PASS']
cle,"Sun, Nov 5",Golden State Warriors,2023-11-05 23:00:00,['NBA LEAGUE PASS']
cle,"Wed, Nov 8",Oklahoma City Thunder,2023-11-09 01:00:00,['NBA LEAGUE PASS']
cle,"Sat, Nov 11",Golden State Warriors,2023-11-12 01:30:00,['NBA TV']
cle,"Mon, Nov 13",Sacramento Kings,2023-11-14 03:00:00,['NBA TV']
cle,"Wed, Nov 15",Portland Trail Blazers,2023-11-16 03:00:00,['NBA LEAGUE PASS']
cle,"Fri, Nov 17",Detroit Pistons,2023-11-18 00:30:00,['NBA LEAGUE PASS']
cle,"Sun, Nov 19",Denver Nuggets,2023-11-19 23:00:00,['NBA LEAGUE PASS']
cle,"Tue, Nov 21",Philadelphia 76Ers,2023-11-22 00:30:00,['TNT']
cle,"Wed, Nov 22",Miami Heat,2023-11-23 00:30:00,['NBA LEAGUE PASS']
cle,"Sat, Nov 25",Los Angeles Lakers,2023-11-26 00:30:00,['NBA LEAGUE PASS']
cle,"Sun, Nov 26",Toronto Raptors,2023-11-27 00:30:00,['NBA LEAGUE PASS']
cle,"Tue, Nov 28",Atlanta Hawks,2023-11-29 00:30:00,['NBA LEAGUE PASS']
cle,"Thu, Nov 30",Portland Trail Blazers,2023-12-01 00:00:00,['NBA LEAGUE PASS']
cle,"Sat, Dec 2",Detroit Pistons,2023-12-03 00:00:00,['NBA LEAGUE PASS']
cle,"Mon, Dec 11",Orlando Magic,2023-12-12 00:00:00,['NBA LEAGUE PASS']
cle,"Tue, Dec 12",Boston Celtics,2023-12-13 00:30:00,['NBA LEAGUE PASS']
cle,"Thu, Dec 14",Boston Celtics,2023-12-15 00:30:00,['NBA TV']
cle,"Sat, Dec 16",Atlanta Hawks,2023-12-17 00:30:00,['NBA TV']
cle,"Mon, Dec 18",Houston Rockets,2023-12-19 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Dec 20",Utah Jazz,2023-12-21 00:00:00,['NBA LEAGUE PASS']
cle,"Thu, Dec 21",New Orleans Pelicans,2023-12-22 00:30:00,['NBA LEAGUE PASS']
cle,"Sat, Dec 23",Chicago Bulls,2023-12-24 01:00:00,['NBA LEAGUE PASS']
cle,"Wed, Dec 27",Dallas Mavericks,2023-12-28 01:30:00,['NBA LEAGUE PASS']
cle,"Fri, Dec 29",Milwaukee Bucks,2023-12-30 00:30:00,['NBA TV']
cle,"Mon, Jan 1",Toronto Raptors,2024-01-02 00:30:00,['NBA LEAGUE PASS']
cle,"Wed, Jan 3",Washington Wizards,2024-01-04 00:00:00,['NBA LEAGUE PASS']
cle,"Fri, Jan 5",Washington Wizards,2024-01-06 00:30:00,['NBA LEAGUE PASS']
cle,"Sun, Jan 7",San Antonio Spurs,2024-01-07 18:00:00,['NBA LEAGUE PASS']
cle,"Thu, Jan 11",Brooklyn Nets,2024-01-11 19:00:00,['NBA TV']
cle,"Mon, Jan 15",Chicago Bulls,2024-01-16 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Jan 17",Milwaukee Bucks,2024-01-18 00:30:00,['ESPN']
cle,"Sat, Jan 20",Atlanta Hawks,2024-01-21 00:30:00,['NBA LEAGUE PASS']
cle,"Mon, Jan 22",Orlando Magic,2024-01-23 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Jan 24",Milwaukee Bucks,2024-01-25 01:00:00,['NBA LEAGUE PASS']
cle,"Fri, Jan 26",Milwaukee Bucks,2024-01-27 01:00:00,['NBA LEAGUE PASS']
cle,"Mon, Jan 29",La Clippers,2024-01-30 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Jan 31",Detroit Pistons,2024-02-01 00:00:00,['NBA LEAGUE PASS']
cle,"Thu, Feb 1",Memphis Grizzlies,2024-02-02 03:00:00,['TNT']
cle,"Sat, Feb 3",San Antonio Spurs,2024-02-04 01:30:00,['NBA LEAGUE PASS']
cle,"Mon, Feb 5",Sacramento Kings,2024-02-06 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Feb 7",Washington Wizards,2024-02-08 00:00:00,['NBA LEAGUE PASS']
cle,"Thu, Feb 8",Brooklyn Nets,2024-02-09 00:30:00,['NBA LEAGUE PASS']
cle,"Sat, Feb 10",Toronto Raptors,2024-02-11 00:30:00,['NBA LEAGUE PASS']
cle,"Mon, Feb 12",Philadelphia 76Ers,2024-02-13 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Feb 14",Chicago Bulls,2024-02-15 00:30:00,['ESPN']
cle,"Thu, Feb 22",Orlando Magic,2024-02-23 00:00:00,['NBA LEAGUE PASS']
cle,"Fri, Feb 23",Philadelphia 76Ers,2024-02-24 00:30:00,['ESPN']
cle,"Sun, Feb 25",Washington Wizards,2024-02-25 23:00:00,['NBA LEAGUE PASS']
cle,"Tue, Feb 27",Dallas Mavericks,2024-02-28 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Feb 28",Chicago Bulls,2024-02-29 01:00:00,['NBA LEAGUE PASS']
cle,"Fri, Mar 1",Detroit Pistons,2024-03-02 00:00:00,['NBA LEAGUE PASS']
cle,"Sun, Mar 3",New York Knicks,2024-03-04 00:00:00,['ESPN']
cle,"Tue, Mar 5",Boston Celtics,2024-03-06 00:00:00,['NBA LEAGUE PASS']
cle,"Wed, Mar 6",Atlanta Hawks,2024-03-07 00:30:00,['NBA LEAGUE PASS']
cle,"Fri, Mar 8",Minnesota Timberwolves,2024-03-09 00:30:00,['NBA LEAGUE PASS']
cle,"Sun, Mar 10",Brooklyn Nets,2024-03-10 23:00:00,['ESPN']
cle,"Mon, Mar 11",Phoenix Suns,2024-03-11 23:30:00,['NBA LEAGUE PASS']
cle,"Wed, Mar 13",New Orleans Pelicans,2024-03-14 00:00:00,['NBA LEAGUE PASS']
cle,"Sat, Mar 16",Houston Rockets,2024-03-16 21:00:00,['NBA LEAGUE PASS']
