team,date,opponent,time,channel
dal,"Wed, Oct 25",San Antonio Spurs,2023-10-26 01:30:00,['ESPN']
dal,"Fri, Oct 27",Brooklyn Nets,2023-10-28 00:30:00,['NBA LEAGUE PASS']
dal,"Mon, Oct 30",Memphis Grizzlies,2023-10-31 00:00:00,['NBA LEAGUE PASS']
dal,"Wed, Nov 1",Chicago Bulls,2023-11-02 00:30:00,['NBA LEAGUE PASS']
dal,"Fri, Nov 3",Denver Nuggets,2023-11-04 02:00:00,['ESPN']
dal,"Sun, Nov 5",Charlotte Hornets,2023-11-06 00:30:00,['NBA LEAGUE PASS']
dal,"Mon, Nov 6",Orlando Magic,2023-11-07 00:00:00,['NBA LEAGUE PASS']
dal,"Wed, Nov 8",Toronto Raptors,2023-11-09 01:30:00,['NBA LEAGUE PASS']
dal,"Fri, Nov 10",La Clippers,2023-11-11 01:30:00,['NBA LEAGUE PASS']
dal,"Sun, Nov 12",New Orleans Pelicans,2023-11-13 00:00:00,['NBA LEAGUE PASS']
dal,"Tue, Nov 14",New Orleans Pelicans,2023-11-15 01:00:00,['NBA LEAGUE PASS']
dal,"Wed, Nov 15",Washington Wizards,2023-11-16 00:00:00,['NBA LEAGUE PASS']
dal,"Sat, Nov 18",Milwaukee Bucks,2023-11-19 01:00:00,['NBA TV']
dal,"Sun, Nov 19",Sacramento Kings,2023-11-20 00:30:00,['NBA LEAGUE PASS']
dal,"Wed, Nov 22",Los Angeles Lakers,2023-11-23 03:30:00,['NBA LEAGUE PASS']
dal,"Sat, Nov 25",La Clippers,2023-11-26 03:30:00,['NBA TV']
dal,"Tue, Nov 28",Houston Rockets,2023-11-29 01:30:00,['NBA LEAGUE PASS']
dal,"Fri, Dec 1",Memphis Grizzlies,2023-12-02 00:30:00,['ESPN']
dal,"Sat, Dec 2",Oklahoma City Thunder,2023-12-03 02:00:00,['NBA LEAGUE PASS']
dal,"Mon, Dec 11",Memphis Grizzlies,2023-12-12 01:00:00,['NBA TV']
dal,"Tue, Dec 12",Los Angeles Lakers,2023-12-13 00:30:00,['TNT']
dal,"Thu, Dec 14",Minnesota Timberwolves,2023-12-15 01:30:00,['NBA LEAGUE PASS']
dal,"Sat, Dec 16",Portland Trail Blazers,2023-12-17 02:00:00,['NBA LEAGUE PASS']
dal,"Mon, Dec 18",Denver Nuggets,2023-12-19 02:00:00,['NBA TV']
dal,"Wed, Dec 20",La Clippers,2023-12-21 01:30:00,['NBA LEAGUE PASS']
dal,"Fri, Dec 22",Houston Rockets,2023-12-23 01:00:00,['NBA LEAGUE PASS']
dal,"Sat, Dec 23",San Antonio Spurs,2023-12-24 01:30:00,['NBA LEAGUE PASS']
dal,"Mon, Dec 25",Phoenix Suns,2023-12-26 03:30:00,['ESPN']
dal,"Wed, Dec 27",Cleveland Cavaliers,2023-12-28 01:30:00,['NBA LEAGUE PASS']
dal,"Thu, Dec 28",Minnesota Timberwolves,2023-12-29 01:00:00,['NBA LEAGUE PASS']
dal,"Sat, Dec 30",Golden State Warriors,2023-12-31 01:30:00,['NBA LEAGUE PASS']
dal,"Mon, Jan 1",Utah Jazz,2024-01-02 02:00:00,['NBA LEAGUE PASS']
dal,"Wed, Jan 3",Portland Trail Blazers,2024-01-04 01:30:00,['NBA LEAGUE PASS']
dal,"Fri, Jan 5",Portland Trail Blazers,2024-01-06 01:30:00,['NBA LEAGUE PASS']
dal,"Sun, Jan 7",Minnesota Timberwolves,2024-01-08 00:30:00,['NBA LEAGUE PASS']
dal,"Tue, Jan 9",Memphis Grizzlies,2024-01-10 01:30:00,['NBA TV']
dal,"Thu, Jan 11",New York Knicks,2024-01-12 01:30:00,['NBA LEAGUE PASS']
dal,"Sat, Jan 13",New Orleans Pelicans,2024-01-14 01:30:00,['NBA LEAGUE PASS']
dal,"Mon, Jan 15",New Orleans Pelicans,2024-01-15 19:30:00,['NBA LEAGUE PASS']
dal,"Wed, Jan 17",Los Angeles Lakers,2024-01-18 01:30:00,['ABC']
dal,"Fri, Jan 19",Golden State Warriors,2024-01-20 03:00:00,['ESPN']
dal,"Mon, Jan 22",Boston Celtics,2024-01-23 01:30:00,['NBA LEAGUE PASS']
