team,date,opponent,time,channel
den,"Tue, Oct 24",Los Angeles Lakers,2023-10-24 23:30:00,['TNT']
den,"Fri, Oct 27",Memphis Grizzlies,2023-10-27 23:00:00,['NBA LEAGUE PASS']
den,"Sun, Oct 29",Oklahoma City Thunder,2023-10-29 19:30:00,['NBA LEAGUE PASS']
den,"Mon, Oct 30",Utah Jazz,2023-10-31 01:00:00,['NBA LEAGUE PASS']
den,"Wed, Nov 1",Minnesota Timberwolves,2023-11-02 00:00:00,['NBA LEAGUE PASS']
den,"Fri, Nov 3",Dallas Mavericks,2023-11-04 02:00:00,['ESPN']
den,"Sat, Nov 4",Chicago Bulls,2023-11-05 01:00:00,['NBA TV']
den,"Mon, Nov 6",New Orleans Pelicans,2023-11-07 02:00:00,['NBA LEAGUE PASS']
den,"Wed, Nov 8",Golden State Warriors,2023-11-09 03:00:00,['ESPN']
den,"Sun, Nov 12",Houston Rockets,2023-11-13 00:00:00,['NBA LEAGUE PASS']
den,"Tue, Nov 14",La Clippers,2023-11-15 03:00:00,['TNT']
den,"Fri, Nov 17",New Orleans Pelicans,2023-11-18 01:00:00,['NBA LEAGUE PASS']
den,"Sun, Nov 19",Cleveland Cavaliers,2023-11-19 23:00:00,['NBA LEAGUE PASS']
den,"Mon, Nov 20",Detroit Pistons,2023-11-21 00:00:00,['NBA LEAGUE PASS']
den,"Wed, Nov 22",Orlando Magic,2023-11-23 00:00:00,['NBA LEAGUE PASS']
den,"Fri, Nov 24",Houston Rockets,2023-11-25 01:00:00,['NBA LEAGUE PASS']
den,"Sun, Nov 26",San Antonio Spurs,2023-11-27 01:00:00,['NBA LEAGUE PASS']
den,"Mon, Nov 27",La Clippers,2023-11-28 03:30:00,['NBA TV']
den,"Wed, Nov 29",Houston Rockets,2023-11-30 02:00:00,['NBA LEAGUE PASS']
den,"Fri, Dec 1",Phoenix Suns,2023-12-02 03:00:00,['ESPN']
den,"Sat, Dec 2",Sacramento Kings,2023-12-03 03:00:00,['NBA TV']
den,"Mon, Dec 11",Atlanta Hawks,2023-12-12 00:30:00,['NBA LEAGUE PASS']
den,"Tue, Dec 12",Chicago Bulls,2023-12-13 01:00:00,['NBA LEAGUE PASS']
den,"Thu, Dec 14",Brooklyn Nets,2023-12-15 02:00:00,['NBA LEAGUE PASS']
den,"Sat, Dec 16",Oklahoma City Thunder,2023-12-17 02:00:00,['NBA LEAGUE PASS']
den,"Mon, Dec 18",Dallas Mavericks,2023-12-19 02:00:00,['NBA TV']
den,"Wed, Dec 20",Toronto Raptors,2023-12-21 00:30:00,['NBA LEAGUE PASS']
den,"Fri, Dec 22",Brooklyn Nets,2023-12-23 00:30:00,['NBA TV']
den,"Sat, Dec 23",Charlotte Hornets,2023-12-24 00:00:00,['NBA LEAGUE PASS']
den,"Mon, Dec 25",Golden State Warriors,2023-12-25 19:30:00,"['ABC', 'ESPN']"
den,"Thu, Dec 28",Memphis Grizzlies,2023-12-29 02:00:00,['NBA LEAGUE PASS']
den,"Fri, Dec 29",Oklahoma City Thunder,2023-12-30 02:00:00,['NBA LEAGUE PASS']
den,"Mon, Jan 1",Charlotte Hornets,2024-01-02 02:00:00,['NBA LEAGUE PASS']
den,"Thu, Jan 4",Golden State Warriors,2024-01-05 03:00:00,['TNT']
den,"Fri, Jan 5",Orlando Magic,2024-01-06 02:00:00,['NBA LEAGUE PASS']
den,"Sun, Jan 7",Detroit Pistons,2024-01-08 01:00:00,['NBA LEAGUE PASS']
den,"Wed, Jan 10",Utah Jazz,2024-01-11 03:00:00,['ESPN']
den,"Fri, Jan 12",New Orleans Pelicans,2024-01-13 02:00:00,['NBA LEAGUE PASS']
den,"Sun, Jan 14",Indiana Pacers,2024-01-14 20:30:00,['NBA LEAGUE PASS']
