team,date,opponent,time,channel
det,"Wed, Oct 25",Miami Heat,2023-10-25 23:30:00,['NBA LEAGUE PASS']
det,"Fri, Oct 27",Charlotte Hornets,2023-10-27 23:00:00,['NBA LEAGUE PASS']
det,"Sat, Oct 28",Chicago Bulls,2023-10-28 23:00:00,['NBA LEAGUE PASS']
det,"Mon, Oct 30",Oklahoma City Thunder,2023-10-31 00:00:00,['NBA LEAGUE PASS']
det,"Wed, Nov 1",Portland Trail Blazers,2023-11-01 23:00:00,['NBA LEAGUE PASS']
det,"Thu, Nov 2",New Orleans Pelicans,2023-11-03 00:00:00,['NBA LEAGUE PASS']
det,"Sun, Nov 5",Phoenix Suns,2023-11-05 20:00:00,['NBA LEAGUE PASS']
det,"Mon, Nov 6",Golden State Warriors,2023-11-07 00:00:00,['NBA LEAGUE PASS']
det,"Wed, Nov 8",Milwaukee Bucks,2023-11-09 01:00:00,['NBA LEAGUE PASS']
det,"Fri, Nov 10",Philadelphia 76Ers,2023-11-11 00:00:00,['NBA LEAGUE PASS']
det,"Sun, Nov 12",Chicago Bulls,2023-11-13 00:00:00,['NBA LEAGUE PASS']
det,"Tue, Nov 14",Atlanta Hawks,2023-11-15 00:00:00,['NBA LEAGUE PASS']
det,"Fri, Nov 17",Cleveland Cavaliers,2023-11-18 00:30:00,['NBA LEAGUE PASS']
det,"Sun, Nov 19",Toronto Raptors,2023-11-19 21:00:00,['NBA LEAGUE PASS']
det,"Mon, Nov 20",Denver Nuggets,2023-11-21 00:00:00,['NBA LEAGUE PASS']
det,"Fri, Nov 24",Indiana Pacers,2023-11-25 01:00:00,['NBA LEAGUE PASS']
det,"Mon, Nov 27",Washington Wizards,2023-11-28 00:00:00,['NBA LEAGUE PASS']
det,"Wed, Nov 29",Los Angeles Lakers,2023-11-30 00:00:00,['NBA TV']
det,"Thu, Nov 30",New York Knicks,2023-12-01 00:30:00,['NBA LEAGUE PASS']
det,"Sat, Dec 2",Cleveland Cavaliers,2023-12-03 00:00:00,['NBA LEAGUE PASS']
det,"Mon, Dec 11",Indiana Pacers,2023-12-12 00:00:00,['NBA LEAGUE PASS']
det,"Wed, Dec 13",Philadelphia 76Ers,2023-12-14 00:00:00,['NBA LEAGUE PASS']
det,"Fri, Dec 15",Philadelphia 76Ers,2023-12-16 00:00:00,['NBA LEAGUE PASS']
det,"Sat, Dec 16",Milwaukee Bucks,2023-12-16 23:00:00,['NBA LEAGUE PASS']
det,"Mon, Dec 18",Atlanta Hawks,2023-12-19 00:30:00,['NBA LEAGUE PASS']
det,"Thu, Dec 21",Utah Jazz,2023-12-22 00:00:00,['NBA TV']
det,"Sat, Dec 23",Brooklyn Nets,2023-12-24 00:30:00,['NBA LEAGUE PASS']
det,"Tue, Dec 26",Brooklyn Nets,2023-12-27 00:00:00,['NBA LEAGUE PASS']
det,"Thu, Dec 28",Boston Celtics,2023-12-29 00:30:00,['NBA TV']
det,"Sat, Dec 30",Toronto Raptors,2023-12-30 23:00:00,['NBA LEAGUE PASS']
det,"Mon, Jan 1",Houston Rockets,2024-01-02 01:00:00,['NBA LEAGUE PASS']
det,"Wed, Jan 3",Utah Jazz,2024-01-04 02:00:00,['NBA LEAGUE PASS']
det,"Fri, Jan 5",Golden State Warriors,2024-01-06 03:00:00,['NBA LEAGUE PASS']
det,"Sun, Jan 7",Denver Nuggets,2024-01-08 01:00:00,['NBA LEAGUE PASS']
det,"Tue, Jan 9",Sacramento Kings,2024-01-10 00:00:00,['NBA LEAGUE PASS']
det,"Wed, Jan 10",San Antonio Spurs,2024-01-11 00:00:00,['NBA LEAGUE PASS']
det,"Fri, Jan 12",Houston Rockets,2024-01-13 00:30:00,['ESPN']
det,"Mon, Jan 15",Washington Wizards,2024-01-15 20:00:00,['NBA LEAGUE PASS']
det,"Wed, Jan 17",Minnesota Timberwolves,2024-01-18 00:00:00,['NBA LEAGUE PASS']
det,"Sat, Jan 20",Milwaukee Bucks,2024-01-20 20:00:00,['NBA LEAGUE PASS']
det,"Mon, Jan 22",Milwaukee Bucks,2024-01-23 00:00:00,['NBA LEAGUE PASS']
det,"Wed, Jan 24",Charlotte Hornets,2024-01-25 00:00:00,['NBA LEAGUE PASS']
det,"Sat, Jan 27",Washington Wizards,2024-01-27 17:00:00,['NBA LEAGUE PASS']
