team,date,opponent,time,channel
gs,"Tue, Oct 24",Phoenix Suns,2023-10-25 02:00:00,['TNT']
gs,"Fri, Oct 27",Sacramento Kings,2023-10-28 02:00:00,['ESPN']
gs,"Sun, Oct 29",Houston Rockets,2023-10-29 23:00:00,['NBA LEAGUE PASS']
gs,"Mon, Oct 30",New Orleans Pelicans,2023-10-31 00:00:00,['NBA TV']
gs,"Wed, Nov 1",Sacramento Kings,2023-11-02 02:00:00,['NBA LEAGUE PASS']
gs,"Fri, Nov 3",Oklahoma City Thunder,2023-11-04 00:00:00,['NBA LEAGUE PASS']
gs,"Sun, Nov 5",Cleveland Cavaliers,2023-11-05 23:00:00,['NBA LEAGUE PASS']
gs,"Mon, Nov 6",Detroit Pistons,2023-11-07 00:00:00,['NBA LEAGUE PASS']
gs,"Wed, Nov 8",Denver Nuggets,2023-11-09 03:00:00,['ESPN']
gs,"Sat, Nov 11",Cleveland Cavaliers,2023-11-12 01:30:00,['NBA TV']
gs,"Sun, Nov 12",Minnesota Timberwolves,2023-11-13 01:30:00,['NBA LEAGUE PASS']
gs,"Tue, Nov 14",Minnesota Timberwolves,2023-11-15 03:00:00,['NBA LEAGUE PASS']
gs,"Thu, Nov 16",Oklahoma City Thunder,2023-11-17 03:00:00,['NBA TV']
gs,"Sat, Nov 18",Oklahoma City Thunder,2023-11-19 01:30:00,['NBA LEAGUE PASS']
gs,"Mon, Nov 20",Houston Rockets,2023-11-21 03:00:00,['NBA LEAGUE PASS']
gs,"Wed, Nov 22",Phoenix Suns,2023-11-23 03:00:00,['ESPN']
gs,"Fri, Nov 24",San Antonio Spurs,2023-11-25 03:00:00,['ESPN']
gs,"Tue, Nov 28",Sacramento Kings,2023-11-29 03:00:00,['TNT']
gs,"Thu, Nov 30",La Clippers,2023-12-01 03:00:00,['NBA LEAGUE PASS']
gs,"Sat, Dec 2",La Clippers,2023-12-02 21:00:00,['NBA LEAGUE PASS']
gs,"Tue, Dec 12",Phoenix Suns,2023-12-13 03:00:00,['TNT']
gs,"Thu, Dec 14",La Clippers,2023-12-15 03:30:00,['NBA TV']
gs,"Sat, Dec 16",Brooklyn Nets,2023-12-17 01:30:00,['NBA LEAGUE PASS']
gs,"Sun, Dec 17",Portland Trail Blazers,2023-12-18 02:00:00,['NBA LEAGUE PASS']
gs,"Tue, Dec 19",Boston Celtics,2023-12-20 03:00:00,['TNT']
gs,"Fri, Dec 22",Washington Wizards,2023-12-23 03:00:00,['ESPN']
