team,date,opponent,time,channel
hou,"Wed, Oct 25",Orlando Magic,2023-10-25 23:00:00,['NBA LEAGUE PASS']
hou,"Fri, Oct 27",San Antonio Spurs,2023-10-28 00:00:00,['NBA LEAGUE PASS']
hou,"Sun, Oct 29",Golden State Warriors,2023-10-29 23:00:00,['NBA LEAGUE PASS']
hou,"Wed, Nov 1",Charlotte Hornets,2023-11-02 00:00:00,['NBA LEAGUE PASS']
hou,"Sat, Nov 4",Sacramento Kings,2023-11-05 00:00:00,['NBA LEAGUE PASS']
hou,"Mon, Nov 6",Sacramento Kings,2023-11-07 01:00:00,['NBA LEAGUE PASS']
hou,"Wed, Nov 8",Los Angeles Lakers,2023-11-09 01:00:00,['NBA LEAGUE PASS']
hou,"Fri, Nov 10",New Orleans Pelicans,2023-11-11 01:00:00,['NBA LEAGUE PASS']
hou,"Sun, Nov 12",Denver Nuggets,2023-11-13 00:00:00,['NBA LEAGUE PASS']
hou,"Fri, Nov 17",La Clippers,2023-11-18 03:30:00,['NBA LEAGUE PASS']
hou,"Sun, Nov 19",Los Angeles Lakers,2023-11-20 02:30:00,['NBA LEAGUE PASS']
hou,"Mon, Nov 20",Golden State Warriors,2023-11-21 03:00:00,['NBA LEAGUE PASS']
hou,"Wed, Nov 22",Memphis Grizzlies,2023-11-23 01:00:00,['NBA LEAGUE PASS']
hou,"Fri, Nov 24",Denver Nuggets,2023-11-25 01:00:00,['NBA LEAGUE PASS']
hou,"Tue, Nov 28",Dallas Mavericks,2023-11-29 01:30:00,['NBA LEAGUE PASS']
hou,"Wed, Nov 29",Denver Nuggets,2023-11-30 02:00:00,['NBA LEAGUE PASS']
hou,"Sat, Dec 2",Los Angeles Lakers,2023-12-03 03:30:00,['NBA LEAGUE PASS']
hou,"Mon, Dec 11",San Antonio Spurs,2023-12-12 01:00:00,['NBA LEAGUE PASS']
hou,"Wed, Dec 13",Memphis Grizzlies,2023-12-14 01:00:00,['NBA LEAGUE PASS']
hou,"Fri, Dec 15",Memphis Grizzlies,2023-12-16 01:00:00,['NBA LEAGUE PASS']
hou,"Sun, Dec 17",Milwaukee Bucks,2023-12-18 00:00:00,['NBA LEAGUE PASS']
hou,"Mon, Dec 18",Cleveland Cavaliers,2023-12-19 00:00:00,['NBA LEAGUE PASS']
hou,"Wed, Dec 20",Atlanta Hawks,2023-12-21 01:00:00,['NBA LEAGUE PASS']
hou,"Fri, Dec 22",Dallas Mavericks,2023-12-23 01:00:00,['NBA LEAGUE PASS']
hou,"Sat, Dec 23",New Orleans Pelicans,2023-12-24 00:00:00,['NBA LEAGUE PASS']
hou,"Tue, Dec 26",Indiana Pacers,2023-12-27 01:00:00,['NBA TV']
hou,"Wed, Dec 27",Phoenix Suns,2023-12-28 01:00:00,['NBA LEAGUE PASS']
hou,"Fri, Dec 29",Philadelphia 76Ers,2023-12-30 01:00:00,['NBA LEAGUE PASS']
hou,"Mon, Jan 1",Detroit Pistons,2024-01-02 01:00:00,['NBA LEAGUE PASS']
hou,"Wed, Jan 3",Brooklyn Nets,2024-01-04 01:00:00,['NBA LEAGUE PASS']
hou,"Fri, Jan 5",Minnesota Timberwolves,2024-01-06 01:00:00,['NBA LEAGUE PASS']
hou,"Sat, Jan 6",Milwaukee Bucks,2024-01-07 01:00:00,['NBA LEAGUE PASS']
