team,date,opponent,time,channel
ind,"Wed, Oct 25",Washington Wizards,2023-10-25 23:00:00,['NBA LEAGUE PASS']
ind,"Sat, Oct 28",Cleveland Cavaliers,2023-10-28 23:30:00,['NBA LEAGUE PASS']
ind,"Mon, Oct 30",Chicago Bulls,2023-10-30 23:00:00,['NBA LEAGUE PASS']
ind,"Wed, Nov 1",Boston Celtics,2023-11-01 23:30:00,['NBA LEAGUE PASS']
ind,"Fri, Nov 3",Cleveland Cavaliers,2023-11-03 23:00:00,['NBA LEAGUE PASS']
ind,"Sat, Nov 4",Charlotte Hornets,2023-11-04 23:00:00,['NBA LEAGUE PASS']
ind,"Mon, Nov 6",San Antonio Spurs,2023-11-07 00:00:00,['NBA LEAGUE PASS']
ind,"Wed, Nov 8",Utah Jazz,2023-11-09 00:00:00,['NBA LEAGUE PASS']
ind,"Thu, Nov 9",Milwaukee Bucks,2023-11-10 00:00:00,['NBA TV']
ind,"Sun, Nov 12",Philadelphia 76Ers,2023-11-12 23:00:00,['NBA LEAGUE PASS']
ind,"Tue, Nov 14",Philadelphia 76Ers,2023-11-15 00:00:00,['NBA LEAGUE PASS']
ind,"Sun, Nov 19",Orlando Magic,2023-11-19 22:00:00,['NBA LEAGUE PASS']
ind,"Tue, Nov 21",Atlanta Hawks,2023-11-22 00:30:00,['NBA LEAGUE PASS']
ind,"Wed, Nov 22",Toronto Raptors,2023-11-23 00:30:00,['NBA LEAGUE PASS']
ind,"Fri, Nov 24",Detroit Pistons,2023-11-25 01:00:00,['NBA LEAGUE PASS']
ind,"Mon, Nov 27",Portland Trail Blazers,2023-11-28 00:00:00,['NBA LEAGUE PASS']
ind,"Thu, Nov 30",Miami Heat,2023-12-01 00:30:00,['NBA TV']
ind,"Sat, Dec 2",Miami Heat,2023-12-03 01:00:00,['NBA LEAGUE PASS']
ind,"Mon, Dec 11",Detroit Pistons,2023-12-12 00:00:00,['NBA LEAGUE PASS']
ind,"Wed, Dec 13",Milwaukee Bucks,2023-12-14 01:00:00,['NBA LEAGUE PASS']
ind,"Fri, Dec 15",Washington Wizards,2023-12-16 00:00:00,['NBA LEAGUE PASS']
ind,"Sat, Dec 16",Minnesota Timberwolves,2023-12-17 01:00:00,['NBA LEAGUE PASS']
ind,"Mon, Dec 18",La Clippers,2023-12-19 00:00:00,['NBA LEAGUE PASS']
ind,"Wed, Dec 20",Charlotte Hornets,2023-12-21 00:00:00,['NBA LEAGUE PASS']
ind,"Thu, Dec 21",Memphis Grizzlies,2023-12-22 01:00:00,['NBA LEAGUE PASS']
ind,"Sat, Dec 23",Orlando Magic,2023-12-24 00:00:00,['NBA LEAGUE PASS']
ind,"Tue, Dec 26",Houston Rockets,2023-12-27 01:00:00,['NBA TV']
ind,"Thu, Dec 28",Chicago Bulls,2023-12-29 01:00:00,['NBA LEAGUE PASS']
ind,"Sat, Dec 30",New York Knicks,2023-12-31 00:00:00,['NBA LEAGUE PASS']
ind,"Mon, Jan 1",Milwaukee Bucks,2024-01-02 01:00:00,['NBA LEAGUE PASS']
ind,"Wed, Jan 3",Milwaukee Bucks,2024-01-04 00:00:00,['NBA LEAGUE PASS']
ind,"Fri, Jan 5",Atlanta Hawks,2024-01-06 00:00:00,['NBA LEAGUE PASS']
ind,"Sat, Jan 6",Boston Celtics,2024-01-07 00:00:00,['NBA LEAGUE PASS']
ind,"Mon, Jan 8",Boston Celtics,2024-01-09 00:00:00,['NBA LEAGUE PASS']
ind,"Wed, Jan 10",Washington Wizards,2024-01-11 00:00:00,['NBA LEAGUE PASS']
ind,"Fri, Jan 12",Atlanta Hawks,2024-01-13 00:30:00,['NBA LEAGUE PASS']
ind,"Sun, Jan 14",Denver Nuggets,2024-01-14 20:30:00,['NBA LEAGUE PASS']
