team,date,opponent,time,channel
lac,"Wed, Oct 25",Portland Trail Blazers,2023-10-26 02:30:00,['NBA LEAGUE PASS']
lac,"Fri, Oct 27",Utah Jazz,2023-10-28 01:30:00,['NBA LEAGUE PASS']
lac,"Sun, Oct 29",San Antonio Spurs,2023-10-30 01:00:00,['NBA LEAGUE PASS']
lac,"Tue, Oct 31",Orlando Magic,2023-11-01 02:30:00,['NBA LEAGUE PASS']
lac,"Wed, Nov 1",Los Angeles Lakers,2023-11-02 02:00:00,['ESPN']
lac,"Mon, Nov 6",New York Knicks,2023-11-07 00:30:00,['NBA LEAGUE PASS']
lac,"Wed, Nov 8",Brooklyn Nets,2023-11-09 00:30:00,['NBA LEAGUE PASS']
lac,"Fri, Nov 10",Dallas Mavericks,2023-11-11 01:30:00,['NBA LEAGUE PASS']
lac,"Sun, Nov 12",Memphis Grizzlies,2023-11-12 20:30:00,['NBA LEAGUE PASS']
lac,"Tue, Nov 14",Denver Nuggets,2023-11-15 03:00:00,['TNT']
lac,"Fri, Nov 17",Houston Rockets,2023-11-18 03:30:00,['NBA LEAGUE PASS']
lac,"Mon, Nov 20",San Antonio Spurs,2023-11-21 01:00:00,['NBA LEAGUE PASS']
lac,"Wed, Nov 22",San Antonio Spurs,2023-11-23 01:00:00,['NBA LEAGUE PASS']
lac,"Fri, Nov 24",New Orleans Pelicans,2023-11-25 03:30:00,['NBA LEAGUE PASS']
lac,"Sat, Nov 25",Dallas Mavericks,2023-11-26 03:30:00,['NBA TV']
lac,"Mon, Nov 27",Denver Nuggets,2023-11-28 03:30:00,['NBA TV']
lac,"Wed, Nov 29",Sacramento Kings,2023-11-30 03:00:00,['NBA TV']
lac,"Thu, Nov 30",Golden State Warriors,2023-12-01 03:00:00,['NBA LEAGUE PASS']
lac,"Sat, Dec 2",Golden State Warriors,2023-12-02 21:00:00,['NBA LEAGUE PASS']
lac,"Mon, Dec 11",Portland Trail Blazers,2023-12-12 03:30:00,['NBA LEAGUE PASS']
lac,"Tue, Dec 12",Sacramento Kings,2023-12-13 03:30:00,['NBA LEAGUE PASS']
lac,"Thu, Dec 14",Golden State Warriors,2023-12-15 03:30:00,['NBA TV']
lac,"Sat, Dec 16",New York Knicks,2023-12-17 03:30:00,['NBA LEAGUE PASS']
lac,"Mon, Dec 18",Indiana Pacers,2023-12-19 00:00:00,['NBA LEAGUE PASS']
lac,"Wed, Dec 20",Dallas Mavericks,2023-12-21 01:30:00,['NBA LEAGUE PASS']
lac,"Thu, Dec 21",Oklahoma City Thunder,2023-12-22 01:00:00,['NBA LEAGUE PASS']
lac,"Sat, Dec 23",Boston Celtics,2023-12-23 20:30:00,['NBA LEAGUE PASS']
lac,"Tue, Dec 26",Charlotte Hornets,2023-12-27 03:30:00,['NBA TV']
lac,"Fri, Dec 29",Memphis Grizzlies,2023-12-30 03:30:00,['NBA TV']
lac,"Mon, Jan 1",Miami Heat,2024-01-02 03:30:00,['NBA LEAGUE PASS']
lac,"Wed, Jan 3",Phoenix Suns,2024-01-04 02:00:00,['NBA LEAGUE PASS']
lac,"Fri, Jan 5",New Orleans Pelicans,2024-01-06 01:00:00,['NBA LEAGUE PASS']
lac,"Sun, Jan 7",Los Angeles Lakers,2024-01-08 02:30:00,['NBA LEAGUE PASS']
lac,"Mon, Jan 8",Phoenix Suns,2024-01-09 03:30:00,['NBA TV']
lac,"Wed, Jan 10",Toronto Raptors,2024-01-11 03:30:00,['NBA LEAGUE PASS']
lac,"Fri, Jan 12",Memphis Grizzlies,2024-01-13 01:00:00,['NBA LEAGUE PASS']
lac,"Sun, Jan 14",Minnesota Timberwolves,2024-01-15 00:00:00,['NBA LEAGUE PASS']
lac,"Tue, Jan 16",Oklahoma City Thunder,2024-01-17 03:00:00,['TNT']
lac,"Sun, Jan 21",Brooklyn Nets,2024-01-21 20:30:00,['NBA LEAGUE PASS']
lac,"Tue, Jan 23",Los Angeles Lakers,2024-01-24 03:00:00,['TNT']
lac,"Fri, Jan 26",Toronto Raptors,2024-01-27 00:30:00,['NBA LEAGUE PASS']
lac,"Sat, Jan 27",Boston Celtics,2024-01-28 00:00:00,['NBA LEAGUE PASS']
lac,"Mon, Jan 29",Cleveland Cavaliers,2024-01-30 00:00:00,['NBA LEAGUE PASS']
lac,"Wed, Jan 31",Washington Wizards,2024-02-01 00:00:00,['NBA LEAGUE PASS']
lac,"Fri, Feb 2",Detroit Pistons,2024-02-03 00:00:00,['NBA LEAGUE PASS']
lac,"Sun, Feb 4",Miami Heat,2024-02-04 23:00:00,['NBA LEAGUE PASS']
lac,"Mon, Feb 5",Atlanta Hawks,2024-02-06 00:30:00,['NBA LEAGUE PASS']
lac,"Wed, Feb 7",New Orleans Pelicans,2024-02-08 03:00:00,['ESPN']
lac,"Sat, Feb 10",Detroit Pistons,2024-02-10 20:30:00,['NBA LEAGUE PASS']
lac,"Mon, Feb 12",Minnesota Timberwolves,2024-02-13 03:30:00,['NBA LEAGUE PASS']
lac,"Wed, Feb 14",Golden State Warriors,2024-02-15 03:00:00,['ESPN']
lac,"Thu, Feb 22",Oklahoma City Thunder,2024-02-23 01:00:00,['NBA LEAGUE PASS']
lac,"Fri, Feb 23",Memphis Grizzlies,2024-02-24 01:00:00,['NBA LEAGUE PASS']
lac,"Sun, Feb 25",Sacramento Kings,2024-02-26 02:30:00,['ESPN']
lac,"Wed, Feb 28",Los Angeles Lakers,2024-02-29 03:00:00,['ESPN']
lac,"Fri, Mar 1",Washington Wizards,2024-03-02 03:30:00,['NBA LEAGUE PASS']
lac,"Sun, Mar 3",Minnesota Timberwolves,2024-03-03 20:30:00,['NBA LEAGUE PASS']
lac,"Mon, Mar 4",Milwaukee Bucks,2024-03-05 01:00:00,['NBA TV']
lac,"Wed, Mar 6",Houston Rockets,2024-03-07 01:00:00,['NBA LEAGUE PASS']
lac,"Sat, Mar 9",Chicago Bulls,2024-03-09 21:00:00,['NBA TV']
lac,"Sun, Mar 10",Milwaukee Bucks,2024-03-10 19:00:00,['NBA LEAGUE PASS']
lac,"Tue, Mar 12",Minnesota Timberwolves,2024-03-13 02:00:00,['TNT']
lac,"Thu, Mar 14",Chicago Bulls,2024-03-15 00:00:00,['NBA LEAGUE PASS']
lac,"Fri, Mar 15",New Orleans Pelicans,2024-03-16 00:00:00,['NBA LEAGUE PASS']
lac,"Sun, Mar 17",Atlanta Hawks,2024-03-18 01:30:00,['NBA TV']
lac,"Wed, Mar 20",Portland Trail Blazers,2024-03-21 02:00:00,['NBA LEAGUE PASS']
