team,date,opponent,time,channel
lal,"Tue, Oct 24",Denver Nuggets,2023-10-24 23:30:00,['TNT']
lal,"Thu, Oct 26",Phoenix Suns,2023-10-27 02:00:00,['TNT']
lal,"Sun, Oct 29",Sacramento Kings,2023-10-30 01:00:00,['NBA LEAGUE PASS']
lal,"Mon, Oct 30",Orlando Magic,2023-10-31 02:30:00,['NBA TV']
lal,"Wed, Nov 1",La Clippers,2023-11-02 02:00:00,['ESPN']
lal,"Sat, Nov 4",Orlando Magic,2023-11-04 23:00:00,['NBA LEAGUE PASS']
lal,"Mon, Nov 6",Miami Heat,2023-11-07 00:30:00,['NBA TV']
lal,"Wed, Nov 8",Houston Rockets,2023-11-09 01:00:00,['NBA LEAGUE PASS']
lal,"Fri, Nov 10",Phoenix Suns,2023-11-11 03:00:00,['ESPN']
lal,"Sun, Nov 12",Portland Trail Blazers,2023-11-13 03:00:00,['NBA LEAGUE PASS']
lal,"Tue, Nov 14",Memphis Grizzlies,2023-11-15 03:30:00,['NBA LEAGUE PASS']
lal,"Wed, Nov 15",Sacramento Kings,2023-11-16 03:00:00,['ESPN']
lal,"Fri, Nov 17",Portland Trail Blazers,2023-11-18 03:00:00,['NBA LEAGUE PASS']
lal,"Sun, Nov 19",Houston Rockets,2023-11-20 02:30:00,['NBA LEAGUE PASS']
lal,"Tue, Nov 21",Utah Jazz,2023-11-22 03:00:00,['TNT']
lal,"Wed, Nov 22",Dallas Mavericks,2023-11-23 03:30:00,['NBA LEAGUE PASS']
lal,"Sat, Nov 25",Cleveland Cavaliers,2023-11-26 00:30:00,['NBA LEAGUE PASS']
lal,"Mon, Nov 27",Philadelphia 76Ers,2023-11-28 00:00:00,['NBA TV']
lal,"Wed, Nov 29",Detroit Pistons,2023-11-30 00:00:00,['NBA TV']
lal,"Thu, Nov 30",Oklahoma City Thunder,2023-12-01 01:00:00,['NBA LEAGUE PASS']
lal,"Sat, Dec 2",Houston Rockets,2023-12-03 03:30:00,['NBA LEAGUE PASS']
lal,"Tue, Dec 12",Dallas Mavericks,2023-12-13 00:30:00,['TNT']
lal,"Wed, Dec 13",San Antonio Spurs,2023-12-14 01:00:00,['NBA TV']
lal,"Fri, Dec 15",San Antonio Spurs,2023-12-16 00:30:00,['ESPN']
lal,"Mon, Dec 18",New York Knicks,2023-12-19 03:30:00,['NBA LEAGUE PASS']
lal,"Wed, Dec 20",Chicago Bulls,2023-12-21 01:00:00,['NBA LEAGUE PASS']
lal,"Thu, Dec 21",Minnesota Timberwolves,2023-12-22 02:00:00,['NBA LEAGUE PASS']
lal,"Sat, Dec 23",Oklahoma City Thunder,2023-12-24 01:00:00,['NBA LEAGUE PASS']
lal,"Mon, Dec 25",Boston Celtics,2023-12-25 22:00:00,"['ABC', 'ESPN']"
lal,"Thu, Dec 28",Charlotte Hornets,2023-12-29 03:30:00,['NBA LEAGUE PASS']
lal,"Sat, Dec 30",Minnesota Timberwolves,2023-12-31 01:00:00,['NBA LEAGUE PASS']
lal,"Sun, Dec 31",New Orleans Pelicans,2024-01-01 00:00:00,['NBA LEAGUE PASS']
lal,"Wed, Jan 3",Miami Heat,2024-01-04 03:00:00,['ESPN']
lal,"Fri, Jan 5",Memphis Grizzlies,2024-01-06 03:00:00,['ESPN']
lal,"Sun, Jan 7",La Clippers,2024-01-08 02:30:00,['NBA LEAGUE PASS']
lal,"Tue, Jan 9",Toronto Raptors,2024-01-10 03:30:00,['NBA LEAGUE PASS']
lal,"Thu, Jan 11",Phoenix Suns,2024-01-12 03:00:00,['TNT']
lal,"Sat, Jan 13",Utah Jazz,2024-01-14 02:30:00,['NBA LEAGUE PASS']
lal,"Mon, Jan 15",Oklahoma City Thunder,2024-01-16 03:30:00,['NBA TV']
lal,"Wed, Jan 17",Dallas Mavericks,2024-01-18 01:30:00,['ABC']
lal,"Fri, Jan 19",Brooklyn Nets,2024-01-20 03:30:00,['NBA LEAGUE PASS']
lal,"Sun, Jan 21",Portland Trail Blazers,2024-01-22 03:00:00,['NBA LEAGUE PASS']
lal,"Tue, Jan 23",La Clippers,2024-01-24 03:00:00,['TNT']
lal,"Thu, Jan 25",Chicago Bulls,2024-01-26 03:30:00,['NBA LEAGUE PASS']
lal,"Sat, Jan 27",Golden State Warriors,2024-01-28 01:30:00,['ABC']
lal,"Mon, Jan 29",Houston Rockets,2024-01-30 01:00:00,['NBA LEAGUE PASS']
lal,"Tue, Jan 30",Atlanta Hawks,2024-01-31 00:30:00,['NBA LEAGUE PASS']
lal,"Thu, Feb 1",Boston Celtics,2024-02-02 00:30:00,['TNT']
lal,"Sat, Feb 3",New York Knicks,2024-02-04 01:30:00,['ABC']
lal,"Mon, Feb 5",Charlotte Hornets,2024-02-06 00:00:00,['NBA LEAGUE PASS']
lal,"Thu, Feb 8",Denver Nuggets,2024-02-09 03:00:00,['TNT']
lal,"Fri, Feb 9",New Orleans Pelicans,2024-02-10 03:30:00,['NBA TV']
lal,"Tue, Feb 13",Detroit Pistons,2024-02-14 03:30:00,['NBA LEAGUE PASS']
lal,"Wed, Feb 14",Utah Jazz,2024-02-15 02:00:00,['NBA LEAGUE PASS']
lal,"Thu, Feb 22",Golden State Warriors,2024-02-23 03:00:00,['TNT']
lal,"Fri, Feb 23",San Antonio Spurs,2024-02-24 03:30:00,['NBA LEAGUE PASS']
lal,"Sun, Feb 25",Phoenix Suns,2024-02-25 20:30:00,['ABC']
lal,"Wed, Feb 28",La Clippers,2024-02-29 03:00:00,['ESPN']
lal,"Thu, Feb 29",Washington Wizards,2024-03-01 03:30:00,['NBA LEAGUE PASS']
lal,"Sat, Mar 2",Denver Nuggets,2024-03-03 01:30:00,['ABC']
lal,"Mon, Mar 4",Oklahoma City Thunder,2024-03-05 03:30:00,['NBA TV']
lal,"Wed, Mar 6",Sacramento Kings,2024-03-07 03:30:00,['NBA LEAGUE PASS']
lal,"Fri, Mar 8",Milwaukee Bucks,2024-03-09 03:00:00,['ESPN']
lal,"Sun, Mar 10",Minnesota Timberwolves,2024-03-11 01:30:00,['ESPN']
lal,"Wed, Mar 13",Sacramento Kings,2024-03-14 02:00:00,['ESPN']
lal,"Sat, Mar 16",Golden State Warriors,2024-03-17 00:30:00,['ABC']
lal,"Mon, Mar 18",Atlanta Hawks,2024-03-19 02:30:00,['NBA LEAGUE PASS']
lal,"Fri, Mar 22",Philadelphia 76Ers,2024-03-23 02:30:00,['NBA TV']
lal,"Sun, Mar 24",Indiana Pacers,2024-03-25 02:00:00,['NBA TV']
lal,"Tue, Mar 26",Milwaukee Bucks,2024-03-26 23:30:00,['TNT']
lal,"Wed, Mar 27",Memphis Grizzlies,2024-03-28 00:00:00,['NBA LEAGUE PASS']
lal,"Fri, Mar 29",Indiana Pacers,2024-03-29 23:00:00,['NBA LEAGUE PASS']
lal,"Sun, Mar 31",Brooklyn Nets,2024-03-31 22:00:00,['NBA LEAGUE PASS']
lal,"Tue, Apr 2",Toronto Raptors,2024-04-02 23:00:00,['NBA LEAGUE PASS']
lal,"Wed, Apr 3",Washington Wizards,2024-04-03 23:00:00,['NBA LEAGUE PASS']
lal,"Sat, Apr 6",Cleveland Cavaliers,2024-04-06 19:30:00,['NBA LEAGUE PASS']
lal,"Sun, Apr 7",Minnesota Timberwolves,2024-04-08 02:00:00,['NBA TV']
lal,"Tue, Apr 9",Golden State Warriors,2024-04-10 02:00:00,['TNT']
lal,"Fri, Apr 12",Memphis Grizzlies,2024-04-13 00:00:00,['NBA TV']
lal,"Sun, Apr 14",New Orleans Pelicans,2024-04-14 19:30:00,['NBA LEAGUE PASS']
