team,date,opponent,time,channel
mem,"Wed, Oct 25",New Orleans Pelicans,2023-10-26 00:00:00,['NBA LEAGUE PASS']
mem,"Fri, Oct 27",Denver Nuggets,2023-10-27 23:00:00,['NBA LEAGUE PASS']
mem,"Sat, Oct 28",Washington Wizards,2023-10-28 23:00:00,['NBA LEAGUE PASS']
mem,"Mon, Oct 30",Dallas Mavericks,2023-10-31 00:00:00,['NBA LEAGUE PASS']
mem,"Wed, Nov 1",Utah Jazz,2023-11-02 01:00:00,['NBA LEAGUE PASS']
mem,"Fri, Nov 3",Portland Trail Blazers,2023-11-04 02:00:00,['NBA LEAGUE PASS']
mem,"Sun, Nov 5",Portland Trail Blazers,2023-11-06 02:00:00,['NBA LEAGUE PASS']
mem,"Wed, Nov 8",Miami Heat,2023-11-09 01:00:00,['NBA LEAGUE PASS']
mem,"Fri, Nov 10",Utah Jazz,2023-11-11 01:00:00,['NBA LEAGUE PASS']
mem,"Sun, Nov 12",La Clippers,2023-11-12 20:30:00,['NBA LEAGUE PASS']
mem,"Tue, Nov 14",Los Angeles Lakers,2023-11-15 03:30:00,['NBA LEAGUE PASS']
mem,"Sat, Nov 18",San Antonio Spurs,2023-11-19 01:00:00,['NBA LEAGUE PASS']
mem,"Sun, Nov 19",Boston Celtics,2023-11-20 01:00:00,['NBA LEAGUE PASS']
mem,"Wed, Nov 22",Houston Rockets,2023-11-23 01:00:00,['NBA LEAGUE PASS']
mem,"Fri, Nov 24",Phoenix Suns,2023-11-24 22:00:00,['NBA TV']
mem,"Sun, Nov 26",Minnesota Timberwolves,2023-11-26 23:00:00,['NBA LEAGUE PASS']
mem,"Wed, Nov 29",Utah Jazz,2023-11-30 01:00:00,['NBA LEAGUE PASS']
mem,"Fri, Dec 1",Dallas Mavericks,2023-12-02 00:30:00,['ESPN']
mem,"Sat, Dec 2",Phoenix Suns,2023-12-03 02:00:00,['NBA LEAGUE PASS']
mem,"Mon, Dec 11",Dallas Mavericks,2023-12-12 01:00:00,['NBA TV']
mem,"Wed, Dec 13",Houston Rockets,2023-12-14 01:00:00,['NBA LEAGUE PASS']
mem,"Fri, Dec 15",Houston Rockets,2023-12-16 01:00:00,['NBA LEAGUE PASS']
