team,date,opponent,time,channel
mia,"Wed, Oct 25",Detroit Pistons,2023-10-25 23:30:00,['NBA LEAGUE PASS']
mia,"Fri, Oct 27",Boston Celtics,2023-10-27 23:30:00,['ESPN']
mia,"Sat, Oct 28",Minnesota Timberwolves,2023-10-29 00:00:00,['NBA LEAGUE PASS']
mia,"Mon, Oct 30",Milwaukee Bucks,2023-10-31 00:00:00,['NBA LEAGUE PASS']
mia,"Wed, Nov 1",Brooklyn Nets,2023-11-01 23:30:00,['NBA LEAGUE PASS']
mia,"Fri, Nov 3",Washington Wizards,2023-11-04 00:00:00,['NBA LEAGUE PASS']
mia,"Mon, Nov 6",Los Angeles Lakers,2023-11-07 00:30:00,['NBA TV']
mia,"Wed, Nov 8",Memphis Grizzlies,2023-11-09 01:00:00,['NBA LEAGUE PASS']
mia,"Sat, Nov 11",Atlanta Hawks,2023-11-12 00:30:00,['NBA LEAGUE PASS']
mia,"Sun, Nov 12",San Antonio Spurs,2023-11-13 00:00:00,['NBA LEAGUE PASS']
mia,"Tue, Nov 14",Charlotte Hornets,2023-11-15 00:00:00,['NBA LEAGUE PASS']
mia,"Thu, Nov 16",Brooklyn Nets,2023-11-17 00:30:00,['NBA TV']
mia,"Sat, Nov 18",Chicago Bulls,2023-11-19 01:00:00,['NBA LEAGUE PASS']
mia,"Mon, Nov 20",Chicago Bulls,2023-11-21 01:00:00,['NBA LEAGUE PASS']
mia,"Wed, Nov 22",Cleveland Cavaliers,2023-11-23 00:30:00,['NBA LEAGUE PASS']
mia,"Fri, Nov 24",New York Knicks,2023-11-25 00:30:00,['ESPN']
mia,"Sat, Nov 25",Brooklyn Nets,2023-11-25 23:00:00,['NBA LEAGUE PASS']
mia,"Tue, Nov 28",Milwaukee Bucks,2023-11-29 00:30:00,['TNT']
mia,"Thu, Nov 30",Indiana Pacers,2023-12-01 00:30:00,['NBA TV']
mia,"Sat, Dec 2",Indiana Pacers,2023-12-03 01:00:00,['NBA LEAGUE PASS']
mia,"Mon, Dec 11",Charlotte Hornets,2023-12-12 00:00:00,['NBA LEAGUE PASS']
mia,"Wed, Dec 13",Charlotte Hornets,2023-12-14 00:30:00,['NBA LEAGUE PASS']
mia,"Thu, Dec 14",Chicago Bulls,2023-12-15 00:30:00,['NBA LEAGUE PASS']
mia,"Sat, Dec 16",Chicago Bulls,2023-12-17 01:00:00,['NBA LEAGUE PASS']
mia,"Mon, Dec 18",Minnesota Timberwolves,2023-12-19 00:30:00,['NBA LEAGUE PASS']
mia,"Wed, Dec 20",Orlando Magic,2023-12-21 00:00:00,['NBA LEAGUE PASS']
mia,"Fri, Dec 22",Atlanta Hawks,2023-12-23 01:00:00,['NBA LEAGUE PASS']
mia,"Mon, Dec 25",Philadelphia 76Ers,2023-12-26 01:00:00,['ESPN']
mia,"Thu, Dec 28",Golden State Warriors,2023-12-29 03:00:00,['NBA TV']
mia,"Sat, Dec 30",Utah Jazz,2023-12-30 22:00:00,['NBA LEAGUE PASS']
mia,"Mon, Jan 1",La Clippers,2024-01-02 03:30:00,['NBA LEAGUE PASS']
mia,"Wed, Jan 3",Los Angeles Lakers,2024-01-04 03:00:00,['ESPN']
mia,"Fri, Jan 5",Phoenix Suns,2024-01-06 02:00:00,['NBA LEAGUE PASS']
mia,"Mon, Jan 8",Houston Rockets,2024-01-09 00:30:00,['NBA LEAGUE PASS']
mia,"Wed, Jan 10",Oklahoma City Thunder,2024-01-11 00:30:00,['NBA LEAGUE PASS']
mia,"Fri, Jan 12",Orlando Magic,2024-01-13 01:00:00,['NBA LEAGUE PASS']
