team,date,opponent,time,channel
mil,"Thu, Oct 26",Philadelphia 76Ers,2023-10-26 23:30:00,['TNT']
mil,"Sun, Oct 29",Atlanta Hawks,2023-10-29 23:00:00,['NBA LEAGUE PASS']
mil,"Mon, Oct 30",Miami Heat,2023-10-31 00:00:00,['NBA LEAGUE PASS']
mil,"Wed, Nov 1",Toronto Raptors,2023-11-01 23:00:00,['NBA LEAGUE PASS']
mil,"Fri, Nov 3",New York Knicks,2023-11-03 23:30:00,['ESPN']
mil,"Mon, Nov 6",Brooklyn Nets,2023-11-07 00:30:00,['NBA LEAGUE PASS']
mil,"Wed, Nov 8",Detroit Pistons,2023-11-09 01:00:00,['NBA LEAGUE PASS']
mil,"Thu, Nov 9",Indiana Pacers,2023-11-10 00:00:00,['NBA TV']
mil,"Sat, Nov 11",Orlando Magic,2023-11-11 23:00:00,['NBA LEAGUE PASS']
mil,"Mon, Nov 13",Chicago Bulls,2023-11-14 01:00:00,['NBA LEAGUE PASS']
mil,"Wed, Nov 15",Toronto Raptors,2023-11-16 00:30:00,['NBA LEAGUE PASS']
mil,"Fri, Nov 17",Charlotte Hornets,2023-11-18 00:00:00,['NBA LEAGUE PASS']
mil,"Sat, Nov 18",Dallas Mavericks,2023-11-19 01:00:00,['NBA TV']
mil,"Mon, Nov 20",Washington Wizards,2023-11-21 00:00:00,['NBA LEAGUE PASS']
mil,"Wed, Nov 22",Boston Celtics,2023-11-23 00:30:00,['ESPN']
mil,"Fri, Nov 24",Washington Wizards,2023-11-25 01:00:00,['NBA LEAGUE PASS']
mil,"Sun, Nov 26",Portland Trail Blazers,2023-11-26 20:30:00,['NBA LEAGUE PASS']
mil,"Tue, Nov 28",Miami Heat,2023-11-29 00:30:00,['TNT']
mil,"Thu, Nov 30",Chicago Bulls,2023-12-01 01:00:00,['NBA LEAGUE PASS']
mil,"Sat, Dec 2",Atlanta Hawks,2023-12-03 01:00:00,['NBA LEAGUE PASS']
mil,"Mon, Dec 11",Chicago Bulls,2023-12-12 01:00:00,['NBA LEAGUE PASS']
mil,"Wed, Dec 13",Indiana Pacers,2023-12-14 01:00:00,['NBA LEAGUE PASS']
mil,"Sat, Dec 16",Detroit Pistons,2023-12-16 23:00:00,['NBA LEAGUE PASS']
mil,"Sun, Dec 17",Houston Rockets,2023-12-18 00:00:00,['NBA LEAGUE PASS']
mil,"Tue, Dec 19",San Antonio Spurs,2023-12-20 01:00:00,['NBA LEAGUE PASS']
mil,"Thu, Dec 21",Orlando Magic,2023-12-22 01:00:00,['NBA LEAGUE PASS']
mil,"Sat, Dec 23",New York Knicks,2023-12-23 17:30:00,['NBA TV']
mil,"Mon, Dec 25",New York Knicks,2023-12-25 17:00:00,['ESPN']
mil,"Wed, Dec 27",Brooklyn Nets,2023-12-28 00:30:00,['NBA LEAGUE PASS']
mil,"Fri, Dec 29",Cleveland Cavaliers,2023-12-30 00:30:00,['NBA TV']
mil,"Mon, Jan 1",Indiana Pacers,2024-01-02 01:00:00,['NBA LEAGUE PASS']
mil,"Wed, Jan 3",Indiana Pacers,2024-01-04 00:00:00,['NBA LEAGUE PASS']
mil,"Thu, Jan 4",San Antonio Spurs,2024-01-05 00:30:00,['TNT']
mil,"Sat, Jan 6",Houston Rockets,2024-01-07 01:00:00,['NBA LEAGUE PASS']
mil,"Mon, Jan 8",Utah Jazz,2024-01-09 01:00:00,['NBA LEAGUE PASS']
mil,"Thu, Jan 11",Boston Celtics,2024-01-12 00:30:00,['TNT']
mil,"Sat, Jan 13",Golden State Warriors,2024-01-14 01:00:00,['NBA TV']
mil,"Sun, Jan 14",Sacramento Kings,2024-01-15 00:00:00,['NBA LEAGUE PASS']
mil,"Wed, Jan 17",Cleveland Cavaliers,2024-01-18 00:30:00,['ESPN']
mil,"Sat, Jan 20",Detroit Pistons,2024-01-20 20:00:00,['NBA LEAGUE PASS']
mil,"Mon, Jan 22",Detroit Pistons,2024-01-23 00:00:00,['NBA LEAGUE PASS']
mil,"Wed, Jan 24",Cleveland Cavaliers,2024-01-25 01:00:00,['NBA LEAGUE PASS']
mil,"Fri, Jan 26",Cleveland Cavaliers,2024-01-27 01:00:00,['NBA LEAGUE PASS']
mil,"Sat, Jan 27",New Orleans Pelicans,2024-01-28 01:00:00,['NBA LEAGUE PASS']
mil,"Mon, Jan 29",Denver Nuggets,2024-01-30 02:00:00,['NBA LEAGUE PASS']
mil,"Wed, Jan 31",Portland Trail Blazers,2024-02-01 03:00:00,['ESPN']
mil,"Sat, Feb 3",Dallas Mavericks,2024-02-04 01:30:00,['NBA LEAGUE PASS']
mil,"Sun, Feb 4",Utah Jazz,2024-02-05 01:00:00,['NBA LEAGUE PASS']
mil,"Tue, Feb 6",Phoenix Suns,2024-02-07 03:00:00,['TNT']
mil,"Thu, Feb 8",Minnesota Timberwolves,2024-02-09 01:00:00,['NBA LEAGUE PASS']
mil,"Fri, Feb 9",Charlotte Hornets,2024-02-10 01:00:00,['NBA LEAGUE PASS']
mil,"Mon, Feb 12",Denver Nuggets,2024-02-13 01:00:00,['NBA LEAGUE PASS']
mil,"Tue, Feb 13",Miami Heat,2024-02-14 01:00:00,['NBA LEAGUE PASS']
mil,"Thu, Feb 15",Memphis Grizzlies,2024-02-16 01:30:00,['TNT']
mil,"Fri, Feb 23",Minnesota Timberwolves,2024-02-24 01:00:00,['NBA LEAGUE PASS']
mil,"Sun, Feb 25",Philadelphia 76Ers,2024-02-25 18:00:00,['ABC']
mil,"Tue, Feb 27",Charlotte Hornets,2024-02-28 01:00:00,['NBA LEAGUE PASS']
mil,"Thu, Feb 29",Charlotte Hornets,2024-03-01 00:00:00,['NBA LEAGUE PASS']
mil,"Fri, Mar 1",Chicago Bulls,2024-03-02 03:00:00,['ESPN']
mil,"Mon, Mar 4",La Clippers,2024-03-05 01:00:00,['NBA TV']
mil,"Wed, Mar 6",Golden State Warriors,2024-03-07 03:00:00,['ESPN']
mil,"Fri, Mar 8",Los Angeles Lakers,2024-03-09 03:00:00,['ESPN']
mil,"Sun, Mar 10",La Clippers,2024-03-10 19:00:00,['NBA LEAGUE PASS']
mil,"Tue, Mar 12",Sacramento Kings,2024-03-13 02:00:00,['NBA LEAGUE PASS']
mil,"Thu, Mar 14",Philadelphia 76Ers,2024-03-15 00:00:00,['NBA LEAGUE PASS']
mil,"Sun, Mar 17",Phoenix Suns,2024-03-17 17:00:00,['ABC']
mil,"Wed, Mar 20",Boston Celtics,2024-03-20 23:30:00,['ESPN']
mil,"Thu, Mar 21",Brooklyn Nets,2024-03-22 00:00:00,['NBA TV']
mil,"Sun, Mar 24",Oklahoma City Thunder,2024-03-24 23:00:00,['NBA TV']
mil,"Tue, Mar 26",Los Angeles Lakers,2024-03-26 23:30:00,['TNT']
