team,date,opponent,time,channel
min,"Wed, Oct 25",Toronto Raptors,2023-10-25 23:30:00,['NBA LEAGUE PASS']
min,"Sat, Oct 28",Miami Heat,2023-10-29 00:00:00,['NBA LEAGUE PASS']
min,"Mon, Oct 30",Atlanta Hawks,2023-10-30 23:30:00,['NBA LEAGUE PASS']
min,"Wed, Nov 1",Denver Nuggets,2023-11-02 00:00:00,['NBA LEAGUE PASS']
min,"Sat, Nov 4",Utah Jazz,2023-11-05 00:00:00,['NBA LEAGUE PASS']
min,"Mon, Nov 6",Boston Celtics,2023-11-07 01:00:00,['NBA LEAGUE PASS']
min,"Wed, Nov 8",New Orleans Pelicans,2023-11-09 01:00:00,['NBA LEAGUE PASS']
min,"Fri, Nov 10",San Antonio Spurs,2023-11-11 01:00:00,['NBA LEAGUE PASS']
min,"Sun, Nov 12",Golden State Warriors,2023-11-13 01:30:00,['NBA LEAGUE PASS']
min,"Tue, Nov 14",Golden State Warriors,2023-11-15 03:00:00,['NBA LEAGUE PASS']
min,"Wed, Nov 15",Phoenix Suns,2023-11-16 02:00:00,['NBA LEAGUE PASS']
min,"Sat, Nov 18",New Orleans Pelicans,2023-11-19 00:00:00,['NBA LEAGUE PASS']
min,"Mon, Nov 20",New York Knicks,2023-11-21 01:00:00,['NBA LEAGUE PASS']
min,"Wed, Nov 22",Philadelphia 76Ers,2023-11-23 01:00:00,['NBA LEAGUE PASS']
min,"Fri, Nov 24",Sacramento Kings,2023-11-25 01:00:00,['NBA LEAGUE PASS']
min,"Sun, Nov 26",Memphis Grizzlies,2023-11-26 23:00:00,['NBA LEAGUE PASS']
min,"Tue, Nov 28",Oklahoma City Thunder,2023-11-29 01:00:00,['NBA LEAGUE PASS']
min,"Thu, Nov 30",Utah Jazz,2023-12-01 01:00:00,['NBA LEAGUE PASS']
min,"Sat, Dec 2",Charlotte Hornets,2023-12-02 22:00:00,['NBA LEAGUE PASS']
min,"Mon, Dec 11",New Orleans Pelicans,2023-12-12 01:00:00,['NBA LEAGUE PASS']
min,"Thu, Dec 14",Dallas Mavericks,2023-12-15 01:30:00,['NBA LEAGUE PASS']
min,"Sat, Dec 16",Indiana Pacers,2023-12-17 01:00:00,['NBA LEAGUE PASS']
min,"Mon, Dec 18",Miami Heat,2023-12-19 00:30:00,['NBA LEAGUE PASS']
min,"Wed, Dec 20",Philadelphia 76Ers,2023-12-21 00:00:00,['NBA TV']
min,"Thu, Dec 21",Los Angeles Lakers,2023-12-22 02:00:00,['NBA LEAGUE PASS']
min,"Sat, Dec 23",Sacramento Kings,2023-12-24 03:00:00,['NBA LEAGUE PASS']
min,"Tue, Dec 26",Oklahoma City Thunder,2023-12-27 01:00:00,['NBA LEAGUE PASS']
min,"Thu, Dec 28",Dallas Mavericks,2023-12-29 01:00:00,['NBA LEAGUE PASS']
min,"Sat, Dec 30",Los Angeles Lakers,2023-12-31 01:00:00,['NBA LEAGUE PASS']
min,"Mon, Jan 1",New York Knicks,2024-01-01 20:00:00,['NBA TV']
min,"Wed, Jan 3",New Orleans Pelicans,2024-01-04 01:00:00,['NBA LEAGUE PASS']
min,"Fri, Jan 5",Houston Rockets,2024-01-06 01:00:00,['NBA LEAGUE PASS']
min,"Sun, Jan 7",Dallas Mavericks,2024-01-08 00:30:00,['NBA LEAGUE PASS']
min,"Tue, Jan 9",Orlando Magic,2024-01-10 00:00:00,['NBA LEAGUE PASS']
min,"Wed, Jan 10",Boston Celtics,2024-01-11 00:00:00,['NBA LEAGUE PASS']
min,"Fri, Jan 12",Portland Trail Blazers,2024-01-13 01:00:00,['NBA LEAGUE PASS']
min,"Sun, Jan 14",La Clippers,2024-01-15 00:00:00,['NBA LEAGUE PASS']
min,"Wed, Jan 17",Detroit Pistons,2024-01-18 00:00:00,['NBA LEAGUE PASS']
min,"Thu, Jan 18",Memphis Grizzlies,2024-01-19 03:00:00,['TNT']
min,"Sat, Jan 20",Oklahoma City Thunder,2024-01-21 01:00:00,['NBA LEAGUE PASS']
min,"Mon, Jan 22",Charlotte Hornets,2024-01-23 01:00:00,['NBA LEAGUE PASS']
min,"Wed, Jan 24",Washington Wizards,2024-01-25 00:00:00,['NBA LEAGUE PASS']
min,"Thu, Jan 25",Brooklyn Nets,2024-01-26 00:30:00,['NBA LEAGUE PASS']
min,"Sat, Jan 27",San Antonio Spurs,2024-01-28 01:30:00,['NBA LEAGUE PASS']
min,"Mon, Jan 29",Oklahoma City Thunder,2024-01-30 01:00:00,['NBA LEAGUE PASS']
min,"Wed, Jan 31",Dallas Mavericks,2024-02-01 01:00:00,['NBA LEAGUE PASS']
min,"Fri, Feb 2",Orlando Magic,2024-02-03 01:00:00,['NBA LEAGUE PASS']
min,"Sun, Feb 4",Houston Rockets,2024-02-05 00:00:00,['NBA LEAGUE PASS']
min,"Tue, Feb 6",Chicago Bulls,2024-02-07 01:00:00,['NBA LEAGUE PASS']
min,"Thu, Feb 8",Milwaukee Bucks,2024-02-09 01:00:00,['NBA LEAGUE PASS']
min,"Mon, Feb 12",La Clippers,2024-02-13 03:30:00,['NBA LEAGUE PASS']
min,"Tue, Feb 13",Portland Trail Blazers,2024-02-14 03:00:00,['NBA LEAGUE PASS']
min,"Thu, Feb 15",Portland Trail Blazers,2024-02-16 03:00:00,['NBA LEAGUE PASS']
min,"Fri, Feb 23",Milwaukee Bucks,2024-02-24 01:00:00,['NBA LEAGUE PASS']
min,"Sat, Feb 24",Brooklyn Nets,2024-02-25 01:00:00,['NBA LEAGUE PASS']
min,"Tue, Feb 27",San Antonio Spurs,2024-02-28 00:30:00,['NBA LEAGUE PASS']
min,"Wed, Feb 28",Memphis Grizzlies,2024-02-29 00:30:00,['ESPN']
min,"Fri, Mar 1",Sacramento Kings,2024-03-02 01:00:00,['NBA LEAGUE PASS']
min,"Sun, Mar 3",La Clippers,2024-03-03 20:30:00,['NBA LEAGUE PASS']
min,"Mon, Mar 4",Portland Trail Blazers,2024-03-05 01:00:00,['NBA LEAGUE PASS']
min,"Thu, Mar 7",Indiana Pacers,2024-03-08 00:00:00,['NBA LEAGUE PASS']
min,"Fri, Mar 8",Cleveland Cavaliers,2024-03-09 00:30:00,['NBA LEAGUE PASS']
min,"Sun, Mar 10",Los Angeles Lakers,2024-03-11 01:30:00,['ESPN']
min,"Tue, Mar 12",La Clippers,2024-03-13 02:00:00,['TNT']
min,"Sat, Mar 16",Utah Jazz,2024-03-17 01:30:00,['NBA LEAGUE PASS']
min,"Mon, Mar 18",Utah Jazz,2024-03-19 01:00:00,['NBA LEAGUE PASS']
min,"Tue, Mar 19",Denver Nuggets,2024-03-20 01:00:00,['NBA TV']
min,"Fri, Mar 22",Cleveland Cavaliers,2024-03-23 00:00:00,['NBA LEAGUE PASS']
min,"Sun, Mar 24",Golden State Warriors,2024-03-24 23:00:00,['NBA LEAGUE PASS']
min,"Wed, Mar 27",Detroit Pistons,2024-03-28 00:00:00,['NBA LEAGUE PASS']
min,"Fri, Mar 29",Denver Nuggets,2024-03-30 01:00:00,['NBA LEAGUE PASS']
min,"Sun, Mar 31",Chicago Bulls,2024-03-31 23:00:00,['NBA LEAGUE PASS']
min,"Tue, Apr 2",Houston Rockets,2024-04-03 00:00:00,['NBA LEAGUE PASS']
min,"Wed, Apr 3",Toronto Raptors,2024-04-04 00:00:00,['NBA LEAGUE PASS']
min,"Fri, Apr 5",Phoenix Suns,2024-04-06 02:00:00,['NBA TV']
min,"Sun, Apr 7",Los Angeles Lakers,2024-04-08 02:00:00,['NBA TV']
min,"Tue, Apr 9",Washington Wizards,2024-04-10 00:00:00,['NBA LEAGUE PASS']
min,"Wed, Apr 10",Denver Nuggets,2024-04-11 02:00:00,['ESPN']
min,"Fri, Apr 12",Atlanta Hawks,2024-04-13 00:00:00,['NBA LEAGUE PASS']
min,"Sun, Apr 14",Phoenix Suns,2024-04-14 19:30:00,['NBA LEAGUE PASS']
