team,date,opponent,time,channel
no,"Wed, Oct 25",Memphis Grizzlies,2023-10-26 00:00:00,['NBA LEAGUE PASS']
no,"Sat, Oct 28",New York Knicks,2023-10-28 23:00:00,['NBA TV']
no,"Mon, Oct 30",Golden State Warriors,2023-10-31 00:00:00,['NBA TV']
no,"Wed, Nov 1",Oklahoma City Thunder,2023-11-01 23:30:00,['ESPN']
no,"Thu, Nov 2",Detroit Pistons,2023-11-03 00:00:00,['NBA LEAGUE PASS']
no,"Sat, Nov 4",Atlanta Hawks,2023-11-04 23:00:00,['NBA LEAGUE PASS']
no,"Mon, Nov 6",Denver Nuggets,2023-11-07 02:00:00,['NBA LEAGUE PASS']
no,"Wed, Nov 8",Minnesota Timberwolves,2023-11-09 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Nov 10",Houston Rockets,2023-11-11 01:00:00,['NBA LEAGUE PASS']
no,"Sun, Nov 12",Dallas Mavericks,2023-11-13 00:00:00,['NBA LEAGUE PASS']
no,"Tue, Nov 14",Dallas Mavericks,2023-11-15 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Nov 17",Denver Nuggets,2023-11-18 01:00:00,['NBA LEAGUE PASS']
no,"Sat, Nov 18",Minnesota Timberwolves,2023-11-19 00:00:00,['NBA LEAGUE PASS']
no,"Mon, Nov 20",Sacramento Kings,2023-11-21 01:00:00,['NBA LEAGUE PASS']
no,"Wed, Nov 22",Sacramento Kings,2023-11-23 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Nov 24",La Clippers,2023-11-25 03:30:00,['NBA LEAGUE PASS']
no,"Sat, Nov 25",Utah Jazz,2023-11-26 02:30:00,['NBA LEAGUE PASS']
no,"Mon, Nov 27",Utah Jazz,2023-11-28 02:00:00,['NBA LEAGUE PASS']
no,"Wed, Nov 29",Philadelphia 76Ers,2023-11-30 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Dec 1",San Antonio Spurs,2023-12-02 01:00:00,['NBA LEAGUE PASS']
no,"Sat, Dec 2",Chicago Bulls,2023-12-03 01:00:00,['NBA LEAGUE PASS']
no,"Mon, Dec 11",Minnesota Timberwolves,2023-12-12 01:00:00,['NBA LEAGUE PASS']
no,"Wed, Dec 13",Washington Wizards,2023-12-14 00:00:00,['NBA LEAGUE PASS']
no,"Fri, Dec 15",Charlotte Hornets,2023-12-16 00:00:00,['NBA LEAGUE PASS']
no,"Sun, Dec 17",San Antonio Spurs,2023-12-17 20:30:00,['NBA LEAGUE PASS']
no,"Tue, Dec 19",Memphis Grizzlies,2023-12-20 00:30:00,['TNT']
no,"Thu, Dec 21",Cleveland Cavaliers,2023-12-22 00:30:00,['NBA LEAGUE PASS']
no,"Sat, Dec 23",Houston Rockets,2023-12-24 00:00:00,['NBA LEAGUE PASS']
no,"Tue, Dec 26",Memphis Grizzlies,2023-12-27 01:00:00,['NBA LEAGUE PASS']
no,"Thu, Dec 28",Utah Jazz,2023-12-29 01:00:00,['NBA LEAGUE PASS']
no,"Sun, Dec 31",Los Angeles Lakers,2024-01-01 00:00:00,['NBA LEAGUE PASS']
no,"Tue, Jan 2",Brooklyn Nets,2024-01-03 01:00:00,['NBA LEAGUE PASS']
no,"Wed, Jan 3",Minnesota Timberwolves,2024-01-04 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Jan 5",La Clippers,2024-01-06 01:00:00,['NBA LEAGUE PASS']
no,"Sun, Jan 7",Sacramento Kings,2024-01-07 23:00:00,['NBA LEAGUE PASS']
no,"Wed, Jan 10",Golden State Warriors,2024-01-11 01:30:00,['ABC']
no,"Fri, Jan 12",Denver Nuggets,2024-01-13 02:00:00,['NBA LEAGUE PASS']
no,"Sat, Jan 13",Dallas Mavericks,2024-01-14 01:30:00,['NBA LEAGUE PASS']
no,"Mon, Jan 15",Dallas Mavericks,2024-01-15 19:30:00,['NBA LEAGUE PASS']
no,"Wed, Jan 17",Charlotte Hornets,2024-01-18 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Jan 19",Phoenix Suns,2024-01-20 01:00:00,['NBA LEAGUE PASS']
no,"Tue, Jan 23",Utah Jazz,2024-01-24 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Jan 26",Oklahoma City Thunder,2024-01-27 01:00:00,['NBA LEAGUE PASS']
no,"Sat, Jan 27",Milwaukee Bucks,2024-01-28 01:00:00,['NBA LEAGUE PASS']
no,"Mon, Jan 29",Boston Celtics,2024-01-30 00:30:00,['NBA LEAGUE PASS']
no,"Wed, Jan 31",Houston Rockets,2024-02-01 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Feb 2",San Antonio Spurs,2024-02-03 01:00:00,['NBA LEAGUE PASS']
no,"Mon, Feb 5",Toronto Raptors,2024-02-06 01:00:00,['NBA LEAGUE PASS']
no,"Wed, Feb 7",La Clippers,2024-02-08 03:00:00,['ESPN']
no,"Fri, Feb 9",Los Angeles Lakers,2024-02-10 03:30:00,['NBA TV']
no,"Sat, Feb 10",Portland Trail Blazers,2024-02-11 03:00:00,['NBA LEAGUE PASS']
no,"Mon, Feb 12",Memphis Grizzlies,2024-02-13 01:00:00,['NBA LEAGUE PASS']
no,"Wed, Feb 14",Washington Wizards,2024-02-15 01:00:00,['NBA LEAGUE PASS']
no,"Thu, Feb 22",Houston Rockets,2024-02-23 01:00:00,['NBA LEAGUE PASS']
no,"Fri, Feb 23",Miami Heat,2024-02-24 03:00:00,['ESPN']
no,"Sun, Feb 25",Chicago Bulls,2024-02-26 00:00:00,['NBA LEAGUE PASS']
no,"Tue, Feb 27",New York Knicks,2024-02-28 00:30:00,['NBA LEAGUE PASS']
no,"Wed, Feb 28",Indiana Pacers,2024-02-29 00:00:00,['NBA LEAGUE PASS']
no,"Fri, Mar 1",Indiana Pacers,2024-03-02 01:00:00,['NBA LEAGUE PASS']
no,"Tue, Mar 5",Toronto Raptors,2024-03-06 00:30:00,['NBA LEAGUE PASS']
no,"Fri, Mar 8",Philadelphia 76Ers,2024-03-09 00:00:00,['NBA LEAGUE PASS']
no,"Sun, Mar 10",Atlanta Hawks,2024-03-10 22:00:00,['NBA LEAGUE PASS']
no,"Wed, Mar 13",Cleveland Cavaliers,2024-03-14 00:00:00,['NBA LEAGUE PASS']
no,"Fri, Mar 15",La Clippers,2024-03-16 00:00:00,['NBA LEAGUE PASS']
no,"Sat, Mar 16",Portland Trail Blazers,2024-03-16 23:00:00,['NBA LEAGUE PASS']
no,"Tue, Mar 19",Brooklyn Nets,2024-03-19 23:30:00,['NBA LEAGUE PASS']
no,"Thu, Mar 21",Orlando Magic,2024-03-21 23:00:00,['NBA LEAGUE PASS']
no,"Fri, Mar 22",Miami Heat,2024-03-23 00:00:00,['NBA TV']
no,"Sun, Mar 24",Detroit Pistons,2024-03-24 19:00:00,['NBA LEAGUE PASS']
no,"Tue, Mar 26",Oklahoma City Thunder,2024-03-27 00:00:00,['NBA LEAGUE PASS']
no,"Thu, Mar 28",Milwaukee Bucks,2024-03-29 00:00:00,['NBA TV']
no,"Sat, Mar 30",Boston Celtics,2024-03-30 21:00:00,['NBA TV']
no,"Mon, Apr 1",Phoenix Suns,2024-04-02 00:00:00,['NBA LEAGUE PASS']
no,"Wed, Apr 3",Orlando Magic,2024-04-04 00:00:00,['NBA LEAGUE PASS']
no,"Fri, Apr 5",San Antonio Spurs,2024-04-06 00:00:00,['NBA LEAGUE PASS']
no,"Sun, Apr 7",Phoenix Suns,2024-04-07 22:00:00,['NBA LEAGUE PASS']
no,"Tue, Apr 9",Portland Trail Blazers,2024-04-10 02:00:00,['NBA LEAGUE PASS']
no,"Thu, Apr 11",Sacramento Kings,2024-04-12 02:00:00,['TNT']
no,"Fri, Apr 12",Golden State Warriors,2024-04-13 02:00:00,['NBA LEAGUE PASS']
no,"Sun, Apr 14",Los Angeles Lakers,2024-04-14 19:30:00,['NBA LEAGUE PASS']
