team,date,opponent,time,channel
ny,"Wed, Oct 25",Boston Celtics,2023-10-25 23:00:00,['ESPN']
ny,"Fri, Oct 27",Atlanta Hawks,2023-10-27 23:30:00,['NBA LEAGUE PASS']
ny,"Sat, Oct 28",New Orleans Pelicans,2023-10-28 23:00:00,['NBA TV']
ny,"Tue, Oct 31",Cleveland Cavaliers,2023-10-31 23:30:00,['TNT']
ny,"Wed, Nov 1",Cleveland Cavaliers,2023-11-01 23:30:00,['NBA LEAGUE PASS']
ny,"Fri, Nov 3",Milwaukee Bucks,2023-11-03 23:30:00,['ESPN']
ny,"Mon, Nov 6",La Clippers,2023-11-07 00:30:00,['NBA LEAGUE PASS']
ny,"Wed, Nov 8",San Antonio Spurs,2023-11-09 00:30:00,['ESPN']
ny,"Sun, Nov 12",Charlotte Hornets,2023-11-12 17:00:00,['NBA LEAGUE PASS']
ny,"Mon, Nov 13",Boston Celtics,2023-11-14 00:30:00,['NBA TV']
ny,"Wed, Nov 15",Atlanta Hawks,2023-11-16 00:30:00,['NBA LEAGUE PASS']
ny,"Fri, Nov 17",Washington Wizards,2023-11-18 00:00:00,['NBA LEAGUE PASS']
ny,"Sat, Nov 18",Charlotte Hornets,2023-11-18 23:00:00,['NBA LEAGUE PASS']
ny,"Mon, Nov 20",Minnesota Timberwolves,2023-11-21 01:00:00,['NBA LEAGUE PASS']
ny,"Fri, Nov 24",Miami Heat,2023-11-25 00:30:00,['ESPN']
ny,"Sun, Nov 26",Phoenix Suns,2023-11-26 23:00:00,['NBA LEAGUE PASS']
ny,"Tue, Nov 28",Charlotte Hornets,2023-11-29 00:30:00,['NBA LEAGUE PASS']
ny,"Thu, Nov 30",Detroit Pistons,2023-12-01 00:30:00,['NBA LEAGUE PASS']
ny,"Fri, Dec 1",Toronto Raptors,2023-12-02 00:30:00,['NBA LEAGUE PASS']
ny,"Mon, Dec 11",Toronto Raptors,2023-12-12 00:30:00,['NBA LEAGUE PASS']
ny,"Wed, Dec 13",Utah Jazz,2023-12-14 02:00:00,['NBA LEAGUE PASS']
ny,"Fri, Dec 15",Phoenix Suns,2023-12-16 03:00:00,['ESPN']
ny,"Sat, Dec 16",La Clippers,2023-12-17 03:30:00,['NBA LEAGUE PASS']
ny,"Mon, Dec 18",Los Angeles Lakers,2023-12-19 03:30:00,['NBA LEAGUE PASS']
ny,"Wed, Dec 20",Brooklyn Nets,2023-12-21 00:30:00,['NBA LEAGUE PASS']
ny,"Sat, Dec 23",Milwaukee Bucks,2023-12-23 17:30:00,['NBA TV']
ny,"Mon, Dec 25",Milwaukee Bucks,2023-12-25 17:00:00,['ESPN']
ny,"Wed, Dec 27",Oklahoma City Thunder,2023-12-28 01:00:00,['NBA LEAGUE PASS']
ny,"Fri, Dec 29",Orlando Magic,2023-12-30 00:00:00,['NBA LEAGUE PASS']
ny,"Sat, Dec 30",Indiana Pacers,2023-12-31 00:00:00,['NBA LEAGUE PASS']
ny,"Mon, Jan 1",Minnesota Timberwolves,2024-01-01 20:00:00,['NBA TV']
ny,"Wed, Jan 3",Chicago Bulls,2024-01-04 01:30:00,['ABC']
ny,"Fri, Jan 5",Philadelphia 76Ers,2024-01-06 00:30:00,['ESPN']
ny,"Sat, Jan 6",Washington Wizards,2024-01-07 00:00:00,['NBA LEAGUE PASS']
ny,"Tue, Jan 9",Portland Trail Blazers,2024-01-10 00:30:00,['NBA LEAGUE PASS']
ny,"Thu, Jan 11",Dallas Mavericks,2024-01-12 01:30:00,['NBA LEAGUE PASS']
ny,"Sat, Jan 13",Memphis Grizzlies,2024-01-14 01:00:00,['NBA LEAGUE PASS']
ny,"Mon, Jan 15",Orlando Magic,2024-01-15 20:00:00,['NBA LEAGUE PASS']
ny,"Wed, Jan 17",Houston Rockets,2024-01-18 00:30:00,['NBA LEAGUE PASS']
ny,"Thu, Jan 18",Washington Wizards,2024-01-19 00:30:00,['NBA LEAGUE PASS']
ny,"Sat, Jan 20",Toronto Raptors,2024-01-21 00:30:00,['NBA LEAGUE PASS']
ny,"Tue, Jan 23",Brooklyn Nets,2024-01-24 00:30:00,['TNT']
ny,"Thu, Jan 25",Denver Nuggets,2024-01-26 00:30:00,['NBA LEAGUE PASS']
ny,"Sat, Jan 27",Miami Heat,2024-01-27 20:00:00,['ABC']
ny,"Mon, Jan 29",Charlotte Hornets,2024-01-30 00:00:00,['NBA LEAGUE PASS']
ny,"Tue, Jan 30",Utah Jazz,2024-01-31 00:30:00,['NBA LEAGUE PASS']
ny,"Thu, Feb 1",Indiana Pacers,2024-02-02 00:30:00,['NBA LEAGUE PASS']
ny,"Sat, Feb 3",Los Angeles Lakers,2024-02-04 01:30:00,['ABC']
ny,"Tue, Feb 6",Memphis Grizzlies,2024-02-07 00:30:00,['NBA LEAGUE PASS']
ny,"Thu, Feb 8",Dallas Mavericks,2024-02-09 00:30:00,['TNT']
ny,"Sat, Feb 10",Indiana Pacers,2024-02-11 00:30:00,['NBA LEAGUE PASS']
ny,"Mon, Feb 12",Houston Rockets,2024-02-13 01:00:00,['NBA LEAGUE PASS']
ny,"Wed, Feb 14",Orlando Magic,2024-02-15 00:00:00,['NBA LEAGUE PASS']
ny,"Thu, Feb 22",Philadelphia 76Ers,2024-02-23 00:00:00,['NBA LEAGUE PASS']
ny,"Sat, Feb 24",Boston Celtics,2024-02-25 01:30:00,['ABC']
ny,"Mon, Feb 26",Detroit Pistons,2024-02-27 00:00:00,['NBA LEAGUE PASS']
ny,"Tue, Feb 27",New Orleans Pelicans,2024-02-28 00:30:00,['NBA LEAGUE PASS']
ny,"Thu, Feb 29",Golden State Warriors,2024-03-01 00:30:00,['TNT']
ny,"Sun, Mar 3",Cleveland Cavaliers,2024-03-04 00:00:00,['ESPN']
ny,"Tue, Mar 5",Atlanta Hawks,2024-03-06 00:30:00,['TNT']
ny,"Fri, Mar 8",Orlando Magic,2024-03-09 00:30:00,['NBA LEAGUE PASS']
ny,"Sun, Mar 10",Philadelphia 76Ers,2024-03-10 22:00:00,['NBA LEAGUE PASS']
ny,"Tue, Mar 12",Philadelphia 76Ers,2024-03-12 23:30:00,['TNT']
ny,"Thu, Mar 14",Portland Trail Blazers,2024-03-15 02:00:00,['NBA LEAGUE PASS']
ny,"Sat, Mar 16",Sacramento Kings,2024-03-17 02:00:00,['NBA LEAGUE PASS']
ny,"Mon, Mar 18",Golden State Warriors,2024-03-19 02:00:00,['ESPN']
ny,"Thu, Mar 21",Denver Nuggets,2024-03-22 01:00:00,['NBA LEAGUE PASS']
ny,"Sat, Mar 23",Brooklyn Nets,2024-03-23 17:00:00,['NBA LEAGUE PASS']
ny,"Mon, Mar 25",Detroit Pistons,2024-03-25 23:30:00,['NBA LEAGUE PASS']
ny,"Wed, Mar 27",Toronto Raptors,2024-03-27 23:30:00,['NBA LEAGUE PASS']
ny,"Fri, Mar 29",San Antonio Spurs,2024-03-30 00:00:00,['NBA LEAGUE PASS']
ny,"Sun, Mar 31",Oklahoma City Thunder,2024-03-31 23:00:00,['NBA LEAGUE PASS']
ny,"Tue, Apr 2",Miami Heat,2024-04-02 23:30:00,['NBA LEAGUE PASS']
ny,"Thu, Apr 4",Sacramento Kings,2024-04-04 23:30:00,['NBA LEAGUE PASS']
ny,"Fri, Apr 5",Chicago Bulls,2024-04-06 00:00:00,['NBA LEAGUE PASS']
ny,"Sun, Apr 7",Milwaukee Bucks,2024-04-07 23:00:00,['NBA TV']
ny,"Tue, Apr 9",Chicago Bulls,2024-04-10 00:00:00,['NBA LEAGUE PASS']
ny,"Thu, Apr 11",Boston Celtics,2024-04-11 23:30:00,['TNT']
ny,"Fri, Apr 12",Brooklyn Nets,2024-04-12 23:30:00,['NBA LEAGUE PASS']
ny,"Sun, Apr 14",Chicago Bulls,2024-04-14 17:00:00,['NBA LEAGUE PASS']
