team,date,opponent,time,channel
okc,"Wed, Oct 25",Chicago Bulls,2023-10-26 00:00:00,['NBA LEAGUE PASS']
okc,"Fri, Oct 27",Cleveland Cavaliers,2023-10-27 23:30:00,['NBA LEAGUE PASS']
okc,"Sun, Oct 29",Denver Nuggets,2023-10-29 19:30:00,['NBA LEAGUE PASS']
okc,"Mon, Oct 30",Detroit Pistons,2023-10-31 00:00:00,['NBA LEAGUE PASS']
okc,"Wed, Nov 1",New Orleans Pelicans,2023-11-01 23:30:00,['ESPN']
okc,"Fri, Nov 3",Golden State Warriors,2023-11-04 00:00:00,['NBA LEAGUE PASS']
okc,"Mon, Nov 6",Atlanta Hawks,2023-11-07 01:00:00,['NBA LEAGUE PASS']
okc,"Wed, Nov 8",Cleveland Cavaliers,2023-11-09 01:00:00,['NBA LEAGUE PASS']
okc,"Fri, Nov 10",Sacramento Kings,2023-11-11 03:00:00,['NBA LEAGUE PASS']
okc,"Sun, Nov 12",Phoenix Suns,2023-11-13 01:00:00,['NBA LEAGUE PASS']
okc,"Tue, Nov 14",San Antonio Spurs,2023-11-15 00:30:00,['TNT']
okc,"Thu, Nov 16",Golden State Warriors,2023-11-17 03:00:00,['NBA TV']
okc,"Sat, Nov 18",Golden State Warriors,2023-11-19 01:30:00,['NBA LEAGUE PASS']
okc,"Sun, Nov 19",Portland Trail Blazers,2023-11-20 02:00:00,['NBA LEAGUE PASS']
okc,"Wed, Nov 22",Chicago Bulls,2023-11-23 01:00:00,['NBA LEAGUE PASS']
okc,"Sat, Nov 25",Philadelphia 76Ers,2023-11-25 22:00:00,['NBA LEAGUE PASS']
okc,"Tue, Nov 28",Minnesota Timberwolves,2023-11-29 01:00:00,['NBA LEAGUE PASS']
okc,"Thu, Nov 30",Los Angeles Lakers,2023-12-01 01:00:00,['NBA LEAGUE PASS']
okc,"Sat, Dec 2",Dallas Mavericks,2023-12-03 02:00:00,['NBA LEAGUE PASS']
okc,"Mon, Dec 11",Utah Jazz,2023-12-12 01:00:00,['NBA LEAGUE PASS']
okc,"Thu, Dec 14",Sacramento Kings,2023-12-15 03:00:00,['NBA LEAGUE PASS']
okc,"Sat, Dec 16",Denver Nuggets,2023-12-17 02:00:00,['NBA LEAGUE PASS']
okc,"Mon, Dec 18",Memphis Grizzlies,2023-12-19 01:00:00,['NBA LEAGUE PASS']
okc,"Thu, Dec 21",La Clippers,2023-12-22 01:00:00,['NBA LEAGUE PASS']
okc,"Sat, Dec 23",Los Angeles Lakers,2023-12-24 01:00:00,['NBA LEAGUE PASS']
