team,date,opponent,time,channel
orl,"Wed, Oct 25",Houston Rockets,2023-10-25 23:00:00,['NBA LEAGUE PASS']
orl,"Fri, Oct 27",Portland Trail Blazers,2023-10-28 02:00:00,['NBA LEAGUE PASS']
orl,"Mon, Oct 30",Los Angeles Lakers,2023-10-31 02:30:00,['NBA TV']
orl,"Tue, Oct 31",La Clippers,2023-11-01 02:30:00,['NBA LEAGUE PASS']
orl,"Thu, Nov 2",Utah Jazz,2023-11-03 01:00:00,['NBA LEAGUE PASS']
orl,"Sat, Nov 4",Los Angeles Lakers,2023-11-04 23:00:00,['NBA LEAGUE PASS']
orl,"Mon, Nov 6",Dallas Mavericks,2023-11-07 00:00:00,['NBA LEAGUE PASS']
orl,"Thu, Nov 9",Atlanta Hawks,2023-11-10 02:30:00,['NBA TV']
orl,"Sat, Nov 11",Milwaukee Bucks,2023-11-11 23:00:00,['NBA LEAGUE PASS']
orl,"Tue, Nov 14",Brooklyn Nets,2023-11-15 00:30:00,['NBA LEAGUE PASS']
orl,"Wed, Nov 15",Chicago Bulls,2023-11-16 01:00:00,['NBA LEAGUE PASS']
orl,"Fri, Nov 17",Chicago Bulls,2023-11-18 01:00:00,['NBA LEAGUE PASS']
orl,"Sun, Nov 19",Indiana Pacers,2023-11-19 22:00:00,['NBA LEAGUE PASS']
orl,"Tue, Nov 21",Toronto Raptors,2023-11-22 00:00:00,['NBA LEAGUE PASS']
orl,"Wed, Nov 22",Denver Nuggets,2023-11-23 00:00:00,['NBA LEAGUE PASS']
orl,"Fri, Nov 24",Boston Celtics,2023-11-24 19:30:00,['NBA TV']
orl,"Sun, Nov 26",Charlotte Hornets,2023-11-26 23:00:00,['NBA LEAGUE PASS']
orl,"Wed, Nov 29",Washington Wizards,2023-11-30 00:00:00,['NBA LEAGUE PASS']
orl,"Fri, Dec 1",Washington Wizards,2023-12-02 00:00:00,['NBA LEAGUE PASS']
orl,"Sat, Dec 2",Brooklyn Nets,2023-12-03 00:00:00,['NBA LEAGUE PASS']
orl,"Mon, Dec 11",Cleveland Cavaliers,2023-12-12 00:00:00,['NBA LEAGUE PASS']
orl,"Fri, Dec 15",Boston Celtics,2023-12-16 00:30:00,['NBA LEAGUE PASS']
orl,"Sun, Dec 17",Boston Celtics,2023-12-17 20:00:00,['NBA LEAGUE PASS']
orl,"Wed, Dec 20",Miami Heat,2023-12-21 00:00:00,['NBA LEAGUE PASS']
orl,"Thu, Dec 21",Milwaukee Bucks,2023-12-22 01:00:00,['NBA LEAGUE PASS']
orl,"Sat, Dec 23",Indiana Pacers,2023-12-24 00:00:00,['NBA LEAGUE PASS']
orl,"Tue, Dec 26",Washington Wizards,2023-12-27 00:00:00,['NBA LEAGUE PASS']
orl,"Wed, Dec 27",Philadelphia 76Ers,2023-12-28 00:00:00,['NBA LEAGUE PASS']
orl,"Fri, Dec 29",New York Knicks,2023-12-30 00:00:00,['NBA LEAGUE PASS']
orl,"Sun, Dec 31",Phoenix Suns,2024-01-01 01:00:00,['NBA LEAGUE PASS']
orl,"Tue, Jan 2",Golden State Warriors,2024-01-03 03:00:00,['NBA TV']
orl,"Wed, Jan 3",Sacramento Kings,2024-01-04 03:00:00,['NBA LEAGUE PASS']
orl,"Fri, Jan 5",Denver Nuggets,2024-01-06 02:00:00,['NBA LEAGUE PASS']
orl,"Sun, Jan 7",Atlanta Hawks,2024-01-07 23:00:00,['NBA LEAGUE PASS']
orl,"Tue, Jan 9",Minnesota Timberwolves,2024-01-10 00:00:00,['NBA LEAGUE PASS']
orl,"Fri, Jan 12",Miami Heat,2024-01-13 01:00:00,['NBA LEAGUE PASS']
orl,"Sat, Jan 13",Oklahoma City Thunder,2024-01-14 01:00:00,['NBA LEAGUE PASS']
orl,"Mon, Jan 15",New York Knicks,2024-01-15 20:00:00,['NBA LEAGUE PASS']
orl,"Wed, Jan 17",Atlanta Hawks,2024-01-18 00:30:00,['NBA LEAGUE PASS']
orl,"Fri, Jan 19",Philadelphia 76Ers,2024-01-20 00:00:00,['NBA LEAGUE PASS']
orl,"Sun, Jan 21",Miami Heat,2024-01-21 23:00:00,['NBA LEAGUE PASS']
orl,"Mon, Jan 22",Cleveland Cavaliers,2024-01-23 00:00:00,['NBA LEAGUE PASS']
orl,"Fri, Jan 26",Memphis Grizzlies,2024-01-27 01:00:00,['NBA LEAGUE PASS']
orl,"Sun, Jan 28",Phoenix Suns,2024-01-28 23:00:00,['NBA LEAGUE PASS']
orl,"Mon, Jan 29",Dallas Mavericks,2024-01-30 01:30:00,['NBA LEAGUE PASS']
orl,"Wed, Jan 31",San Antonio Spurs,2024-02-01 01:00:00,['NBA LEAGUE PASS']
orl,"Fri, Feb 2",Minnesota Timberwolves,2024-02-03 01:00:00,['NBA LEAGUE PASS']
orl,"Sun, Feb 4",Detroit Pistons,2024-02-04 20:00:00,['NBA LEAGUE PASS']
orl,"Tue, Feb 6",Miami Heat,2024-02-07 00:30:00,['NBA LEAGUE PASS']
orl,"Thu, Feb 8",San Antonio Spurs,2024-02-09 00:00:00,['NBA LEAGUE PASS']
orl,"Sat, Feb 10",Chicago Bulls,2024-02-11 00:00:00,['NBA LEAGUE PASS']
orl,"Tue, Feb 13",Oklahoma City Thunder,2024-02-14 00:30:00,['TNT']
