team,date,opponent,time,channel
phi,"Thu, Oct 26",Milwaukee Bucks,2023-10-26 23:30:00,['TNT']
phi,"Sat, Oct 28",Toronto Raptors,2023-10-28 23:30:00,['NBA LEAGUE PASS']
phi,"Sun, Oct 29",Portland Trail Blazers,2023-10-29 23:30:00,['NBA LEAGUE PASS']
phi,"Thu, Nov 2",Toronto Raptors,2023-11-02 23:00:00,['NBA TV']
phi,"Sat, Nov 4",Phoenix Suns,2023-11-04 17:00:00,['NBA LEAGUE PASS']
phi,"Mon, Nov 6",Washington Wizards,2023-11-07 00:00:00,['NBA LEAGUE PASS']
phi,"Wed, Nov 8",Boston Celtics,2023-11-09 00:00:00,['NBA LEAGUE PASS']
phi,"Fri, Nov 10",Detroit Pistons,2023-11-11 00:00:00,['NBA LEAGUE PASS']
phi,"Sun, Nov 12",Indiana Pacers,2023-11-12 23:00:00,['NBA LEAGUE PASS']
phi,"Tue, Nov 14",Indiana Pacers,2023-11-15 00:00:00,['NBA LEAGUE PASS']
phi,"Wed, Nov 15",Boston Celtics,2023-11-16 00:30:00,['ESPN']
phi,"Fri, Nov 17",Atlanta Hawks,2023-11-18 00:30:00,['NBA LEAGUE PASS']
phi,"Sun, Nov 19",Brooklyn Nets,2023-11-19 20:00:00,['NBA LEAGUE PASS']
phi,"Tue, Nov 21",Cleveland Cavaliers,2023-11-22 00:30:00,['TNT']
phi,"Wed, Nov 22",Minnesota Timberwolves,2023-11-23 01:00:00,['NBA LEAGUE PASS']
phi,"Sat, Nov 25",Oklahoma City Thunder,2023-11-25 22:00:00,['NBA LEAGUE PASS']
phi,"Mon, Nov 27",Los Angeles Lakers,2023-11-28 00:00:00,['NBA TV']
phi,"Wed, Nov 29",New Orleans Pelicans,2023-11-30 01:00:00,['NBA LEAGUE PASS']
phi,"Fri, Dec 1",Boston Celtics,2023-12-02 00:30:00,['NBA LEAGUE PASS']
phi,"Mon, Dec 11",Washington Wizards,2023-12-12 00:00:00,['NBA LEAGUE PASS']
phi,"Wed, Dec 13",Detroit Pistons,2023-12-14 00:00:00,['NBA LEAGUE PASS']
phi,"Fri, Dec 15",Detroit Pistons,2023-12-16 00:00:00,['NBA LEAGUE PASS']
phi,"Sat, Dec 16",Charlotte Hornets,2023-12-17 00:00:00,['NBA LEAGUE PASS']
phi,"Mon, Dec 18",Chicago Bulls,2023-12-19 00:00:00,['NBA LEAGUE PASS']
phi,"Wed, Dec 20",Minnesota Timberwolves,2023-12-21 00:00:00,['NBA TV']
phi,"Fri, Dec 22",Toronto Raptors,2023-12-23 00:00:00,['NBA LEAGUE PASS']
phi,"Mon, Dec 25",Miami Heat,2023-12-26 01:00:00,['ESPN']
phi,"Wed, Dec 27",Orlando Magic,2023-12-28 00:00:00,['NBA LEAGUE PASS']
phi,"Fri, Dec 29",Houston Rockets,2023-12-30 01:00:00,['NBA LEAGUE PASS']
