team,date,opponent,time,channel
phx,"Tue, Oct 24",Golden State Warriors,2023-10-25 02:00:00,['TNT']
phx,"Thu, Oct 26",Los Angeles Lakers,2023-10-27 02:00:00,['TNT']
phx,"Sat, Oct 28",Utah Jazz,2023-10-29 02:00:00,['NBA TV']
phx,"Tue, Oct 31",San Antonio Spurs,2023-11-01 02:00:00,['TNT']
phx,"Thu, Nov 2",San Antonio Spurs,2023-11-03 02:00:00,['NBA TV']
phx,"Sat, Nov 4",Philadelphia 76Ers,2023-11-04 17:00:00,['NBA LEAGUE PASS']
phx,"Sun, Nov 5",Detroit Pistons,2023-11-05 20:00:00,['NBA LEAGUE PASS']
phx,"Wed, Nov 8",Chicago Bulls,2023-11-09 01:00:00,['NBA LEAGUE PASS']
phx,"Fri, Nov 10",Los Angeles Lakers,2023-11-11 03:00:00,['ESPN']
phx,"Sun, Nov 12",Oklahoma City Thunder,2023-11-13 01:00:00,['NBA LEAGUE PASS']
phx,"Wed, Nov 15",Minnesota Timberwolves,2023-11-16 02:00:00,['NBA LEAGUE PASS']
phx,"Fri, Nov 17",Utah Jazz,2023-11-18 03:00:00,['ESPN']
phx,"Sun, Nov 19",Utah Jazz,2023-11-20 01:00:00,['NBA TV']
phx,"Tue, Nov 21",Portland Trail Blazers,2023-11-22 02:00:00,['NBA LEAGUE PASS']
phx,"Wed, Nov 22",Golden State Warriors,2023-11-23 03:00:00,['ESPN']
phx,"Fri, Nov 24",Memphis Grizzlies,2023-11-24 22:00:00,['NBA TV']
phx,"Sun, Nov 26",New York Knicks,2023-11-26 23:00:00,['NBA LEAGUE PASS']
phx,"Wed, Nov 29",Toronto Raptors,2023-11-30 00:30:00,['NBA LEAGUE PASS']
phx,"Fri, Dec 1",Denver Nuggets,2023-12-02 03:00:00,['ESPN']
phx,"Sat, Dec 2",Memphis Grizzlies,2023-12-03 02:00:00,['NBA LEAGUE PASS']
phx,"Tue, Dec 12",Golden State Warriors,2023-12-13 03:00:00,['TNT']
phx,"Wed, Dec 13",Brooklyn Nets,2023-12-14 02:00:00,['NBA LEAGUE PASS']
phx,"Fri, Dec 15",New York Knicks,2023-12-16 03:00:00,['ESPN']
phx,"Sun, Dec 17",Washington Wizards,2023-12-18 01:00:00,['NBA LEAGUE PASS']
phx,"Tue, Dec 19",Portland Trail Blazers,2023-12-20 03:00:00,['NBA LEAGUE PASS']
phx,"Fri, Dec 22",Sacramento Kings,2023-12-23 03:00:00,['NBA LEAGUE PASS']
phx,"Mon, Dec 25",Dallas Mavericks,2023-12-26 03:30:00,['ESPN']
phx,"Wed, Dec 27",Houston Rockets,2023-12-28 01:00:00,['NBA LEAGUE PASS']
phx,"Fri, Dec 29",Charlotte Hornets,2023-12-30 02:00:00,['NBA LEAGUE PASS']
phx,"Sun, Dec 31",Orlando Magic,2024-01-01 01:00:00,['NBA LEAGUE PASS']
phx,"Mon, Jan 1",Portland Trail Blazers,2024-01-02 02:00:00,['NBA LEAGUE PASS']
phx,"Wed, Jan 3",La Clippers,2024-01-04 02:00:00,['NBA LEAGUE PASS']
phx,"Fri, Jan 5",Miami Heat,2024-01-06 02:00:00,['NBA LEAGUE PASS']
phx,"Sun, Jan 7",Memphis Grizzlies,2024-01-08 01:00:00,['NBA LEAGUE PASS']
phx,"Mon, Jan 8",La Clippers,2024-01-09 03:30:00,['NBA TV']
phx,"Thu, Jan 11",Los Angeles Lakers,2024-01-12 03:00:00,['TNT']
phx,"Sun, Jan 14",Portland Trail Blazers,2024-01-15 02:00:00,['NBA LEAGUE PASS']
phx,"Tue, Jan 16",Sacramento Kings,2024-01-17 02:00:00,['NBA LEAGUE PASS']
phx,"Fri, Jan 19",New Orleans Pelicans,2024-01-20 01:00:00,['NBA LEAGUE PASS']
phx,"Sun, Jan 21",Indiana Pacers,2024-01-22 01:00:00,['NBA LEAGUE PASS']
phx,"Mon, Jan 22",Chicago Bulls,2024-01-23 02:00:00,['NBA LEAGUE PASS']
phx,"Wed, Jan 24",Dallas Mavericks,2024-01-25 02:30:00,['ESPN']
phx,"Fri, Jan 26",Indiana Pacers,2024-01-27 00:00:00,['NBA LEAGUE PASS']
phx,"Sun, Jan 28",Orlando Magic,2024-01-28 23:00:00,['NBA LEAGUE PASS']
phx,"Mon, Jan 29",Miami Heat,2024-01-30 00:30:00,['NBA TV']
phx,"Wed, Jan 31",Brooklyn Nets,2024-02-01 01:30:00,['ABC']
phx,"Fri, Feb 2",Atlanta Hawks,2024-02-03 00:30:00,['NBA LEAGUE PASS']
phx,"Sun, Feb 4",Washington Wizards,2024-02-04 20:30:00,['NBA TV']
