team,date,opponent,time,channel
por,"Wed, Oct 25",La Clippers,2023-10-26 02:30:00,['NBA LEAGUE PASS']
por,"Fri, Oct 27",Orlando Magic,2023-10-28 02:00:00,['NBA LEAGUE PASS']
por,"Sun, Oct 29",Philadelphia 76Ers,2023-10-29 23:30:00,['NBA LEAGUE PASS']
por,"Mon, Oct 30",Toronto Raptors,2023-10-30 23:30:00,['NBA LEAGUE PASS']
por,"Wed, Nov 1",Detroit Pistons,2023-11-01 23:00:00,['NBA LEAGUE PASS']
por,"Fri, Nov 3",Memphis Grizzlies,2023-11-04 02:00:00,['NBA LEAGUE PASS']
por,"Sun, Nov 5",Memphis Grizzlies,2023-11-06 02:00:00,['NBA LEAGUE PASS']
por,"Wed, Nov 8",Sacramento Kings,2023-11-09 03:00:00,['NBA LEAGUE PASS']
por,"Sun, Nov 12",Los Angeles Lakers,2023-11-13 03:00:00,['NBA LEAGUE PASS']
por,"Tue, Nov 14",Utah Jazz,2023-11-15 02:00:00,['NBA LEAGUE PASS']
por,"Wed, Nov 15",Cleveland Cavaliers,2023-11-16 03:00:00,['NBA LEAGUE PASS']
por,"Fri, Nov 17",Los Angeles Lakers,2023-11-18 03:00:00,['NBA LEAGUE PASS']
por,"Sun, Nov 19",Oklahoma City Thunder,2023-11-20 02:00:00,['NBA LEAGUE PASS']
por,"Tue, Nov 21",Phoenix Suns,2023-11-22 02:00:00,['NBA LEAGUE PASS']
por,"Wed, Nov 22",Utah Jazz,2023-11-23 03:00:00,['NBA LEAGUE PASS']
por,"Sun, Nov 26",Milwaukee Bucks,2023-11-26 20:30:00,['NBA LEAGUE PASS']
por,"Mon, Nov 27",Indiana Pacers,2023-11-28 00:00:00,['NBA LEAGUE PASS']
por,"Thu, Nov 30",Cleveland Cavaliers,2023-12-01 00:00:00,['NBA LEAGUE PASS']
por,"Sat, Dec 2",Utah Jazz,2023-12-03 02:30:00,['NBA LEAGUE PASS']
por,"Mon, Dec 11",La Clippers,2023-12-12 03:30:00,['NBA LEAGUE PASS']
por,"Thu, Dec 14",Utah Jazz,2023-12-15 03:00:00,['NBA LEAGUE PASS']
por,"Sat, Dec 16",Dallas Mavericks,2023-12-17 02:00:00,['NBA LEAGUE PASS']
por,"Sun, Dec 17",Golden State Warriors,2023-12-18 02:00:00,['NBA LEAGUE PASS']
por,"Tue, Dec 19",Phoenix Suns,2023-12-20 03:00:00,['NBA LEAGUE PASS']
por,"Thu, Dec 21",Washington Wizards,2023-12-22 03:00:00,['NBA TV']
por,"Sat, Dec 23",Golden State Warriors,2023-12-24 01:30:00,['NBA LEAGUE PASS']
por,"Tue, Dec 26",Sacramento Kings,2023-12-27 03:00:00,['NBA LEAGUE PASS']
por,"Thu, Dec 28",San Antonio Spurs,2023-12-29 03:00:00,['NBA LEAGUE PASS']
por,"Fri, Dec 29",San Antonio Spurs,2023-12-30 03:00:00,['NBA LEAGUE PASS']
por,"Mon, Jan 1",Phoenix Suns,2024-01-02 02:00:00,['NBA LEAGUE PASS']
por,"Wed, Jan 3",Dallas Mavericks,2024-01-04 01:30:00,['NBA LEAGUE PASS']
por,"Fri, Jan 5",Dallas Mavericks,2024-01-06 01:30:00,['NBA LEAGUE PASS']
por,"Sun, Jan 7",Brooklyn Nets,2024-01-07 20:00:00,['NBA LEAGUE PASS']
por,"Tue, Jan 9",New York Knicks,2024-01-10 00:30:00,['NBA LEAGUE PASS']
por,"Thu, Jan 11",Oklahoma City Thunder,2024-01-12 01:00:00,['NBA LEAGUE PASS']
por,"Fri, Jan 12",Minnesota Timberwolves,2024-01-13 01:00:00,['NBA LEAGUE PASS']
por,"Sun, Jan 14",Phoenix Suns,2024-01-15 02:00:00,['NBA LEAGUE PASS']
por,"Wed, Jan 17",Brooklyn Nets,2024-01-18 03:00:00,['NBA LEAGUE PASS']
por,"Fri, Jan 19",Indiana Pacers,2024-01-20 03:00:00,['NBA LEAGUE PASS']
por,"Sun, Jan 21",Los Angeles Lakers,2024-01-22 03:00:00,['NBA LEAGUE PASS']
por,"Tue, Jan 23",Oklahoma City Thunder,2024-01-24 01:00:00,['NBA LEAGUE PASS']
por,"Wed, Jan 24",Houston Rockets,2024-01-25 01:00:00,['NBA LEAGUE PASS']
por,"Fri, Jan 26",San Antonio Spurs,2024-01-27 02:30:00,['NBA TV']
por,"Sun, Jan 28",Chicago Bulls,2024-01-29 02:00:00,['NBA LEAGUE PASS']
por,"Mon, Jan 29",Philadelphia 76Ers,2024-01-30 03:00:00,['NBA TV']
por,"Wed, Jan 31",Milwaukee Bucks,2024-02-01 03:00:00,['ESPN']
por,"Fri, Feb 2",Denver Nuggets,2024-02-03 02:00:00,['NBA LEAGUE PASS']
por,"Sun, Feb 4",Denver Nuggets,2024-02-05 01:30:00,['NBA TV']
por,"Thu, Feb 8",Detroit Pistons,2024-02-09 03:00:00,['NBA LEAGUE PASS']
por,"Sat, Feb 10",New Orleans Pelicans,2024-02-11 03:00:00,['NBA LEAGUE PASS']
por,"Tue, Feb 13",Minnesota Timberwolves,2024-02-14 03:00:00,['NBA LEAGUE PASS']
por,"Thu, Feb 15",Minnesota Timberwolves,2024-02-16 03:00:00,['NBA LEAGUE PASS']
por,"Fri, Feb 23",Denver Nuggets,2024-02-24 03:00:00,['NBA LEAGUE PASS']
por,"Sun, Feb 25",Charlotte Hornets,2024-02-26 02:00:00,['NBA LEAGUE PASS']
por,"Tue, Feb 27",Miami Heat,2024-02-28 03:00:00,['TNT']
por,"Fri, Mar 1",Memphis Grizzlies,2024-03-02 01:00:00,['NBA LEAGUE PASS']
por,"Sat, Mar 2",Memphis Grizzlies,2024-03-03 01:00:00,['NBA LEAGUE PASS']
por,"Mon, Mar 4",Minnesota Timberwolves,2024-03-05 01:00:00,['NBA LEAGUE PASS']
por,"Wed, Mar 6",Oklahoma City Thunder,2024-03-07 03:00:00,['NBA LEAGUE PASS']
por,"Fri, Mar 8",Houston Rockets,2024-03-09 03:00:00,['NBA LEAGUE PASS']
por,"Sat, Mar 9",Toronto Raptors,2024-03-10 03:00:00,['NBA LEAGUE PASS']
