team,date,opponent,time,channel
sa,"Wed, Oct 25",Dallas Mavericks,2023-10-26 01:30:00,['ESPN']
sa,"Fri, Oct 27",Houston Rockets,2023-10-28 00:00:00,['NBA LEAGUE PASS']
sa,"Sun, Oct 29",La Clippers,2023-10-30 01:00:00,['NBA LEAGUE PASS']
sa,"Tue, Oct 31",Phoenix Suns,2023-11-01 02:00:00,['TNT']
sa,"Thu, Nov 2",Phoenix Suns,2023-11-03 02:00:00,['NBA TV']
sa,"Sun, Nov 5",Toronto Raptors,2023-11-05 20:30:00,['NBA LEAGUE PASS']
sa,"Mon, Nov 6",Indiana Pacers,2023-11-07 00:00:00,['NBA LEAGUE PASS']
sa,"Wed, Nov 8",New York Knicks,2023-11-09 00:30:00,['ESPN']
sa,"Fri, Nov 10",Minnesota Timberwolves,2023-11-11 01:00:00,['NBA LEAGUE PASS']
sa,"Sun, Nov 12",Miami Heat,2023-11-13 00:00:00,['NBA LEAGUE PASS']
sa,"Tue, Nov 14",Oklahoma City Thunder,2023-11-15 00:30:00,['TNT']
sa,"Fri, Nov 17",Sacramento Kings,2023-11-18 00:30:00,['ESPN']
sa,"Sat, Nov 18",Memphis Grizzlies,2023-11-19 01:00:00,['NBA LEAGUE PASS']
sa,"Mon, Nov 20",La Clippers,2023-11-21 01:00:00,['NBA LEAGUE PASS']
sa,"Wed, Nov 22",La Clippers,2023-11-23 01:00:00,['NBA LEAGUE PASS']
sa,"Fri, Nov 24",Golden State Warriors,2023-11-25 03:00:00,['ESPN']
sa,"Sun, Nov 26",Denver Nuggets,2023-11-27 01:00:00,['NBA LEAGUE PASS']
sa,"Thu, Nov 30",Atlanta Hawks,2023-12-01 01:00:00,['NBA LEAGUE PASS']
sa,"Fri, Dec 1",New Orleans Pelicans,2023-12-02 01:00:00,['NBA LEAGUE PASS']
sa,"Mon, Dec 11",Houston Rockets,2023-12-12 01:00:00,['NBA LEAGUE PASS']
sa,"Wed, Dec 13",Los Angeles Lakers,2023-12-14 01:00:00,['NBA TV']
sa,"Fri, Dec 15",Los Angeles Lakers,2023-12-16 00:30:00,['ESPN']
sa,"Sun, Dec 17",New Orleans Pelicans,2023-12-17 20:30:00,['NBA LEAGUE PASS']
sa,"Tue, Dec 19",Milwaukee Bucks,2023-12-20 01:00:00,['NBA LEAGUE PASS']
sa,"Thu, Dec 21",Chicago Bulls,2023-12-22 01:00:00,['NBA LEAGUE PASS']
sa,"Sat, Dec 23",Dallas Mavericks,2023-12-24 01:30:00,['NBA LEAGUE PASS']
sa,"Tue, Dec 26",Utah Jazz,2023-12-27 01:00:00,['NBA LEAGUE PASS']
sa,"Thu, Dec 28",Portland Trail Blazers,2023-12-29 03:00:00,['NBA LEAGUE PASS']
sa,"Fri, Dec 29",Portland Trail Blazers,2023-12-30 03:00:00,['NBA LEAGUE PASS']
sa,"Sun, Dec 31",Boston Celtics,2024-01-01 00:00:00,['NBA LEAGUE PASS']
sa,"Tue, Jan 2",Memphis Grizzlies,2024-01-03 01:00:00,['NBA LEAGUE PASS']
sa,"Thu, Jan 4",Milwaukee Bucks,2024-01-05 00:30:00,['TNT']
sa,"Sun, Jan 7",Cleveland Cavaliers,2024-01-07 18:00:00,['NBA LEAGUE PASS']
sa,"Wed, Jan 10",Detroit Pistons,2024-01-11 00:00:00,['NBA LEAGUE PASS']
sa,"Fri, Jan 12",Charlotte Hornets,2024-01-13 03:00:00,['ESPN']
sa,"Sat, Jan 13",Chicago Bulls,2024-01-14 01:30:00,['NBA LEAGUE PASS']
sa,"Mon, Jan 15",Atlanta Hawks,2024-01-15 20:30:00,['TNT']
sa,"Wed, Jan 17",Boston Celtics,2024-01-18 00:30:00,['NBA LEAGUE PASS']
sa,"Fri, Jan 19",Charlotte Hornets,2024-01-20 00:00:00,['NBA LEAGUE PASS']
sa,"Sat, Jan 20",Washington Wizards,2024-01-21 00:00:00,['NBA LEAGUE PASS']
sa,"Mon, Jan 22",Philadelphia 76Ers,2024-01-23 00:00:00,['NBA TV']
sa,"Wed, Jan 24",Oklahoma City Thunder,2024-01-25 01:30:00,['ABC']
sa,"Fri, Jan 26",Portland Trail Blazers,2024-01-27 02:30:00,['NBA TV']
sa,"Sat, Jan 27",Minnesota Timberwolves,2024-01-28 01:30:00,['NBA LEAGUE PASS']
sa,"Mon, Jan 29",Washington Wizards,2024-01-30 01:00:00,['NBA LEAGUE PASS']
sa,"Wed, Jan 31",Orlando Magic,2024-02-01 01:00:00,['NBA LEAGUE PASS']
sa,"Fri, Feb 2",New Orleans Pelicans,2024-02-03 01:00:00,['NBA LEAGUE PASS']
sa,"Sat, Feb 3",Cleveland Cavaliers,2024-02-04 01:30:00,['NBA LEAGUE PASS']
sa,"Wed, Feb 7",Miami Heat,2024-02-08 00:30:00,['NBA LEAGUE PASS']
sa,"Thu, Feb 8",Orlando Magic,2024-02-09 00:00:00,['NBA LEAGUE PASS']
sa,"Sat, Feb 10",Brooklyn Nets,2024-02-10 23:00:00,['NBA LEAGUE PASS']
sa,"Mon, Feb 12",Toronto Raptors,2024-02-13 00:30:00,['NBA LEAGUE PASS']
sa,"Wed, Feb 14",Dallas Mavericks,2024-02-15 01:30:00,['NBA LEAGUE PASS']
sa,"Thu, Feb 22",Sacramento Kings,2024-02-23 03:00:00,['NBA LEAGUE PASS']
sa,"Fri, Feb 23",Los Angeles Lakers,2024-02-24 03:30:00,['NBA LEAGUE PASS']
sa,"Sun, Feb 25",Utah Jazz,2024-02-26 01:00:00,['NBA LEAGUE PASS']
sa,"Tue, Feb 27",Minnesota Timberwolves,2024-02-28 00:30:00,['NBA LEAGUE PASS']
sa,"Thu, Feb 29",Oklahoma City Thunder,2024-03-01 01:30:00,['NBA LEAGUE PASS']
sa,"Sun, Mar 3",Indiana Pacers,2024-03-04 00:00:00,['NBA LEAGUE PASS']
sa,"Tue, Mar 5",Houston Rockets,2024-03-06 01:00:00,['NBA LEAGUE PASS']
sa,"Thu, Mar 7",Sacramento Kings,2024-03-08 03:00:00,['NBA LEAGUE PASS']
sa,"Sat, Mar 9",Golden State Warriors,2024-03-10 01:30:00,['NBA LEAGUE PASS']
sa,"Mon, Mar 11",Golden State Warriors,2024-03-12 00:00:00,['NBA TV']
sa,"Tue, Mar 12",Houston Rockets,2024-03-13 00:30:00,['NBA LEAGUE PASS']
sa,"Fri, Mar 15",Denver Nuggets,2024-03-16 00:30:00,['NBA LEAGUE PASS']
sa,"Sun, Mar 17",Brooklyn Nets,2024-03-17 23:00:00,['NBA TV']
sa,"Tue, Mar 19",Dallas Mavericks,2024-03-20 00:00:00,['NBA LEAGUE PASS']
sa,"Fri, Mar 22",Memphis Grizzlies,2024-03-23 00:00:00,['NBA LEAGUE PASS']
sa,"Sat, Mar 23",Phoenix Suns,2024-03-24 00:00:00,['NBA TV']
sa,"Mon, Mar 25",Phoenix Suns,2024-03-26 00:00:00,['NBA LEAGUE PASS']
sa,"Wed, Mar 27",Utah Jazz,2024-03-28 01:00:00,['NBA LEAGUE PASS']
sa,"Fri, Mar 29",New York Knicks,2024-03-30 00:00:00,['NBA LEAGUE PASS']
sa,"Sun, Mar 31",Golden State Warriors,2024-03-31 23:00:00,['NBA TV']
sa,"Tue, Apr 2",Denver Nuggets,2024-04-03 01:00:00,['NBA LEAGUE PASS']
sa,"Fri, Apr 5",New Orleans Pelicans,2024-04-06 00:00:00,['NBA LEAGUE PASS']
sa,"Sun, Apr 7",Philadelphia 76Ers,2024-04-07 23:00:00,['NBA LEAGUE PASS']
sa,"Tue, Apr 9",Memphis Grizzlies,2024-04-10 00:00:00,['NBA LEAGUE PASS']
sa,"Wed, Apr 10",Oklahoma City Thunder,2024-04-11 00:00:00,['NBA LEAGUE PASS']
sa,"Fri, Apr 12",Denver Nuggets,2024-04-13 00:00:00,['NBA LEAGUE PASS']
sa,"Sun, Apr 14",Detroit Pistons,2024-04-14 19:30:00,['NBA LEAGUE PASS']
