team,date,opponent,time,channel
sac,"Wed, Oct 25",Utah Jazz,2023-10-26 01:00:00,['NBA LEAGUE PASS']
sac,"Fri, Oct 27",Golden State Warriors,2023-10-28 02:00:00,['ESPN']
sac,"Sun, Oct 29",Los Angeles Lakers,2023-10-30 01:00:00,['NBA LEAGUE PASS']
sac,"Wed, Nov 1",Golden State Warriors,2023-11-02 02:00:00,['NBA LEAGUE PASS']
sac,"Sat, Nov 4",Houston Rockets,2023-11-05 00:00:00,['NBA LEAGUE PASS']
sac,"Mon, Nov 6",Houston Rockets,2023-11-07 01:00:00,['NBA LEAGUE PASS']
sac,"Wed, Nov 8",Portland Trail Blazers,2023-11-09 03:00:00,['NBA LEAGUE PASS']
sac,"Fri, Nov 10",Oklahoma City Thunder,2023-11-11 03:00:00,['NBA LEAGUE PASS']
sac,"Mon, Nov 13",Cleveland Cavaliers,2023-11-14 03:00:00,['NBA TV']
sac,"Wed, Nov 15",Los Angeles Lakers,2023-11-16 03:00:00,['ESPN']
sac,"Fri, Nov 17",San Antonio Spurs,2023-11-18 00:30:00,['ESPN']
sac,"Sun, Nov 19",Dallas Mavericks,2023-11-20 00:30:00,['NBA LEAGUE PASS']
sac,"Mon, Nov 20",New Orleans Pelicans,2023-11-21 01:00:00,['NBA LEAGUE PASS']
sac,"Wed, Nov 22",New Orleans Pelicans,2023-11-23 01:00:00,['NBA LEAGUE PASS']
sac,"Fri, Nov 24",Minnesota Timberwolves,2023-11-25 01:00:00,['NBA LEAGUE PASS']
sac,"Tue, Nov 28",Golden State Warriors,2023-11-29 03:00:00,['TNT']
sac,"Wed, Nov 29",La Clippers,2023-11-30 03:00:00,['NBA TV']
sac,"Sat, Dec 2",Denver Nuggets,2023-12-03 03:00:00,['NBA TV']
sac,"Mon, Dec 11",Brooklyn Nets,2023-12-12 03:00:00,['NBA LEAGUE PASS']
sac,"Tue, Dec 12",La Clippers,2023-12-13 03:30:00,['NBA LEAGUE PASS']
sac,"Thu, Dec 14",Oklahoma City Thunder,2023-12-15 03:00:00,['NBA LEAGUE PASS']
sac,"Sat, Dec 16",Utah Jazz,2023-12-17 03:00:00,['NBA TV']
sac,"Mon, Dec 18",Washington Wizards,2023-12-19 03:00:00,['NBA LEAGUE PASS']
sac,"Wed, Dec 20",Boston Celtics,2023-12-21 03:00:00,['NBA TV']
sac,"Fri, Dec 22",Phoenix Suns,2023-12-23 03:00:00,['NBA LEAGUE PASS']
sac,"Sat, Dec 23",Minnesota Timberwolves,2023-12-24 03:00:00,['NBA LEAGUE PASS']
sac,"Tue, Dec 26",Portland Trail Blazers,2023-12-27 03:00:00,['NBA LEAGUE PASS']
sac,"Fri, Dec 29",Atlanta Hawks,2023-12-30 00:30:00,['NBA LEAGUE PASS']
sac,"Sun, Dec 31",Memphis Grizzlies,2024-01-01 01:00:00,['NBA LEAGUE PASS']
sac,"Tue, Jan 2",Charlotte Hornets,2024-01-03 03:00:00,['NBA LEAGUE PASS']
sac,"Wed, Jan 3",Orlando Magic,2024-01-04 03:00:00,['NBA LEAGUE PASS']
sac,"Fri, Jan 5",Toronto Raptors,2024-01-06 03:00:00,['NBA LEAGUE PASS']
sac,"Sun, Jan 7",New Orleans Pelicans,2024-01-07 23:00:00,['NBA LEAGUE PASS']
