team,date,opponent,time,channel
tor,"Wed, Oct 25",Minnesota Timberwolves,2023-10-25 23:30:00,['NBA LEAGUE PASS']
tor,"Fri, Oct 27",Chicago Bulls,2023-10-28 00:00:00,['NBA LEAGUE PASS']
tor,"Sat, Oct 28",Philadelphia 76Ers,2023-10-28 23:30:00,['NBA LEAGUE PASS']
tor,"Mon, Oct 30",Portland Trail Blazers,2023-10-30 23:30:00,['NBA LEAGUE PASS']
tor,"Wed, Nov 1",Milwaukee Bucks,2023-11-01 23:00:00,['NBA LEAGUE PASS']
tor,"Thu, Nov 2",Philadelphia 76Ers,2023-11-02 23:00:00,['NBA TV']
tor,"Sun, Nov 5",San Antonio Spurs,2023-11-05 20:30:00,['NBA LEAGUE PASS']
tor,"Wed, Nov 8",Dallas Mavericks,2023-11-09 01:30:00,['NBA LEAGUE PASS']
tor,"Sat, Nov 11",Boston Celtics,2023-11-12 00:00:00,['NBA LEAGUE PASS']
tor,"Mon, Nov 13",Washington Wizards,2023-11-14 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Nov 15",Milwaukee Bucks,2023-11-16 00:30:00,['NBA LEAGUE PASS']
tor,"Fri, Nov 17",Boston Celtics,2023-11-18 00:30:00,['NBA LEAGUE PASS']
tor,"Sun, Nov 19",Detroit Pistons,2023-11-19 21:00:00,['NBA LEAGUE PASS']
tor,"Tue, Nov 21",Orlando Magic,2023-11-22 00:00:00,['NBA LEAGUE PASS']
tor,"Wed, Nov 22",Indiana Pacers,2023-11-23 00:30:00,['NBA LEAGUE PASS']
tor,"Fri, Nov 24",Chicago Bulls,2023-11-25 00:30:00,['NBA LEAGUE PASS']
tor,"Sun, Nov 26",Cleveland Cavaliers,2023-11-27 00:30:00,['NBA LEAGUE PASS']
tor,"Tue, Nov 28",Brooklyn Nets,2023-11-29 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Nov 29",Phoenix Suns,2023-11-30 00:30:00,['NBA LEAGUE PASS']
tor,"Fri, Dec 1",New York Knicks,2023-12-02 00:30:00,['NBA LEAGUE PASS']
tor,"Mon, Dec 11",New York Knicks,2023-12-12 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Dec 13",Atlanta Hawks,2023-12-14 00:30:00,['NBA LEAGUE PASS']
tor,"Fri, Dec 15",Atlanta Hawks,2023-12-16 00:30:00,['NBA LEAGUE PASS']
tor,"Mon, Dec 18",Charlotte Hornets,2023-12-19 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Dec 20",Denver Nuggets,2023-12-21 00:30:00,['NBA LEAGUE PASS']
tor,"Fri, Dec 22",Philadelphia 76Ers,2023-12-23 00:00:00,['NBA LEAGUE PASS']
tor,"Sat, Dec 23",Utah Jazz,2023-12-24 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Dec 27",Washington Wizards,2023-12-28 00:00:00,['NBA TV']
tor,"Fri, Dec 29",Boston Celtics,2023-12-30 00:30:00,['NBA LEAGUE PASS']
tor,"Sat, Dec 30",Detroit Pistons,2023-12-30 23:00:00,['NBA LEAGUE PASS']
tor,"Mon, Jan 1",Cleveland Cavaliers,2024-01-02 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Jan 3",Memphis Grizzlies,2024-01-04 01:00:00,['NBA LEAGUE PASS']
tor,"Fri, Jan 5",Sacramento Kings,2024-01-06 03:00:00,['NBA LEAGUE PASS']
tor,"Sun, Jan 7",Golden State Warriors,2024-01-08 01:30:00,['NBA LEAGUE PASS']
tor,"Tue, Jan 9",Los Angeles Lakers,2024-01-10 03:30:00,['NBA LEAGUE PASS']
tor,"Wed, Jan 10",La Clippers,2024-01-11 03:30:00,['NBA LEAGUE PASS']
tor,"Fri, Jan 12",Utah Jazz,2024-01-13 02:30:00,['NBA LEAGUE PASS']
tor,"Mon, Jan 15",Boston Celtics,2024-01-16 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Jan 17",Miami Heat,2024-01-18 00:30:00,['NBA LEAGUE PASS']
tor,"Thu, Jan 18",Chicago Bulls,2024-01-19 00:30:00,['TNT']
tor,"Sat, Jan 20",New York Knicks,2024-01-21 00:30:00,['NBA LEAGUE PASS']
tor,"Mon, Jan 22",Memphis Grizzlies,2024-01-23 00:30:00,['NBA LEAGUE PASS']
tor,"Fri, Jan 26",La Clippers,2024-01-27 00:30:00,['NBA LEAGUE PASS']
tor,"Sun, Jan 28",Atlanta Hawks,2024-01-28 23:00:00,['NBA LEAGUE PASS']
tor,"Tue, Jan 30",Chicago Bulls,2024-01-31 01:00:00,['NBA LEAGUE PASS']
tor,"Fri, Feb 2",Houston Rockets,2024-02-03 01:00:00,['NBA LEAGUE PASS']
tor,"Sun, Feb 4",Oklahoma City Thunder,2024-02-05 00:00:00,['NBA LEAGUE PASS']
tor,"Mon, Feb 5",New Orleans Pelicans,2024-02-06 01:00:00,['NBA LEAGUE PASS']
tor,"Wed, Feb 7",Charlotte Hornets,2024-02-08 00:00:00,['NBA LEAGUE PASS']
tor,"Fri, Feb 9",Houston Rockets,2024-02-10 00:30:00,['NBA LEAGUE PASS']
tor,"Sat, Feb 10",Cleveland Cavaliers,2024-02-11 00:30:00,['NBA LEAGUE PASS']
tor,"Mon, Feb 12",San Antonio Spurs,2024-02-13 00:30:00,['NBA LEAGUE PASS']
tor,"Wed, Feb 14",Indiana Pacers,2024-02-15 00:30:00,['NBA LEAGUE PASS']
tor,"Thu, Feb 22",Brooklyn Nets,2024-02-23 00:00:00,['NBA LEAGUE PASS']
tor,"Fri, Feb 23",Atlanta Hawks,2024-02-24 00:30:00,['NBA LEAGUE PASS']
tor,"Mon, Feb 26",Indiana Pacers,2024-02-27 00:00:00,['NBA TV']
tor,"Wed, Feb 28",Dallas Mavericks,2024-02-29 00:30:00,['NBA LEAGUE PASS']
tor,"Fri, Mar 1",Golden State Warriors,2024-03-02 00:30:00,['NBA LEAGUE PASS']
tor,"Sun, Mar 3",Charlotte Hornets,2024-03-03 23:00:00,['NBA LEAGUE PASS']
tor,"Tue, Mar 5",New Orleans Pelicans,2024-03-06 00:30:00,['NBA LEAGUE PASS']
tor,"Thu, Mar 7",Phoenix Suns,2024-03-08 02:00:00,['NBA LEAGUE PASS']
tor,"Sat, Mar 9",Portland Trail Blazers,2024-03-10 03:00:00,['NBA LEAGUE PASS']
tor,"Mon, Mar 11",Denver Nuggets,2024-03-12 01:00:00,['NBA LEAGUE PASS']
tor,"Wed, Mar 13",Detroit Pistons,2024-03-13 23:00:00,['NBA LEAGUE PASS']
tor,"Fri, Mar 15",Orlando Magic,2024-03-15 23:30:00,['NBA LEAGUE PASS']
tor,"Sun, Mar 17",Orlando Magic,2024-03-17 22:00:00,['NBA LEAGUE PASS']
tor,"Wed, Mar 20",Sacramento Kings,2024-03-20 23:30:00,['NBA LEAGUE PASS']
tor,"Fri, Mar 22",Oklahoma City Thunder,2024-03-22 23:00:00,['NBA LEAGUE PASS']
tor,"Sat, Mar 23",Washington Wizards,2024-03-24 00:00:00,['NBA LEAGUE PASS']
tor,"Mon, Mar 25",Brooklyn Nets,2024-03-25 23:30:00,['NBA LEAGUE PASS']
tor,"Wed, Mar 27",New York Knicks,2024-03-27 23:30:00,['NBA LEAGUE PASS']
tor,"Sun, Mar 31",Philadelphia 76Ers,2024-03-31 22:00:00,['NBA LEAGUE PASS']
tor,"Tue, Apr 2",Los Angeles Lakers,2024-04-02 23:00:00,['NBA LEAGUE PASS']
tor,"Wed, Apr 3",Minnesota Timberwolves,2024-04-04 00:00:00,['NBA LEAGUE PASS']
tor,"Fri, Apr 5",Milwaukee Bucks,2024-04-06 00:00:00,['NBA LEAGUE PASS']
tor,"Sun, Apr 7",Washington Wizards,2024-04-07 22:00:00,['NBA LEAGUE PASS']
tor,"Tue, Apr 9",Indiana Pacers,2024-04-09 23:00:00,['NBA LEAGUE PASS']
tor,"Wed, Apr 10",Brooklyn Nets,2024-04-10 23:30:00,['NBA LEAGUE PASS']
tor,"Fri, Apr 12",Miami Heat,2024-04-13 00:00:00,['NBA LEAGUE PASS']
tor,"Sun, Apr 14",Miami Heat,2024-04-14 17:00:00,['NBA LEAGUE PASS']
