team,date,opponent,time,channel
utah,"Wed, Oct 25",Sacramento Kings,2023-10-26 01:00:00,['NBA LEAGUE PASS']
utah,"Fri, Oct 27",La Clippers,2023-10-28 01:30:00,['NBA LEAGUE PASS']
utah,"Sat, Oct 28",Phoenix Suns,2023-10-29 02:00:00,['NBA TV']
utah,"Mon, Oct 30",Denver Nuggets,2023-10-31 01:00:00,['NBA LEAGUE PASS']
utah,"Wed, Nov 1",Memphis Grizzlies,2023-11-02 01:00:00,['NBA LEAGUE PASS']
utah,"Thu, Nov 2",Orlando Magic,2023-11-03 01:00:00,['NBA LEAGUE PASS']
utah,"Sat, Nov 4",Minnesota Timberwolves,2023-11-05 00:00:00,['NBA LEAGUE PASS']
utah,"Mon, Nov 6",Chicago Bulls,2023-11-07 01:00:00,['NBA LEAGUE PASS']
utah,"Wed, Nov 8",Indiana Pacers,2023-11-09 00:00:00,['NBA LEAGUE PASS']
utah,"Fri, Nov 10",Memphis Grizzlies,2023-11-11 01:00:00,['NBA LEAGUE PASS']
utah,"Tue, Nov 14",Portland Trail Blazers,2023-11-15 02:00:00,['NBA LEAGUE PASS']
utah,"Fri, Nov 17",Phoenix Suns,2023-11-18 03:00:00,['ESPN']
utah,"Sun, Nov 19",Phoenix Suns,2023-11-20 01:00:00,['NBA TV']
utah,"Tue, Nov 21",Los Angeles Lakers,2023-11-22 03:00:00,['TNT']
utah,"Wed, Nov 22",Portland Trail Blazers,2023-11-23 03:00:00,['NBA LEAGUE PASS']
utah,"Sat, Nov 25",New Orleans Pelicans,2023-11-26 02:30:00,['NBA LEAGUE PASS']
utah,"Mon, Nov 27",New Orleans Pelicans,2023-11-28 02:00:00,['NBA LEAGUE PASS']
utah,"Wed, Nov 29",Memphis Grizzlies,2023-11-30 01:00:00,['NBA LEAGUE PASS']
utah,"Thu, Nov 30",Minnesota Timberwolves,2023-12-01 01:00:00,['NBA LEAGUE PASS']
utah,"Sat, Dec 2",Portland Trail Blazers,2023-12-03 02:30:00,['NBA LEAGUE PASS']
utah,"Mon, Dec 11",Oklahoma City Thunder,2023-12-12 01:00:00,['NBA LEAGUE PASS']
