team,date,opponent,time,channel
wsh,"Wed, Oct 25",Indiana Pacers,2023-10-25 23:00:00,['NBA LEAGUE PASS']
wsh,"Sat, Oct 28",Memphis Grizzlies,2023-10-28 23:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Oct 30",Boston Celtics,2023-10-30 23:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Nov 1",Atlanta Hawks,2023-11-01 23:30:00,['NBA LEAGUE PASS']
wsh,"Fri, Nov 3",Miami Heat,2023-11-04 00:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Nov 6",Philadelphia 76Ers,2023-11-07 00:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Nov 8",Charlotte Hornets,2023-11-09 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Nov 10",Charlotte Hornets,2023-11-11 00:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Nov 12",Brooklyn Nets,2023-11-12 20:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Nov 13",Toronto Raptors,2023-11-14 00:30:00,['NBA LEAGUE PASS']
wsh,"Wed, Nov 15",Dallas Mavericks,2023-11-16 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Nov 17",New York Knicks,2023-11-18 00:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Nov 20",Milwaukee Bucks,2023-11-21 00:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Nov 22",Charlotte Hornets,2023-11-23 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Nov 24",Milwaukee Bucks,2023-11-25 01:00:00,['NBA LEAGUE PASS']
wsh,"Sat, Nov 25",Atlanta Hawks,2023-11-26 00:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Nov 27",Detroit Pistons,2023-11-28 00:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Nov 29",Orlando Magic,2023-11-30 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Dec 1",Orlando Magic,2023-12-02 00:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Dec 11",Philadelphia 76Ers,2023-12-12 00:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Dec 13",New Orleans Pelicans,2023-12-14 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Dec 15",Indiana Pacers,2023-12-16 00:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Dec 17",Phoenix Suns,2023-12-18 01:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Dec 18",Sacramento Kings,2023-12-19 03:00:00,['NBA LEAGUE PASS']
wsh,"Thu, Dec 21",Portland Trail Blazers,2023-12-22 03:00:00,['NBA TV']
wsh,"Fri, Dec 22",Golden State Warriors,2023-12-23 03:00:00,['ESPN']
wsh,"Tue, Dec 26",Orlando Magic,2023-12-27 00:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Dec 27",Toronto Raptors,2023-12-28 00:00:00,['NBA TV']
wsh,"Fri, Dec 29",Brooklyn Nets,2023-12-30 00:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Dec 31",Atlanta Hawks,2023-12-31 20:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Jan 3",Cleveland Cavaliers,2024-01-04 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Jan 5",Cleveland Cavaliers,2024-01-06 00:30:00,['NBA LEAGUE PASS']
wsh,"Sat, Jan 6",New York Knicks,2024-01-07 00:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Jan 8",Oklahoma City Thunder,2024-01-09 00:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Jan 10",Indiana Pacers,2024-01-11 00:00:00,['NBA LEAGUE PASS']
wsh,"Sat, Jan 13",Atlanta Hawks,2024-01-14 00:30:00,['NBA LEAGUE PASS']
wsh,"Mon, Jan 15",Detroit Pistons,2024-01-15 20:00:00,['NBA LEAGUE PASS']
wsh,"Thu, Jan 18",New York Knicks,2024-01-19 00:30:00,['NBA LEAGUE PASS']
wsh,"Sat, Jan 20",San Antonio Spurs,2024-01-21 00:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Jan 21",Denver Nuggets,2024-01-21 23:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Jan 24",Minnesota Timberwolves,2024-01-25 00:00:00,['NBA LEAGUE PASS']
wsh,"Thu, Jan 25",Utah Jazz,2024-01-26 00:00:00,['NBA LEAGUE PASS']
wsh,"Sat, Jan 27",Detroit Pistons,2024-01-27 17:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Jan 29",San Antonio Spurs,2024-01-30 01:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Jan 31",La Clippers,2024-02-01 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Feb 2",Miami Heat,2024-02-03 00:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Feb 4",Phoenix Suns,2024-02-04 20:30:00,['NBA TV']
wsh,"Wed, Feb 7",Cleveland Cavaliers,2024-02-08 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Feb 9",Boston Celtics,2024-02-10 00:30:00,['NBA LEAGUE PASS']
wsh,"Sat, Feb 10",Philadelphia 76Ers,2024-02-11 00:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Feb 12",Dallas Mavericks,2024-02-13 01:30:00,['NBA LEAGUE PASS']
wsh,"Wed, Feb 14",New Orleans Pelicans,2024-02-15 01:00:00,['NBA LEAGUE PASS']
wsh,"Thu, Feb 22",Denver Nuggets,2024-02-23 02:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Feb 23",Oklahoma City Thunder,2024-02-24 01:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Feb 25",Cleveland Cavaliers,2024-02-25 23:00:00,['NBA LEAGUE PASS']
wsh,"Tue, Feb 27",Golden State Warriors,2024-02-28 00:00:00,['NBA LEAGUE PASS']
wsh,"Thu, Feb 29",Los Angeles Lakers,2024-03-01 03:30:00,['NBA LEAGUE PASS']
wsh,"Fri, Mar 1",La Clippers,2024-03-02 03:30:00,['NBA LEAGUE PASS']
wsh,"Mon, Mar 4",Utah Jazz,2024-03-05 02:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Mar 6",Orlando Magic,2024-03-07 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Mar 8",Charlotte Hornets,2024-03-09 00:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Mar 10",Miami Heat,2024-03-10 22:00:00,['NBA LEAGUE PASS']
wsh,"Tue, Mar 12",Memphis Grizzlies,2024-03-13 00:00:00,['NBA LEAGUE PASS']
wsh,"Thu, Mar 14",Houston Rockets,2024-03-15 00:00:00,['NBA LEAGUE PASS']
wsh,"Sat, Mar 16",Chicago Bulls,2024-03-17 00:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Mar 17",Boston Celtics,2024-03-17 22:00:00,['NBA LEAGUE PASS']
wsh,"Tue, Mar 19",Houston Rockets,2024-03-19 23:00:00,['NBA LEAGUE PASS']
wsh,"Thu, Mar 21",Sacramento Kings,2024-03-21 23:00:00,['NBA LEAGUE PASS']
wsh,"Sat, Mar 23",Toronto Raptors,2024-03-24 00:00:00,['NBA LEAGUE PASS']
wsh,"Mon, Mar 25",Chicago Bulls,2024-03-26 00:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Mar 27",Brooklyn Nets,2024-03-27 23:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Mar 29",Detroit Pistons,2024-03-29 23:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Mar 31",Miami Heat,2024-03-31 22:00:00,['NBA LEAGUE PASS']
wsh,"Tue, Apr 2",Milwaukee Bucks,2024-04-02 23:00:00,['NBA LEAGUE PASS']
wsh,"Wed, Apr 3",Los Angeles Lakers,2024-04-03 23:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Apr 5",Portland Trail Blazers,2024-04-05 23:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Apr 7",Toronto Raptors,2024-04-07 22:00:00,['NBA LEAGUE PASS']
wsh,"Tue, Apr 9",Minnesota Timberwolves,2024-04-10 00:00:00,['NBA LEAGUE PASS']
wsh,"Fri, Apr 12",Chicago Bulls,2024-04-12 23:00:00,['NBA LEAGUE PASS']
wsh,"Sun, Apr 14",Boston Celtics,2024-04-14 17:00:00,['NBA LEAGUE PASS']
