team,date,opponent,time,channel
ari,DATE,Washington Commanders,invalid time,['TBD']
ari,"Sun, Sep 17",New York Giants,invalid time,['TBD']
ari,"Sun, Sep 10",Washington Commanders,invalid time,['TBD']
ari,"Sun, Oct 1",San Francisco 49Ers,invalid time,['TBD']
ari,"Sun, Sep 24",Dallas Cowboys,invalid time,['TBD']
ari,"Sun, Oct 15",Los Angeles Rams,invalid time,['TBD']
ari,"Sun, Oct 8",Cincinnati Bengals,invalid time,['TBD']
ari,"Sun, Nov 5",Cleveland Browns,2023-11-05 18:00:00,['CBS']
ari,DATE,Baltimore Ravens,invalid time,['TBD']
ari,"Sun, Nov 19",Houston Texans,2023-11-19 18:00:00,['CBS']
ari,"Sun, Oct 29",Baltimore Ravens,2023-10-29 20:25:00,['CBS']
ari,"Sun, Dec 3",Pittsburgh Steelers,2023-12-03 18:00:00,['CBS']
ari,"Sun, Nov 12",Atlanta Falcons,2023-11-12 21:05:00,['CBS']
ari,"Sun, Dec 17",San Francisco 49Ers,2023-12-17 21:05:00,['CBS']
ari,"Sun, Nov 26",Los Angeles Rams,2023-11-26 21:05:00,['FOX']
ari,"Sun, Dec 31",Philadelphia Eagles,2023-12-31 18:00:00,['FOX']
ari,BYE WEEK,San Francisco 49Ers,BYE WEEK,['BYE WEEK']
ari,"Sat, Aug 19",Kansas City Chiefs,invalid time,['TBD']
ari,"Sun, Dec 31",Philadelphia Eagles,2023-12-31 18:00:00,['FOX']
ari,"Sun, Jan 7",Seattle Seahawks,TBD,['TBD']
