team,date,opponent,time,channel
atl,DATE,Carolina Panthers,invalid time,['TBD']
atl,"Sun, Sep 17",Green Bay Packers,invalid time,['TBD']
atl,"Sun, Sep 10",Carolina Panthers,invalid time,['TBD']
atl,"Sun, Oct 1",Jacksonville Jaguars,invalid time,['TBD']
atl,"Sun, Sep 24",Detroit Lions,invalid time,['TBD']
atl,"Sun, Oct 15",Washington Commanders,invalid time,['TBD']
atl,"Sun, Oct 8",Houston Texans,invalid time,['TBD']
atl,"Sun, Nov 5",Minnesota Vikings,2023-11-05 18:00:00,['FOX']
atl,DATE,Tennessee Titans,invalid time,['TBD']
atl,BYE WEEK,New Orleans Saints,BYE WEEK,['BYE WEEK']
atl,"Sun, Oct 29",Tennessee Titans,2023-10-29 17:00:00,['CBS']
atl,"Sun, Dec 3",New York Jets,2023-12-03 18:00:00,['FOX']
atl,"Sun, Nov 12",Arizona Cardinals,2023-11-12 21:05:00,['CBS']
atl,"Sun, Dec 17",Carolina Panthers,TBD,['TBD']
atl,"Sun, Nov 26",New Orleans Saints,2023-11-26 18:00:00,['FOX']
atl,"Sun, Dec 31",Chicago Bears,2023-12-31 18:00:00,['CBS']
atl,"Sun, Dec 10",Tampa Bay Buccaneers,2023-12-10 18:00:00,['CBS']
atl,"Fri, Aug 18",Cincinnati Bengals,invalid time,['TBD']
atl,"Sun, Dec 31",Chicago Bears,2023-12-31 18:00:00,['CBS']
atl,"Sun, Jan 7",New Orleans Saints,TBD,['TBD']
