team,date,opponent,time,channel
bal,DATE,Houston Texans,invalid time,['TBD']
bal,"Sun, Sep 17",Cincinnati Bengals,invalid time,['TBD']
bal,"Sun, Sep 10",Houston Texans,invalid time,['TBD']
bal,"Sun, Oct 1",Cleveland Browns,invalid time,['TBD']
bal,"Sun, Sep 24",Indianapolis Colts,invalid time,['TBD']
bal,"Sun, Oct 15",Tennessee Titans,invalid time,['TBD']
bal,"Sun, Oct 8",Pittsburgh Steelers,invalid time,['TBD']
bal,"Sun, Nov 5",Seattle Seahawks,2023-11-05 18:00:00,['CBS']
bal,DATE,Arizona Cardinals,invalid time,['TBD']
bal,"Thu, Nov 16",Cincinnati Bengals,2023-11-17 01:15:00,['PRIME VIDEO']
bal,"Sun, Oct 29",Arizona Cardinals,2023-10-29 20:25:00,['CBS']
bal,BYE WEEK,Los Angeles Rams,BYE WEEK,['BYE WEEK']
bal,"Sun, Nov 12",Cleveland Browns,2023-11-12 18:00:00,['FOX']
bal,"Sun, Dec 17",Jacksonville Jaguars,2023-12-18 01:20:00,['NBC']
bal,"Sun, Nov 26",Los Angeles Chargers,2023-11-27 01:20:00,['NBC']
bal,"Sun, Dec 31",Miami Dolphins,2023-12-31 18:00:00,['CBS']
bal,"Sun, Dec 10",Los Angeles Rams,2023-12-10 18:00:00,['FOX']
bal,"Mon, Aug 21",Washington Commanders,invalid time,['TBD']
bal,"Sun, Dec 31",Miami Dolphins,2023-12-31 18:00:00,['CBS']
bal,"Sun, Jan 7",Pittsburgh Steelers,TBD,['TBD']
