team,date,opponent,time,channel
buf,DATE,New York Jets,invalid time,['TBD']
buf,"Sun, Sep 17",Las Vegas Raiders,invalid time,['TBD']
buf,"Mon, Sep 11",New York Jets,invalid time,['TBD']
buf,"Sun, Oct 1",Miami Dolphins,invalid time,['TBD']
buf,"Sun, Sep 24",Washington Commanders,invalid time,['TBD']
buf,"Sun, Oct 15",New York Giants,invalid time,['TBD']
buf,"Sun, Oct 8",Jacksonville Jaguars,invalid time,['TBD']
buf,"Sun, Nov 5",Cincinnati Bengals,2023-11-06 01:20:00,['NBC']
buf,DATE,Tampa Bay Buccaneers,invalid time,['TBD']
buf,"Sun, Nov 19",New York Jets,2023-11-19 21:25:00,['CBS']
buf,"Thu, Oct 26",Tampa Bay Buccaneers,2023-10-27 00:15:00,['PRIME VIDEO']
buf,BYE WEEK,Kansas City Chiefs,BYE WEEK,['BYE WEEK']
buf,"Mon, Nov 13",Denver Broncos,2023-11-14 01:15:00,"['ABC', 'ESPN']"
buf,"Sun, Dec 17",Dallas Cowboys,2023-12-17 21:25:00,['FOX']
buf,"Sun, Nov 26",Philadelphia Eagles,2023-11-26 21:25:00,['CBS']
buf,"Sun, Dec 31",New England Patriots,2023-12-31 18:00:00,['CBS']
buf,"Sun, Dec 10",Kansas City Chiefs,2023-12-10 21:25:00,['CBS']
buf,"Sat, Aug 19",Pittsburgh Steelers,invalid time,['TBD']
buf,"Sun, Dec 31",New England Patriots,2023-12-31 18:00:00,['CBS']
buf,"Sun, Jan 7",Miami Dolphins,TBD,['TBD']
