team,date,opponent,time,channel
car,DATE,Atlanta Falcons,invalid time,['TBD']
car,"Mon, Sep 18",New Orleans Saints,invalid time,['TBD']
car,"Sun, Sep 10",Atlanta Falcons,invalid time,['TBD']
car,"Sun, Oct 1",Minnesota Vikings,invalid time,['TBD']
car,"Sun, Sep 24",Seattle Seahawks,invalid time,['TBD']
car,"Sun, Oct 29",Houston Texans,2023-10-29 17:00:00,['FOX']
car,"Sun, Oct 8",Detroit Lions,invalid time,['TBD']
car,"Thu, Nov 9",Chicago Bears,2023-11-10 01:15:00,['PRIME VIDEO']
car,DATE,Houston Texans,invalid time,['TBD']
car,"Sun, Nov 26",Tennessee Titans,2023-11-26 18:00:00,['FOX']
car,BYE WEEK,Houston Texans,BYE WEEK,['BYE WEEK']
car,"Sun, Dec 10",New Orleans Saints,2023-12-10 18:00:00,['FOX']
car,"Sun, Nov 5",Indianapolis Colts,2023-11-05 21:05:00,['CBS']
car,"Sun, Dec 24",Green Bay Packers,2023-12-24 18:00:00,['FOX']
car,"Sun, Nov 19",Dallas Cowboys,2023-11-19 18:00:00,['FOX']
car,"Fri, Aug 18",New York Giants,invalid time,['TBD']
car,"Fri, Aug 18",New York Giants,invalid time,['TBD']
car,"Sun, Jan 7",Tampa Bay Buccaneers,TBD,['TBD']
