team,date,opponent,time,channel
chi,DATE,Green Bay Packers,invalid time,['TBD']
chi,"Sun, Sep 17",Tampa Bay Buccaneers,invalid time,['TBD']
chi,"Sun, Sep 10",Green Bay Packers,invalid time,['TBD']
chi,"Sun, Oct 1",Denver Broncos,invalid time,['TBD']
chi,"Sun, Sep 24",Kansas City Chiefs,invalid time,['TBD']
chi,"Sun, Oct 15",Minnesota Vikings,invalid time,['TBD']
chi,"Thu, Oct 5",Washington Commanders,invalid time,['TBD']
chi,"Sun, Nov 5",New Orleans Saints,2023-11-05 18:00:00,['CBS']
chi,DATE,Los Angeles Chargers,invalid time,['TBD']
chi,"Sun, Nov 19",Detroit Lions,2023-11-19 18:00:00,['FOX']
chi,"Sun, Oct 29",Los Angeles Chargers,2023-10-30 00:20:00,['NBC']
chi,BYE WEEK,Detroit Lions,BYE WEEK,['BYE WEEK']
chi,"Thu, Nov 9",Carolina Panthers,2023-11-10 01:15:00,['PRIME VIDEO']
chi,"Sun, Dec 17",Cleveland Browns,TBD,['TBD']
chi,"Mon, Nov 27",Minnesota Vikings,2023-11-28 01:15:00,"['ABC', 'ESPN']"
chi,"Sun, Dec 31",Atlanta Falcons,2023-12-31 18:00:00,['CBS']
chi,"Sun, Dec 10",Detroit Lions,2023-12-10 18:00:00,['FOX']
chi,"Sat, Aug 19",Indianapolis Colts,invalid time,['TBD']
chi,"Sun, Dec 31",Atlanta Falcons,2023-12-31 18:00:00,['CBS']
chi,"Sun, Jan 7",Green Bay Packers,TBD,['TBD']
