team,date,opponent,time,channel
cin,DATE,Cleveland Browns,invalid time,['TBD']
cin,"Sun, Sep 17",Baltimore Ravens,invalid time,['TBD']
cin,"Sun, Sep 10",Cleveland Browns,invalid time,['TBD']
cin,"Sun, Oct 1",Tennessee Titans,invalid time,['TBD']
cin,"Mon, Sep 25",Los Angeles Rams,invalid time,['TBD']
cin,"Sun, Oct 29",San Francisco 49Ers,2023-10-29 20:25:00,['CBS']
cin,"Sun, Oct 8",Arizona Cardinals,invalid time,['TBD']
cin,"Sun, Nov 12",Houston Texans,2023-11-12 18:00:00,['CBS']
cin,DATE,San Francisco 49Ers,invalid time,['TBD']
cin,"Sun, Nov 26",Pittsburgh Steelers,2023-11-26 18:00:00,['CBS']
cin,BYE WEEK,San Francisco 49Ers,BYE WEEK,['BYE WEEK']
cin,"Sun, Dec 10",Indianapolis Colts,2023-12-10 18:00:00,['CBS']
cin,"Sun, Nov 5",Buffalo Bills,2023-11-06 01:20:00,['NBC']
cin,"Sat, Dec 23",Pittsburgh Steelers,2023-12-23 21:30:00,['NBC']
cin,"Thu, Nov 16",Baltimore Ravens,2023-11-17 01:15:00,['PRIME VIDEO']
cin,"Fri, Aug 18",Atlanta Falcons,invalid time,['TBD']
cin,"Fri, Aug 18",Atlanta Falcons,invalid time,['TBD']
cin,"Sun, Jan 7",Cleveland Browns,TBD,['TBD']
