team,date,opponent,time,channel
cle,DATE,Cincinnati Bengals,invalid time,['TBD']
cle,"Mon, Sep 18",Pittsburgh Steelers,invalid time,['TBD']
cle,"Sun, Sep 10",Cincinnati Bengals,invalid time,['TBD']
cle,"Sun, Oct 1",Baltimore Ravens,invalid time,['TBD']
cle,"Sun, Sep 24",Tennessee Titans,invalid time,['TBD']
cle,"Sun, Oct 15",San Francisco 49Ers,invalid time,['TBD']
cle,BYE WEEK,San Francisco 49Ers,BYE WEEK,['BYE WEEK']
cle,"Sun, Nov 5",Arizona Cardinals,2023-11-05 18:00:00,['CBS']
cle,DATE,Seattle Seahawks,invalid time,['TBD']
cle,"Sun, Nov 19",Pittsburgh Steelers,2023-11-19 18:00:00,['CBS']
cle,"Sun, Oct 29",Seattle Seahawks,2023-10-29 20:05:00,['FOX']
cle,"Sun, Dec 3",Los Angeles Rams,2023-12-03 21:25:00,['FOX']
cle,"Sun, Nov 12",Baltimore Ravens,2023-11-12 18:00:00,['FOX']
cle,"Sun, Dec 17",Chicago Bears,TBD,['TBD']
cle,"Sun, Nov 26",Denver Broncos,2023-11-26 21:05:00,['FOX']
cle,"Thu, Dec 28",New York Jets,2023-12-29 01:15:00,['PRIME VIDEO']
cle,"Sun, Dec 10",Jacksonville Jaguars,2023-12-10 18:00:00,['CBS']
cle,"Fri, Aug 11",Washington Commanders,invalid time,['TBD']
cle,"Thu, Dec 28",New York Jets,2023-12-29 01:15:00,['PRIME VIDEO']
cle,"Sun, Jan 7",Cincinnati Bengals,TBD,['TBD']
