team,date,opponent,time,channel
dal,DATE,New York Giants,invalid time,['TBD']
dal,"Sun, Sep 17",New York Jets,invalid time,['TBD']
dal,"Sun, Sep 10",New York Giants,invalid time,['TBD']
dal,"Sun, Oct 1",New England Patriots,invalid time,['TBD']
dal,"Sun, Sep 24",Arizona Cardinals,invalid time,['TBD']
dal,"Sun, Oct 29",Los Angeles Rams,2023-10-29 17:00:00,['FOX']
dal,"Sun, Oct 8",San Francisco 49Ers,invalid time,['TBD']
dal,"Sun, Nov 12",New York Giants,2023-11-12 21:25:00,['FOX']
dal,DATE,Los Angeles Rams,invalid time,['TBD']
dal,"Thu, Nov 23",Washington Commanders,2023-11-23 21:30:00,['CBS']
dal,BYE WEEK,Los Angeles Rams,BYE WEEK,['BYE WEEK']
dal,"Sun, Dec 10",Philadelphia Eagles,2023-12-11 01:20:00,['NBC']
dal,"Sun, Nov 5",Philadelphia Eagles,2023-11-05 21:25:00,['FOX']
dal,"Sun, Dec 24",Miami Dolphins,2023-12-24 21:25:00,['FOX']
dal,"Sun, Nov 19",Carolina Panthers,2023-11-19 18:00:00,['FOX']
dal,"Sat, Aug 19",Seattle Seahawks,invalid time,['TBD']
dal,"Sat, Aug 19",Seattle Seahawks,invalid time,['TBD']
dal,"Sun, Jan 7",Washington Commanders,TBD,['TBD']
