team,date,opponent,time,channel
den,DATE,Las Vegas Raiders,invalid time,['TBD']
den,"Sun, Sep 17",Washington Commanders,invalid time,['TBD']
den,"Sun, Sep 10",Las Vegas Raiders,invalid time,['TBD']
den,"Sun, Oct 1",Chicago Bears,invalid time,['TBD']
den,"Sun, Sep 24",Miami Dolphins,invalid time,['TBD']
den,"Thu, Oct 12",Kansas City Chiefs,invalid time,['TBD']
den,"Sun, Oct 8",New York Jets,invalid time,['TBD']
den,BYE WEEK,Buffalo Bills,BYE WEEK,['BYE WEEK']
den,DATE,Kansas City Chiefs,invalid time,['TBD']
den,"Sun, Nov 19",Minnesota Vikings,2023-11-20 01:20:00,['NBC']
den,"Sun, Oct 29",Kansas City Chiefs,2023-10-29 20:25:00,['CBS']
den,"Sun, Dec 3",Houston Texans,2023-12-03 21:05:00,['CBS']
den,"Mon, Nov 13",Buffalo Bills,2023-11-14 01:15:00,"['ABC', 'ESPN']"
den,"Sun, Dec 17",Detroit Lions,TBD,['TBD']
den,"Sun, Nov 26",Cleveland Browns,2023-11-26 21:05:00,['FOX']
den,"Sun, Dec 31",Los Angeles Chargers,2023-12-31 21:25:00,['CBS']
den,"Sun, Dec 10",Los Angeles Chargers,2023-12-10 21:25:00,['CBS']
den,"Sat, Aug 19",San Francisco 49Ers,invalid time,['TBD']
den,"Sun, Dec 31",Los Angeles Chargers,2023-12-31 21:25:00,['CBS']
den,"Sun, Jan 7",Las Vegas Raiders,TBD,['TBD']
