team,date,opponent,time,channel
gb,DATE,Chicago Bears,invalid time,['TBD']
gb,"Sun, Sep 17",Atlanta Falcons,invalid time,['TBD']
gb,"Sun, Sep 10",Chicago Bears,invalid time,['TBD']
gb,"Thu, Sep 28",Detroit Lions,invalid time,['TBD']
gb,"Sun, Sep 24",New Orleans Saints,invalid time,['TBD']
gb,BYE WEEK,Denver Broncos,BYE WEEK,['BYE WEEK']
gb,"Mon, Oct 9",Las Vegas Raiders,invalid time,['TBD']
gb,"Sun, Nov 5",Los Angeles Rams,2023-11-05 18:00:00,['FOX']
gb,DATE,Minnesota Vikings,invalid time,['TBD']
gb,"Sun, Nov 19",Los Angeles Chargers,2023-11-19 18:00:00,['FOX']
gb,"Sun, Oct 29",Minnesota Vikings,2023-10-29 17:00:00,['FOX']
gb,"Sun, Dec 3",Kansas City Chiefs,2023-12-04 01:20:00,['NBC']
gb,"Sun, Nov 12",Pittsburgh Steelers,2023-11-12 18:00:00,['CBS']
gb,"Sun, Dec 17",Tampa Bay Buccaneers,2023-12-17 18:00:00,['FOX']
gb,"Thu, Nov 23",Detroit Lions,2023-11-23 17:30:00,['FOX']
gb,"Sun, Dec 31",Minnesota Vikings,2024-01-01 01:20:00,['NBC']
gb,"Mon, Dec 11",New York Giants,2023-12-12 01:15:00,"['ABC', 'ESPN+']"
gb,"Sat, Aug 19",New England Patriots,invalid time,['TBD']
gb,"Sun, Dec 31",Minnesota Vikings,2024-01-01 01:20:00,['NBC']
gb,"Sun, Jan 7",Chicago Bears,TBD,['TBD']
