team,date,opponent,time,channel
hou,DATE,Baltimore Ravens,invalid time,['TBD']
hou,"Sun, Sep 17",Indianapolis Colts,invalid time,['TBD']
hou,"Sun, Sep 10",Baltimore Ravens,invalid time,['TBD']
hou,"Sun, Oct 1",Pittsburgh Steelers,invalid time,['TBD']
hou,"Sun, Sep 24",Jacksonville Jaguars,invalid time,['TBD']
hou,"Sun, Oct 29",Carolina Panthers,2023-10-29 17:00:00,['FOX']
hou,"Sun, Oct 8",Atlanta Falcons,invalid time,['TBD']
hou,"Sun, Nov 12",Cincinnati Bengals,2023-11-12 18:00:00,['CBS']
hou,DATE,Carolina Panthers,invalid time,['TBD']
hou,"Sun, Nov 26",Jacksonville Jaguars,2023-11-26 18:00:00,['CBS']
hou,BYE WEEK,Carolina Panthers,BYE WEEK,['BYE WEEK']
hou,"Sun, Dec 10",New York Jets,2023-12-10 18:00:00,['CBS']
hou,"Sun, Nov 5",Tampa Bay Buccaneers,2023-11-05 18:00:00,['CBS']
hou,"Sun, Dec 24",Cleveland Browns,2023-12-24 18:00:00,['CBS']
hou,"Sun, Nov 19",Arizona Cardinals,2023-11-19 18:00:00,['CBS']
hou,"Sat, Aug 19",Miami Dolphins,invalid time,['TBD']
hou,"Sat, Aug 19",Miami Dolphins,invalid time,['TBD']
hou,"Sun, Jan 7",Indianapolis Colts,TBD,['TBD']
