team,date,opponent,time,channel
ind,DATE,Jacksonville Jaguars,invalid time,['TBD']
ind,"Sun, Sep 17",Houston Texans,invalid time,['TBD']
ind,"Sun, Sep 10",Jacksonville Jaguars,invalid time,['TBD']
ind,"Sun, Oct 1",Los Angeles Rams,invalid time,['TBD']
ind,"Sun, Sep 24",Baltimore Ravens,invalid time,['TBD']
ind,"Sun, Oct 15",Jacksonville Jaguars,invalid time,['TBD']
ind,"Sun, Oct 8",Tennessee Titans,invalid time,['TBD']
ind,"Sun, Nov 5",Carolina Panthers,2023-11-05 21:05:00,['CBS']
ind,DATE,New Orleans Saints,invalid time,['TBD']
ind,BYE WEEK,Tampa Bay Buccaneers,BYE WEEK,['BYE WEEK']
ind,"Sun, Oct 29",New Orleans Saints,2023-10-29 17:00:00,['FOX']
ind,"Sun, Dec 3",Tennessee Titans,2023-12-03 18:00:00,['CBS']
ind,"Sun, Nov 12",New England Patriots,2023-11-12 14:30:00,['NFL NET']
ind,"Sun, Dec 17",Pittsburgh Steelers,TBD,['TBD']
ind,"Sun, Nov 26",Tampa Bay Buccaneers,2023-11-26 18:00:00,['CBS']
ind,"Sun, Dec 31",Las Vegas Raiders,2023-12-31 18:00:00,['CBS']
ind,"Sun, Dec 10",Cincinnati Bengals,2023-12-10 18:00:00,['CBS']
ind,"Sat, Aug 19",Chicago Bears,invalid time,['TBD']
ind,"Sun, Dec 31",Las Vegas Raiders,2023-12-31 18:00:00,['CBS']
ind,"Sun, Jan 7",Houston Texans,TBD,['TBD']
