team,date,opponent,time,channel
lac,DATE,Miami Dolphins,invalid time,['TBD']
lac,"Sun, Sep 17",Tennessee Titans,invalid time,['TBD']
lac,"Sun, Sep 10",Miami Dolphins,invalid time,['TBD']
lac,"Sun, Oct 1",Las Vegas Raiders,invalid time,['TBD']
lac,"Sun, Sep 24",Minnesota Vikings,invalid time,['TBD']
lac,"Mon, Oct 16",Dallas Cowboys,invalid time,['TBD']
lac,BYE WEEK,Dallas Cowboys,BYE WEEK,['BYE WEEK']
lac,"Mon, Nov 6",New York Jets,2023-11-07 01:15:00,"['ABC', 'ESPN']"
lac,DATE,Chicago Bears,invalid time,['TBD']
lac,"Sun, Nov 19",Green Bay Packers,2023-11-19 18:00:00,['FOX']
lac,"Sun, Oct 29",Chicago Bears,2023-10-30 00:20:00,['NBC']
lac,"Sun, Dec 3",New England Patriots,2023-12-03 18:00:00,['CBS']
lac,"Sun, Nov 12",Detroit Lions,2023-11-12 21:05:00,['CBS']
lac,"Thu, Dec 14",Las Vegas Raiders,2023-12-15 01:15:00,['PRIME VIDEO']
lac,"Sun, Nov 26",Baltimore Ravens,2023-11-27 01:20:00,['NBC']
lac,"Sun, Dec 31",Denver Broncos,2023-12-31 21:25:00,['CBS']
lac,"Sun, Dec 10",Denver Broncos,2023-12-10 21:25:00,['CBS']
lac,"Sun, Aug 20",New Orleans Saints,invalid time,['TBD']
lac,"Sun, Dec 31",Denver Broncos,2023-12-31 21:25:00,['CBS']
lac,"Sun, Jan 7",Kansas City Chiefs,TBD,['TBD']
