team,date,opponent,time,channel
lar,DATE,Seattle Seahawks,invalid time,['TBD']
lar,"Sun, Sep 17",San Francisco 49Ers,invalid time,['TBD']
lar,"Sun, Sep 10",Seattle Seahawks,invalid time,['TBD']
lar,"Sun, Oct 1",Indianapolis Colts,invalid time,['TBD']
lar,"Mon, Sep 25",Cincinnati Bengals,invalid time,['TBD']
lar,"Sun, Oct 15",Arizona Cardinals,invalid time,['TBD']
lar,"Sun, Oct 8",Philadelphia Eagles,invalid time,['TBD']
lar,"Sun, Nov 5",Green Bay Packers,2023-11-05 18:00:00,['FOX']
lar,DATE,Dallas Cowboys,invalid time,['TBD']
lar,"Sun, Nov 19",Seattle Seahawks,2023-11-19 21:25:00,['CBS']
lar,"Sun, Oct 29",Dallas Cowboys,2023-10-29 17:00:00,['FOX']
lar,"Sun, Dec 3",Cleveland Browns,2023-12-03 21:25:00,['FOX']
lar,BYE WEEK,Seattle Seahawks,BYE WEEK,['BYE WEEK']
lar,"Sun, Dec 17",Washington Commanders,2023-12-17 21:05:00,['CBS']
lar,"Sun, Nov 26",Arizona Cardinals,2023-11-26 21:05:00,['FOX']
lar,"Sun, Dec 31",New York Giants,2023-12-31 18:00:00,['FOX']
lar,"Sun, Dec 10",Baltimore Ravens,2023-12-10 18:00:00,['FOX']
lar,"Sat, Aug 19",Las Vegas Raiders,invalid time,['TBD']
lar,"Sun, Dec 31",New York Giants,2023-12-31 18:00:00,['FOX']
lar,"Sun, Jan 7",San Francisco 49Ers,TBD,['TBD']
