team,date,opponent,time,channel
lv,DATE,Denver Broncos,invalid time,['TBD']
lv,"Sun, Sep 17",Buffalo Bills,invalid time,['TBD']
lv,"Sun, Sep 10",Denver Broncos,invalid time,['TBD']
lv,"Sun, Oct 1",Los Angeles Chargers,invalid time,['TBD']
lv,"Sun, Sep 24",Pittsburgh Steelers,invalid time,['TBD']
lv,"Sun, Oct 15",New England Patriots,invalid time,['TBD']
lv,"Mon, Oct 9",Green Bay Packers,invalid time,['TBD']
lv,"Sun, Nov 5",New York Giants,2023-11-05 21:25:00,['FOX']
lv,DATE,Detroit Lions,invalid time,['TBD']
lv,"Sun, Nov 19",Miami Dolphins,2023-11-19 18:00:00,['CBS']
lv,"Mon, Oct 30",Detroit Lions,2023-10-31 00:15:00,"['ABC', 'ESPN']"
lv,BYE WEEK,Minnesota Vikings,BYE WEEK,['BYE WEEK']
lv,"Sun, Nov 12",New York Jets,2023-11-13 01:20:00,['NBC']
lv,"Thu, Dec 14",Los Angeles Chargers,2023-12-15 01:15:00,['PRIME VIDEO']
lv,"Sun, Nov 26",Kansas City Chiefs,2023-11-26 21:25:00,['CBS']
lv,"Sun, Dec 31",Indianapolis Colts,2023-12-31 18:00:00,['CBS']
lv,"Sun, Dec 10",Minnesota Vikings,2023-12-10 21:05:00,['FOX']
lv,"Sat, Aug 19",Los Angeles Rams,invalid time,['TBD']
lv,"Sun, Dec 31",Indianapolis Colts,2023-12-31 18:00:00,['CBS']
lv,"Sun, Jan 7",Denver Broncos,TBD,['TBD']
