team,date,opponent,time,channel
mia,DATE,Los Angeles Chargers,invalid time,['TBD']
mia,"Sun, Sep 17",New England Patriots,invalid time,['TBD']
mia,"Sun, Sep 10",Los Angeles Chargers,invalid time,['TBD']
mia,"Sun, Oct 1",Buffalo Bills,invalid time,['TBD']
mia,"Sun, Sep 24",Denver Broncos,invalid time,['TBD']
mia,"Sun, Oct 15",Carolina Panthers,invalid time,['TBD']
mia,"Sun, Oct 8",New York Giants,invalid time,['TBD']
mia,"Sun, Nov 5",Kansas City Chiefs,2023-11-05 14:30:00,['NFL NET']
mia,DATE,New England Patriots,invalid time,['TBD']
mia,"Sun, Nov 19",Las Vegas Raiders,2023-11-19 18:00:00,['CBS']
mia,"Sun, Oct 29",New England Patriots,2023-10-29 17:00:00,['CBS']
mia,"Sun, Dec 3",Washington Commanders,2023-12-03 18:00:00,['FOX']
mia,BYE WEEK,Las Vegas Raiders,BYE WEEK,['BYE WEEK']
mia,"Sun, Dec 17",New York Jets,2023-12-17 18:00:00,['CBS']
mia,"Fri, Nov 24",New York Jets,2023-11-24 20:00:00,['PRIME VIDEO']
mia,"Sun, Dec 31",Baltimore Ravens,2023-12-31 18:00:00,['CBS']
mia,"Mon, Dec 11",Tennessee Titans,2023-12-12 01:15:00,['ESPN']
mia,"Sat, Aug 19",Houston Texans,invalid time,['TBD']
mia,"Sun, Dec 31",Baltimore Ravens,2023-12-31 18:00:00,['CBS']
mia,"Sun, Jan 7",Buffalo Bills,TBD,['TBD']
