team,date,opponent,time,channel
min,DATE,Tampa Bay Buccaneers,invalid time,['TBD']
min,"Thu, Sep 14",Philadelphia Eagles,invalid time,['TBD']
min,"Sun, Sep 10",Tampa Bay Buccaneers,invalid time,['TBD']
min,"Sun, Oct 1",Carolina Panthers,invalid time,['TBD']
min,"Sun, Sep 24",Los Angeles Chargers,invalid time,['TBD']
min,"Sun, Oct 15",Chicago Bears,invalid time,['TBD']
min,"Sun, Oct 8",Kansas City Chiefs,invalid time,['TBD']
min,"Sun, Nov 5",Atlanta Falcons,2023-11-05 18:00:00,['FOX']
min,DATE,Green Bay Packers,invalid time,['TBD']
min,"Sun, Nov 19",Denver Broncos,2023-11-20 01:20:00,['NBC']
min,"Sun, Oct 29",Green Bay Packers,2023-10-29 17:00:00,['FOX']
min,BYE WEEK,Las Vegas Raiders,BYE WEEK,['BYE WEEK']
min,"Sun, Nov 12",New Orleans Saints,2023-11-12 18:00:00,['FOX']
min,"Sun, Dec 17",Cincinnati Bengals,TBD,['TBD']
min,"Mon, Nov 27",Chicago Bears,2023-11-28 01:15:00,"['ABC', 'ESPN']"
min,"Sun, Dec 31",Green Bay Packers,2024-01-01 01:20:00,['NBC']
min,"Sun, Dec 10",Las Vegas Raiders,2023-12-10 21:05:00,['FOX']
min,"Sat, Aug 19",Tennessee Titans,invalid time,['TBD']
min,"Sun, Dec 31",Green Bay Packers,2024-01-01 01:20:00,['NBC']
min,"Sun, Jan 7",Detroit Lions,TBD,['TBD']
