team,date,opponent,time,channel
ne,DATE,Philadelphia Eagles,invalid time,['TBD']
ne,"Sun, Sep 17",Miami Dolphins,invalid time,['TBD']
ne,"Sun, Sep 10",Philadelphia Eagles,invalid time,['TBD']
ne,"Sun, Oct 1",Dallas Cowboys,invalid time,['TBD']
ne,"Sun, Sep 24",New York Jets,invalid time,['TBD']
ne,"Sun, Oct 15",Las Vegas Raiders,invalid time,['TBD']
ne,"Sun, Oct 8",New Orleans Saints,invalid time,['TBD']
ne,"Sun, Nov 5",Washington Commanders,2023-11-05 18:00:00,['FOX']
ne,DATE,Miami Dolphins,invalid time,['TBD']
ne,BYE WEEK,New York Giants,BYE WEEK,['BYE WEEK']
ne,"Sun, Oct 29",Miami Dolphins,2023-10-29 17:00:00,['CBS']
ne,"Sun, Dec 3",Los Angeles Chargers,2023-12-03 18:00:00,['CBS']
ne,"Sun, Nov 12",Indianapolis Colts,2023-11-12 14:30:00,['NFL NET']
ne,"Mon, Dec 18",Kansas City Chiefs,2023-12-19 01:15:00,"['ABC', 'ESPN']"
ne,"Sun, Nov 26",New York Giants,2023-11-26 18:00:00,['FOX']
ne,"Sun, Dec 31",Buffalo Bills,2023-12-31 18:00:00,['CBS']
ne,"Thu, Dec 7",Pittsburgh Steelers,2023-12-08 01:15:00,['PRIME VIDEO']
ne,"Sat, Aug 19",Green Bay Packers,invalid time,['TBD']
ne,"Sun, Dec 31",Buffalo Bills,2023-12-31 18:00:00,['CBS']
ne,"Sun, Jan 7",New York Jets,TBD,['TBD']
