team,date,opponent,time,channel
no,DATE,Tennessee Titans,invalid time,['TBD']
no,"Mon, Sep 18",Carolina Panthers,invalid time,['TBD']
no,"Sun, Sep 10",Tennessee Titans,invalid time,['TBD']
no,"Sun, Oct 1",Tampa Bay Buccaneers,invalid time,['TBD']
no,"Sun, Sep 24",Green Bay Packers,invalid time,['TBD']
no,"Sun, Oct 15",Houston Texans,invalid time,['TBD']
no,"Sun, Oct 8",New England Patriots,invalid time,['TBD']
no,"Sun, Nov 5",Chicago Bears,2023-11-05 18:00:00,['CBS']
no,DATE,Indianapolis Colts,invalid time,['TBD']
no,BYE WEEK,Atlanta Falcons,BYE WEEK,['BYE WEEK']
no,"Sun, Oct 29",Indianapolis Colts,2023-10-29 17:00:00,['FOX']
no,"Sun, Dec 3",Detroit Lions,2023-12-03 18:00:00,['FOX']
no,"Sun, Nov 12",Minnesota Vikings,2023-11-12 18:00:00,['FOX']
no,"Sun, Dec 17",New York Giants,2023-12-17 18:00:00,['FOX']
no,"Sun, Nov 26",Atlanta Falcons,2023-11-26 18:00:00,['FOX']
no,"Sun, Dec 31",Tampa Bay Buccaneers,2023-12-31 18:00:00,['FOX']
no,"Sun, Dec 10",Carolina Panthers,2023-12-10 18:00:00,['FOX']
no,"Sun, Aug 20",Los Angeles Chargers,invalid time,['TBD']
no,"Sun, Dec 31",Tampa Bay Buccaneers,2023-12-31 18:00:00,['FOX']
no,"Sun, Jan 7",Atlanta Falcons,TBD,['TBD']
