team,date,opponent,time,channel
nyg,DATE,Dallas Cowboys,invalid time,['TBD']
nyg,"Sun, Sep 17",Arizona Cardinals,invalid time,['TBD']
nyg,"Sun, Sep 10",Dallas Cowboys,invalid time,['TBD']
nyg,"Mon, Oct 2",Seattle Seahawks,invalid time,['TBD']
nyg,"Thu, Sep 21",San Francisco 49Ers,invalid time,['TBD']
nyg,"Sun, Oct 15",Buffalo Bills,invalid time,['TBD']
nyg,"Sun, Oct 8",Miami Dolphins,invalid time,['TBD']
nyg,"Sun, Nov 5",Las Vegas Raiders,2023-11-05 21:25:00,['FOX']
nyg,DATE,New York Jets,invalid time,['TBD']
nyg,"Sun, Nov 19",Washington Commanders,2023-11-19 18:00:00,['FOX']
nyg,"Sun, Oct 29",New York Jets,2023-10-29 17:00:00,['CBS']
nyg,BYE WEEK,Green Bay Packers,BYE WEEK,['BYE WEEK']
nyg,"Sun, Nov 12",Dallas Cowboys,2023-11-12 21:25:00,['FOX']
nyg,"Sun, Dec 17",New Orleans Saints,2023-12-17 18:00:00,['FOX']
nyg,"Sun, Nov 26",New England Patriots,2023-11-26 18:00:00,['FOX']
nyg,"Sun, Dec 31",Los Angeles Rams,2023-12-31 18:00:00,['FOX']
nyg,"Mon, Dec 11",Green Bay Packers,2023-12-12 01:15:00,"['ABC', 'ESPN+']"
nyg,"Fri, Aug 18",Carolina Panthers,invalid time,['TBD']
nyg,"Sun, Dec 31",Los Angeles Rams,2023-12-31 18:00:00,['FOX']
nyg,"Sun, Jan 7",Philadelphia Eagles,TBD,['TBD']
