team,date,opponent,time,channel
nyj,DATE,Buffalo Bills,invalid time,['TBD']
nyj,"Sun, Sep 17",Dallas Cowboys,invalid time,['TBD']
nyj,"Mon, Sep 11",Buffalo Bills,invalid time,['TBD']
nyj,"Sun, Oct 1",Kansas City Chiefs,invalid time,['TBD']
nyj,"Sun, Sep 24",New England Patriots,invalid time,['TBD']
nyj,"Sun, Oct 29",New York Giants,2023-10-29 17:00:00,['CBS']
nyj,"Sun, Oct 8",Denver Broncos,invalid time,['TBD']
nyj,"Sun, Nov 12",Las Vegas Raiders,2023-11-13 01:20:00,['NBC']
nyj,DATE,New York Giants,invalid time,['TBD']
nyj,"Fri, Nov 24",Miami Dolphins,2023-11-24 20:00:00,['PRIME VIDEO']
nyj,BYE WEEK,New York Giants,BYE WEEK,['BYE WEEK']
nyj,"Sun, Dec 10",Houston Texans,2023-12-10 18:00:00,['CBS']
nyj,"Mon, Nov 6",Los Angeles Chargers,2023-11-07 01:15:00,"['ABC', 'ESPN']"
nyj,"Sun, Dec 24",Washington Commanders,2023-12-24 18:00:00,['CBS']
nyj,"Sun, Nov 19",Buffalo Bills,2023-11-19 21:25:00,['CBS']
nyj,"Sat, Aug 12",Carolina Panthers,invalid time,['TBD']
nyj,"Sat, Aug 12",Carolina Panthers,invalid time,['TBD']
nyj,"Sun, Jan 7",New England Patriots,TBD,['TBD']
