team,date,opponent,time,channel
phi,DATE,New England Patriots,invalid time,['TBD']
phi,"Thu, Sep 14",Minnesota Vikings,invalid time,['TBD']
phi,"Sun, Sep 10",New England Patriots,invalid time,['TBD']
phi,"Sun, Oct 1",Washington Commanders,invalid time,['TBD']
phi,"Mon, Sep 25",Tampa Bay Buccaneers,invalid time,['TBD']
phi,"Sun, Oct 15",New York Jets,invalid time,['TBD']
phi,"Sun, Oct 8",Los Angeles Rams,invalid time,['TBD']
phi,"Sun, Nov 5",Dallas Cowboys,2023-11-05 21:25:00,['FOX']
phi,DATE,Washington Commanders,invalid time,['TBD']
phi,"Mon, Nov 20",Kansas City Chiefs,2023-11-21 01:15:00,"['ABC', 'ESPN', 'ESPN+']"
phi,"Sun, Oct 29",Washington Commanders,2023-10-29 17:00:00,['FOX']
phi,"Sun, Dec 3",San Francisco 49Ers,2023-12-03 21:25:00,['FOX']
phi,BYE WEEK,Kansas City Chiefs,BYE WEEK,['BYE WEEK']
phi,"Sun, Dec 17",Seattle Seahawks,2023-12-17 21:25:00,['FOX']
phi,"Sun, Nov 26",Buffalo Bills,2023-11-26 21:25:00,['CBS']
phi,"Sun, Dec 31",Arizona Cardinals,2023-12-31 18:00:00,['FOX']
phi,"Sun, Dec 10",Dallas Cowboys,2023-12-11 01:20:00,['NBC']
phi,"Thu, Aug 17",Cleveland Browns,invalid time,['TBD']
phi,"Sun, Dec 31",Arizona Cardinals,2023-12-31 18:00:00,['FOX']
phi,"Sun, Jan 7",New York Giants,TBD,['TBD']
