team,date,opponent,time,channel
pit,DATE,San Francisco 49Ers,invalid time,['TBD']
pit,"Mon, Sep 18",Cleveland Browns,invalid time,['TBD']
pit,"Sun, Sep 10",San Francisco 49Ers,invalid time,['TBD']
pit,"Sun, Oct 1",Houston Texans,invalid time,['TBD']
pit,"Sun, Sep 24",Las Vegas Raiders,invalid time,['TBD']
pit,BYE WEEK,Los Angeles Rams,BYE WEEK,['BYE WEEK']
pit,"Sun, Oct 8",Baltimore Ravens,invalid time,['TBD']
pit,"Thu, Nov 2",Tennessee Titans,2023-11-03 00:15:00,['PRIME VIDEO']
pit,DATE,Jacksonville Jaguars,invalid time,['TBD']
pit,"Sun, Nov 19",Cleveland Browns,2023-11-19 18:00:00,['CBS']
pit,"Sun, Oct 29",Jacksonville Jaguars,2023-10-29 17:00:00,['CBS']
pit,"Sun, Dec 3",Arizona Cardinals,2023-12-03 18:00:00,['CBS']
pit,"Sun, Nov 12",Green Bay Packers,2023-11-12 18:00:00,['CBS']
pit,"Sun, Dec 17",Indianapolis Colts,TBD,['TBD']
pit,"Sun, Nov 26",Cincinnati Bengals,2023-11-26 18:00:00,['CBS']
pit,"Sun, Dec 31",Seattle Seahawks,2023-12-31 21:05:00,['FOX']
pit,"Thu, Dec 7",New England Patriots,2023-12-08 01:15:00,['PRIME VIDEO']
pit,"Sat, Aug 19",Buffalo Bills,invalid time,['TBD']
pit,"Sun, Dec 31",Seattle Seahawks,2023-12-31 21:05:00,['FOX']
pit,"Sun, Jan 7",Baltimore Ravens,TBD,['TBD']
