team,date,opponent,time,channel
sea,DATE,Los Angeles Rams,invalid time,['TBD']
sea,"Sun, Sep 17",Detroit Lions,invalid time,['TBD']
sea,"Sun, Sep 10",Los Angeles Rams,invalid time,['TBD']
sea,"Mon, Oct 2",New York Giants,invalid time,['TBD']
sea,"Sun, Sep 24",Carolina Panthers,invalid time,['TBD']
sea,"Sun, Oct 15",Cincinnati Bengals,invalid time,['TBD']
sea,BYE WEEK,Cincinnati Bengals,BYE WEEK,['BYE WEEK']
sea,"Sun, Nov 5",Baltimore Ravens,2023-11-05 18:00:00,['CBS']
sea,DATE,Cleveland Browns,invalid time,['TBD']
sea,"Sun, Nov 19",Los Angeles Rams,2023-11-19 21:25:00,['CBS']
sea,"Sun, Oct 29",Cleveland Browns,2023-10-29 20:05:00,['FOX']
sea,"Thu, Nov 30",Dallas Cowboys,2023-12-01 01:15:00,['PRIME VIDEO']
sea,"Sun, Nov 12",Washington Commanders,2023-11-12 21:25:00,['FOX']
sea,"Sun, Dec 17",Philadelphia Eagles,2023-12-17 21:25:00,['FOX']
sea,"Thu, Nov 23",San Francisco 49Ers,2023-11-24 01:20:00,['NBC']
sea,"Sun, Dec 31",Pittsburgh Steelers,2023-12-31 21:05:00,['FOX']
sea,"Sun, Dec 10",San Francisco 49Ers,2023-12-10 21:05:00,['FOX']
sea,"Sat, Aug 19",Dallas Cowboys,invalid time,['TBD']
sea,"Sun, Dec 31",Pittsburgh Steelers,2023-12-31 21:05:00,['FOX']
sea,"Sun, Jan 7",Arizona Cardinals,TBD,['TBD']
