team,date,opponent,time,channel
sf,DATE,Pittsburgh Steelers,invalid time,['TBD']
sf,"Sun, Sep 17",Los Angeles Rams,invalid time,['TBD']
sf,"Sun, Sep 10",Pittsburgh Steelers,invalid time,['TBD']
sf,"Sun, Oct 1",Arizona Cardinals,invalid time,['TBD']
sf,"Thu, Sep 21",New York Giants,invalid time,['TBD']
sf,"Sun, Oct 15",Cleveland Browns,invalid time,['TBD']
sf,"Sun, Oct 8",Dallas Cowboys,invalid time,['TBD']
sf,BYE WEEK,Jacksonville Jaguars,BYE WEEK,['BYE WEEK']
sf,DATE,Cincinnati Bengals,invalid time,['TBD']
sf,"Sun, Nov 19",Tampa Bay Buccaneers,2023-11-19 21:05:00,['FOX']
sf,"Sun, Oct 29",Cincinnati Bengals,2023-10-29 20:25:00,['CBS']
sf,"Sun, Dec 3",Philadelphia Eagles,2023-12-03 21:25:00,['FOX']
sf,"Sun, Nov 12",Jacksonville Jaguars,2023-11-12 18:00:00,['FOX']
sf,"Sun, Dec 17",Arizona Cardinals,2023-12-17 21:05:00,['CBS']
sf,"Thu, Nov 23",Seattle Seahawks,2023-11-24 01:20:00,['NBC']
sf,"Sun, Dec 31",Washington Commanders,2023-12-31 18:00:00,['FOX']
sf,"Sun, Dec 10",Seattle Seahawks,2023-12-10 21:05:00,['FOX']
sf,"Sat, Aug 19",Denver Broncos,invalid time,['TBD']
sf,"Sun, Dec 31",Washington Commanders,2023-12-31 18:00:00,['FOX']
sf,"Sun, Jan 7",Los Angeles Rams,TBD,['TBD']
