team,date,opponent,time,channel
tb,DATE,Minnesota Vikings,invalid time,['TBD']
tb,"Sun, Sep 17",Chicago Bears,invalid time,['TBD']
tb,"Sun, Sep 10",Minnesota Vikings,invalid time,['TBD']
tb,"Sun, Oct 1",New Orleans Saints,invalid time,['TBD']
tb,"Mon, Sep 25",Philadelphia Eagles,invalid time,['TBD']
tb,"Sun, Oct 15",Detroit Lions,invalid time,['TBD']
tb,BYE WEEK,Detroit Lions,BYE WEEK,['BYE WEEK']
tb,"Sun, Nov 5",Houston Texans,2023-11-05 18:00:00,['CBS']
tb,DATE,Buffalo Bills,invalid time,['TBD']
tb,"Sun, Nov 19",San Francisco 49Ers,2023-11-19 21:05:00,['FOX']
tb,"Thu, Oct 26",Buffalo Bills,2023-10-27 00:15:00,['PRIME VIDEO']
tb,"Sun, Dec 3",Carolina Panthers,2023-12-03 18:00:00,['CBS']
tb,"Sun, Nov 12",Tennessee Titans,2023-11-12 18:00:00,['CBS']
tb,"Sun, Dec 17",Green Bay Packers,2023-12-17 18:00:00,['FOX']
tb,"Sun, Nov 26",Indianapolis Colts,2023-11-26 18:00:00,['CBS']
tb,"Sun, Dec 31",New Orleans Saints,2023-12-31 18:00:00,['FOX']
tb,"Sun, Dec 10",Atlanta Falcons,2023-12-10 18:00:00,['CBS']
tb,"Sat, Aug 19",New York Jets,invalid time,['TBD']
tb,"Sun, Dec 31",New Orleans Saints,2023-12-31 18:00:00,['FOX']
tb,"Sun, Jan 7",Carolina Panthers,TBD,['TBD']
