team,date,opponent,time,channel
ten,DATE,New Orleans Saints,invalid time,['TBD']
ten,"Sun, Sep 17",Los Angeles Chargers,invalid time,['TBD']
ten,"Sun, Sep 10",New Orleans Saints,invalid time,['TBD']
ten,"Sun, Oct 1",Cincinnati Bengals,invalid time,['TBD']
ten,"Sun, Sep 24",Cleveland Browns,invalid time,['TBD']
ten,"Sun, Oct 29",Atlanta Falcons,2023-10-29 17:00:00,['CBS']
ten,"Sun, Oct 8",Indianapolis Colts,invalid time,['TBD']
ten,"Sun, Nov 12",Tampa Bay Buccaneers,2023-11-12 18:00:00,['CBS']
ten,DATE,Atlanta Falcons,invalid time,['TBD']
ten,"Sun, Nov 26",Carolina Panthers,2023-11-26 18:00:00,['FOX']
ten,BYE WEEK,Atlanta Falcons,BYE WEEK,['BYE WEEK']
ten,"Mon, Dec 11",Miami Dolphins,2023-12-12 01:15:00,['ESPN']
ten,"Thu, Nov 2",Pittsburgh Steelers,2023-11-03 00:15:00,['PRIME VIDEO']
ten,"Sun, Dec 24",Seattle Seahawks,2023-12-24 18:00:00,['CBS']
ten,"Sun, Nov 19",Jacksonville Jaguars,2023-11-19 18:00:00,['CBS']
ten,"Sat, Aug 19",Minnesota Vikings,invalid time,['TBD']
ten,"Sat, Aug 19",Minnesota Vikings,invalid time,['TBD']
ten,"Sun, Jan 7",Jacksonville Jaguars,TBD,['TBD']
