team,date,opponent,time,channel
wsh,DATE,Arizona Cardinals,invalid time,['TBD']
wsh,"Sun, Sep 17",Denver Broncos,invalid time,['TBD']
wsh,"Sun, Sep 10",Arizona Cardinals,invalid time,['TBD']
wsh,"Sun, Oct 1",Philadelphia Eagles,invalid time,['TBD']
wsh,"Sun, Sep 24",Buffalo Bills,invalid time,['TBD']
wsh,"Sun, Oct 15",Atlanta Falcons,invalid time,['TBD']
wsh,"Thu, Oct 5",Chicago Bears,invalid time,['TBD']
wsh,"Sun, Nov 5",New England Patriots,2023-11-05 18:00:00,['FOX']
wsh,DATE,Philadelphia Eagles,invalid time,['TBD']
wsh,"Sun, Nov 19",New York Giants,2023-11-19 18:00:00,['FOX']
wsh,"Sun, Oct 29",Philadelphia Eagles,2023-10-29 17:00:00,['FOX']
wsh,"Sun, Dec 3",Miami Dolphins,2023-12-03 18:00:00,['FOX']
wsh,"Sun, Nov 12",Seattle Seahawks,2023-11-12 21:25:00,['FOX']
wsh,"Sun, Dec 17",Los Angeles Rams,2023-12-17 21:05:00,['CBS']
wsh,"Thu, Nov 23",Dallas Cowboys,2023-11-23 21:30:00,['CBS']
wsh,"Sun, Dec 31",San Francisco 49Ers,2023-12-31 18:00:00,['FOX']
wsh,BYE WEEK,Los Angeles Rams,BYE WEEK,['BYE WEEK']
wsh,"Mon, Aug 21",Baltimore Ravens,invalid time,['TBD']
wsh,"Sun, Dec 31",San Francisco 49Ers,2023-12-31 18:00:00,['FOX']
wsh,"Sun, Jan 7",Dallas Cowboys,TBD,['TBD']
