team,date,opponent,time,channel
ana,"Sat, Oct 14",Vegas Golden Knights,invalid time,['NHL CENTER ICE']
ana,"Sun, Oct 15",Carolina Hurricanes,invalid time,['NHL CENTER ICE']
ana,"Thu, Oct 19",Dallas Stars,invalid time,['NHL CENTER ICE']
ana,"Sat, Oct 21",Arizona Coyotes,invalid time,['NHL CENTER ICE']
ana,DATE,Columbus Blue Jackets,invalid time,['NHL CENTER ICE']
ana,"Thu, Oct 26",Boston Bruins,2023-10-26 23:00:00,['NHLPP|ESPN+']
ana,"Tue, Oct 24",Columbus Blue Jackets,2023-10-24 22:30:00,['NHLPP|ESPN+']
ana,"Mon, Oct 30",Pittsburgh Penguins,2023-10-30 23:00:00,['NHLPP|ESPN+']
ana,"Sat, Oct 28",Philadelphia Flyers,2023-10-28 17:00:00,['NHLPP|ESPN+']
ana,"Sun, Nov 5",Vegas Golden Knights,2023-11-06 01:00:00,['NHLPP|ESPN+']
ana,"Wed, Nov 1",Arizona Coyotes,2023-11-02 02:00:00,['NHLPP|ESPN+']
ana,"Fri, Nov 10",Philadelphia Flyers,2023-11-11 03:00:00,['NHL CENTER ICE']
ana,"Tue, Nov 7",Pittsburgh Penguins,2023-11-08 03:00:00,['NHL CENTER ICE']
ana,"Tue, Nov 14",Nashville Predators,2023-11-15 01:00:00,"['ESPN+', 'HULU']"
ana,"Sun, Nov 12",San Jose Sharks,2023-11-13 01:00:00,['NHL CENTER ICE']
ana,"Fri, Nov 17",Florida Panthers,2023-11-18 03:00:00,['NHL CENTER ICE']
ana,"Wed, Nov 15",Colorado Avalanche,2023-11-16 02:00:00,['NHL CENTER ICE']
ana,"Wed, Nov 22",Montreal Canadiens,2023-11-23 03:00:00,['NHL CENTER ICE']
ana,"Sun, Nov 19",St Louis Blues,2023-11-20 01:00:00,['NHL CENTER ICE']
ana,"Sun, Nov 26",Edmonton Oilers,2023-11-27 02:00:00,['NHL CENTER ICE']
ana,"Fri, Nov 24",Los Angeles Kings,2023-11-24 21:00:00,['NHL CENTER ICE']
ana,"Thu, Nov 30",Washington Capitals,2023-12-01 03:00:00,['NHL CENTER ICE']
ana,"Tue, Nov 28",Vancouver Canucks,2023-11-29 03:00:00,['NHL CENTER ICE']
ana,"Tue, Dec 5",Colorado Avalanche,2023-12-06 02:00:00,['NHL CENTER ICE']
ana,"Sat, Dec 2",Colorado Avalanche,2023-12-03 03:00:00,['NHL CENTER ICE']
ana,"Sun, Dec 10",Winnipeg Jets,2023-12-11 01:00:00,['NHL CENTER ICE']
ana,"Thu, Dec 7",Chicago Blackhawks,2023-12-08 01:30:00,['NHL CENTER ICE']
ana,"Fri, Dec 15",New York Rangers,2023-12-16 00:00:00,['NHL CENTER ICE']
ana,"Wed, Dec 13",New York Islanders,2023-12-14 00:30:00,['NHL CENTER ICE']
ana,"Mon, Dec 18",Detroit Red Wings,2023-12-19 00:00:00,['NHL CENTER ICE']
ana,"Sun, Dec 17",New Jersey Devils,2023-12-18 00:00:00,['NHL CENTER ICE']
ana,"Sat, Dec 23",Seattle Kraken,2023-12-24 01:00:00,['NHL CENTER ICE']
ana,"Thu, Dec 21",Calgary Flames,2023-12-22 03:00:00,['NHL CENTER ICE']
ana,"Fri, Dec 29",Arizona Coyotes,2023-12-30 03:00:00,['NHL CENTER ICE']
ana,"Wed, Dec 27",Vegas Golden Knights,2023-12-28 03:00:00,['NHL CENTER ICE']
ana,"Wed, Jan 3",Toronto Maple Leafs,2024-01-04 02:00:00,['NHL CENTER ICE']
ana,"Sun, Dec 31",Edmonton Oilers,2024-01-01 01:00:00,['NHL CENTER ICE']
ana,"Sun, Jan 7",Detroit Red Wings,2024-01-08 01:00:00,['NHL CENTER ICE']
ana,"Fri, Jan 5",Winnipeg Jets,2024-01-06 03:00:00,['NHL CENTER ICE']
ana,"Thu, Jan 11",Carolina Hurricanes,2024-01-12 00:00:00,['NHL CENTER ICE']
ana,"Tue, Jan 9",Nashville Predators,2024-01-10 01:00:00,['NHL CENTER ICE']
ana,"Mon, Jan 15",Florida Panthers,2024-01-15 18:00:00,['NHL CENTER ICE']
ana,"Sat, Jan 13",Tampa Bay Lightning,2024-01-14 00:00:00,['NHL CENTER ICE']
ana,"Sat, Jan 20",San Jose Sharks,2024-01-21 03:00:00,['NHL CENTER ICE']
ana,"Tue, Jan 16",Washington Capitals,2024-01-17 00:00:00,['NHL CENTER ICE']
ana,"Tue, Jan 23",Buffalo Sabres,2024-01-24 03:00:00,['NHL CENTER ICE']
ana,"Sun, Jan 21",New York Rangers,2024-01-22 01:30:00,['NHL CENTER ICE']
ana,"Sat, Jan 27",Minnesota Wild,2024-01-28 02:00:00,['NHL CENTER ICE']
ana,"Thu, Jan 25",Dallas Stars,2024-01-26 01:00:00,['NHL CENTER ICE']
ana,"Fri, Feb 9",Edmonton Oilers,2024-02-10 03:00:00,['NHL CENTER ICE']
ana,"Wed, Jan 31",San Jose Sharks,2024-02-01 03:00:00,['NHL CENTER ICE']
ana,"Thu, Feb 15",Ottawa Senators,2024-02-16 00:00:00,['NHL CENTER ICE']
ana,"Tue, Feb 13",Montreal Canadiens,2024-02-14 00:00:00,['NHL CENTER ICE']
ana,"Mon, Feb 19",Buffalo Sabres,2024-02-19 17:30:00,['NHL CENTER ICE']
ana,"Sat, Feb 17",Toronto Maple Leafs,2024-02-18 00:00:00,['NHL CENTER ICE']
ana,"Sat, Feb 24",Los Angeles Kings,2024-02-25 03:30:00,['NHL CENTER ICE']
ana,"Wed, Feb 21",Columbus Blue Jackets,2024-02-22 03:00:00,['NHL CENTER ICE']
ana,"Thu, Feb 29",San Jose Sharks,2024-03-01 03:30:00,['NHL CENTER ICE']
ana,"Sun, Feb 25",Nashville Predators,2024-02-26 01:00:00,['NHL CENTER ICE']
ana,"Sun, Mar 3",Vancouver Canucks,2024-03-04 01:00:00,['NHL CENTER ICE']
ana,"Fri, Mar 1",New Jersey Devils,2024-03-02 03:00:00,['NHL CENTER ICE']
ana,"Fri, Mar 8",Dallas Stars,2024-03-09 03:00:00,['NHL CENTER ICE']
ana,"Wed, Mar 6",Ottawa Senators,2024-03-07 03:00:00,['NHL CENTER ICE']
ana,"Tue, Mar 12",Chicago Blackhawks,2024-03-13 00:30:00,['NHL CENTER ICE']
ana,"Sun, Mar 10",New York Islanders,2024-03-11 00:00:00,['NHL CENTER ICE']
ana,"Fri, Mar 15",Winnipeg Jets,2024-03-16 00:00:00,['NHL CENTER ICE']
ana,"Thu, Mar 14",Minnesota Wild,2024-03-15 00:00:00,['NHL CENTER ICE']
ana,"Tue, Mar 19",Minnesota Wild,2024-03-20 02:00:00,"['ESPN+', 'HULU']"
ana,"Sun, Mar 17",St Louis Blues,2024-03-17 23:00:00,['NHL CENTER ICE']
ana,"Sun, Mar 24",Tampa Bay Lightning,2024-03-25 00:30:00,['NHL CENTER ICE']
ana,"Thu, Mar 21",Chicago Blackhawks,2024-03-22 02:00:00,['NHL CENTER ICE']
ana,"Thu, Mar 28",Seattle Kraken,2024-03-29 02:00:00,['NHL CENTER ICE']
ana,"Tue, Mar 26",Seattle Kraken,2024-03-27 02:00:00,['NHL CENTER ICE']
ana,"Sun, Mar 31",Vancouver Canucks,2024-03-31 19:30:00,['TNT']
ana,"Sat, Mar 30",Edmonton Oilers,2024-03-30 20:00:00,['NHL CENTER ICE']
ana,"Fri, Apr 5",Seattle Kraken,2024-04-06 02:00:00,['NHL CENTER ICE']
ana,"Tue, Apr 2",Calgary Flames,2024-04-03 01:00:00,['NHL CENTER ICE']
ana,"Tue, Apr 9",Los Angeles Kings,2024-04-10 02:00:00,['NHL CENTER ICE']
ana,"Sun, Apr 7",St Louis Blues,2024-04-08 00:00:00,['NHL CENTER ICE']
ana,"Sat, Apr 13",Los Angeles Kings,2024-04-14 02:30:00,['NHL CENTER ICE']
ana,"Fri, Apr 12",Calgary Flames,2024-04-13 02:00:00,['NHL CENTER ICE']
ana,"Thu, Apr 18",Vegas Golden Knights,2024-04-19 02:00:00,['NHL CENTER ICE']
