team,date,opponent,time,channel
ari,"Fri, Oct 13",New Jersey Devils,invalid time,['NHL CENTER ICE']
ari,"Mon, Oct 16",New York Rangers,invalid time,['NHL CENTER ICE']
ari,"Tue, Oct 17",New York Islanders,invalid time,['NHL CENTER ICE']
ari,"Thu, Oct 19",St Louis Blues,invalid time,['NHL CENTER ICE']
ari,DATE,Los Angeles Kings,invalid time,['NHL CENTER ICE']
ari,"Fri, Oct 27",Los Angeles Kings,2023-10-28 02:00:00,['NHLPP|ESPN+']
ari,"Tue, Oct 24",Los Angeles Kings,2023-10-25 02:30:00,['NHLPP|ESPN+']
ari,"Wed, Nov 1",Anaheim Ducks,2023-11-02 02:00:00,['NHLPP|ESPN+']
ari,"Mon, Oct 30",Chicago Blackhawks,2023-10-31 02:00:00,['NHLPP|ESPN+']
ari,"Sat, Nov 4",Winnipeg Jets,2023-11-04 20:00:00,['NHLPP|ESPN+']
ari,"Thu, Nov 2",Montreal Canadiens,2023-11-03 02:00:00,['NHLPP|ESPN+']
ari,"Thu, Nov 9",St Louis Blues,2023-11-10 01:00:00,['NHL CENTER ICE']
ari,"Tue, Nov 7",Seattle Kraken,2023-11-08 02:00:00,['NHL CENTER ICE']
ari,"Tue, Nov 14",Dallas Stars,2023-11-15 01:00:00,['NHL CENTER ICE']
ari,"Sat, Nov 11",Nashville Predators,2023-11-12 01:00:00,['NHL CENTER ICE']
ari,"Sat, Nov 18",Winnipeg Jets,2023-11-19 00:00:00,['NHL CENTER ICE']
ari,"Thu, Nov 16",Columbus Blue Jackets,2023-11-17 00:00:00,['NHL CENTER ICE']
ari,"Wed, Nov 22",St Louis Blues,2023-11-23 02:00:00,['NHL CENTER ICE']
ari,"Mon, Nov 20",Los Angeles Kings,2023-11-21 02:00:00,['NHL CENTER ICE']
ari,"Tue, Nov 28",Tampa Bay Lightning,2023-11-29 02:00:00,['NHL CENTER ICE']
ari,"Sat, Nov 25",Vegas Golden Knights,2023-11-26 03:00:00,['NHL CENTER ICE']
ari,"Sat, Dec 2",St Louis Blues,2023-12-03 02:00:00,['NHL CENTER ICE']
ari,"Thu, Nov 30",Colorado Avalanche,2023-12-01 02:00:00,['NHL CENTER ICE']
ari,"Thu, Dec 7",Philadelphia Flyers,2023-12-08 02:00:00,['NHL CENTER ICE']
ari,"Mon, Dec 4",Washington Capitals,2023-12-05 02:00:00,['NHL CENTER ICE']
ari,"Mon, Dec 11",Buffalo Sabres,2023-12-12 00:00:00,['NHL CENTER ICE']
ari,"Sat, Dec 9",Boston Bruins,2023-12-09 18:00:00,['NHL CENTER ICE']
ari,"Fri, Dec 15",San Jose Sharks,2023-12-16 02:00:00,['NHL CENTER ICE']
ari,"Tue, Dec 12",Pittsburgh Penguins,2023-12-13 00:00:00,['NHL CENTER ICE']
ari,"Tue, Dec 19",Ottawa Senators,2023-12-20 02:00:00,['NHL CENTER ICE']
ari,"Sat, Dec 16",Buffalo Sabres,2023-12-17 02:00:00,['NHL CENTER ICE']
ari,"Sat, Dec 23",Colorado Avalanche,2023-12-24 02:00:00,['NHL CENTER ICE']
ari,"Thu, Dec 21",San Jose Sharks,2023-12-22 03:30:00,"['ESPN+', 'HULU']"
ari,"Fri, Dec 29",Anaheim Ducks,2023-12-30 03:00:00,['NHL CENTER ICE']
ari,"Wed, Dec 27",Colorado Avalanche,2023-12-28 02:00:00,['NHL CENTER ICE']
ari,"Thu, Jan 4",New York Islanders,2024-01-05 02:00:00,['NHL CENTER ICE']
ari,"Tue, Jan 2",Florida Panthers,2024-01-03 02:00:00,['NHL CENTER ICE']
ari,"Tue, Jan 9",Boston Bruins,2024-01-10 02:00:00,['NHL CENTER ICE']
ari,"Sun, Jan 7",Winnipeg Jets,2024-01-08 00:00:00,['NHL CENTER ICE']
ari,"Sat, Jan 13",Minnesota Wild,2024-01-14 01:00:00,['NHL CENTER ICE']
ari,"Thu, Jan 11",Calgary Flames,2024-01-12 02:00:00,['NHL CENTER ICE']
ari,"Thu, Jan 18",Vancouver Canucks,2024-01-19 03:00:00,['NHL CENTER ICE']
ari,"Tue, Jan 16",Calgary Flames,2024-01-17 02:00:00,['NHL CENTER ICE']
ari,"Mon, Jan 22",Pittsburgh Penguins,2024-01-23 02:00:00,['NHL CENTER ICE']
ari,"Sat, Jan 20",Nashville Predators,2024-01-20 20:00:00,['NHL CENTER ICE']
ari,"Thu, Jan 25",Tampa Bay Lightning,2024-01-26 00:00:00,['NHL CENTER ICE']
ari,"Wed, Jan 24",Florida Panthers,2024-01-25 00:00:00,['NHL CENTER ICE']
ari,"Thu, Feb 8",Vegas Golden Knights,2024-02-09 02:00:00,['NHL CENTER ICE']
ari,"Sat, Jan 27",Carolina Hurricanes,2024-01-28 00:00:00,['NHL CENTER ICE']
ari,"Mon, Feb 12",Philadelphia Flyers,2024-02-13 00:00:00,['NHL CENTER ICE']
ari,"Sat, Feb 10",Nashville Predators,2024-02-11 01:00:00,['NHL CENTER ICE']
ari,"Fri, Feb 16",Carolina Hurricanes,2024-02-17 02:00:00,['NHL CENTER ICE']
ari,"Wed, Feb 14",Minnesota Wild,2024-02-15 02:30:00,['NHL CENTER ICE']
ari,"Mon, Feb 19",Edmonton Oilers,2024-02-19 21:00:00,['NHL CENTER ICE']
ari,"Sun, Feb 18",Colorado Avalanche,2024-02-18 23:00:00,['NHL CENTER ICE']
ari,"Sun, Feb 25",Winnipeg Jets,2024-02-25 23:00:00,['NHL CENTER ICE']
ari,"Wed, Feb 21",Toronto Maple Leafs,2024-02-22 03:00:00,['NHL CENTER ICE']
ari,"Thu, Feb 29",Toronto Maple Leafs,2024-03-01 00:00:00,['NHL CENTER ICE']
ari,"Tue, Feb 27",Montreal Canadiens,2024-02-28 00:00:00,['NHL CENTER ICE']
ari,"Sun, Mar 3",Washington Capitals,2024-03-03 18:00:00,['NHL CENTER ICE']
ari,"Fri, Mar 1",Ottawa Senators,2024-03-02 00:00:00,['NHL CENTER ICE']
ari,"Thu, Mar 7",Minnesota Wild,2024-03-08 02:00:00,['NHL CENTER ICE']
ari,"Tue, Mar 5",Chicago Blackhawks,2024-03-06 02:00:00,['NHL CENTER ICE']
ari,"Sun, Mar 10",Chicago Blackhawks,2024-03-10 22:00:00,['NHL CENTER ICE']
ari,"Fri, Mar 8",Detroit Red Wings,2024-03-09 02:00:00,['NHL CENTER ICE']
ari,"Thu, Mar 14",Detroit Red Wings,2024-03-14 23:00:00,['NHL CENTER ICE']
ari,"Tue, Mar 12",Minnesota Wild,2024-03-13 00:00:00,['NHL CENTER ICE']
ari,"Wed, Mar 20",Dallas Stars,2024-03-21 00:00:00,['NHL CENTER ICE']
ari,"Sat, Mar 16",New Jersey Devils,2024-03-16 21:00:00,['NHL CENTER ICE']
ari,"Sun, Mar 24",Dallas Stars,2024-03-25 00:00:00,['NHL CENTER ICE']
ari,"Fri, Mar 22",Seattle Kraken,2024-03-23 02:00:00,['NHL CENTER ICE']
