team,date,opponent,time,channel
bos,"Wed, Oct 11",Chicago Blackhawks,invalid time,['NHL CENTER ICE']
bos,"Sat, Oct 14",Nashville Predators,invalid time,['NHL CENTER ICE']
bos,"Thu, Oct 19",San Jose Sharks,invalid time,['NHL CENTER ICE']
bos,"Sat, Oct 21",Los Angeles Kings,invalid time,['NHL CENTER ICE']
bos,DATE,Chicago Blackhawks,invalid time,['NHL CENTER ICE']
bos,"Thu, Oct 26",Anaheim Ducks,2023-10-26 23:00:00,['NHLPP|ESPN+']
bos,"Tue, Oct 24",Chicago Blackhawks,2023-10-25 00:30:00,"['ESPN', 'ESPN+']"
bos,"Mon, Oct 30",Florida Panthers,2023-10-30 23:00:00,['NHLPP|ESPN+']
bos,"Sat, Oct 28",Detroit Red Wings,2023-10-28 23:00:00,['NHLPP|ESPN+']
bos,"Sat, Nov 4",Detroit Red Wings,2023-11-04 23:00:00,['NHLPP|ESPN+']
bos,"Thu, Nov 2",Toronto Maple Leafs,2023-11-02 23:30:00,"['ESPN+', 'HULU']"
bos,"Thu, Nov 9",New York Islanders,2023-11-10 00:00:00,['NHL CENTER ICE']
bos,"Mon, Nov 6",Dallas Stars,2023-11-07 01:00:00,['NHL CENTER ICE']
bos,"Tue, Nov 14",Buffalo Sabres,2023-11-15 00:00:00,['NHL CENTER ICE']
bos,"Sat, Nov 11",Montreal Canadiens,2023-11-12 00:00:00,['NHL CENTER ICE']
bos,"Mon, Nov 20",Tampa Bay Lightning,2023-11-21 00:00:00,['NHL CENTER ICE']
bos,"Sat, Nov 18",Montreal Canadiens,2023-11-19 00:00:00,['NHL CENTER ICE']
bos,"Fri, Nov 24",Detroit Red Wings,2023-11-24 18:00:00,['NHL CENTER ICE']
bos,"Wed, Nov 22",Florida Panthers,2023-11-23 00:00:00,['TNT']
bos,"Mon, Nov 27",Columbus Blue Jackets,2023-11-28 00:00:00,['NHL CENTER ICE']
bos,"Sat, Nov 25",New York Rangers,2023-11-25 18:00:00,['NHL CENTER ICE']
bos,"Sat, Dec 2",Toronto Maple Leafs,2023-12-03 00:00:00,['NHL CENTER ICE']
bos,"Thu, Nov 30",San Jose Sharks,2023-12-01 00:00:00,['NHL CENTER ICE']
bos,"Thu, Dec 7",Buffalo Sabres,2023-12-08 00:00:00,['NHL CENTER ICE']
bos,"Sun, Dec 3",Columbus Blue Jackets,2023-12-04 00:00:00,['NHL CENTER ICE']
bos,"Wed, Dec 13",New Jersey Devils,2023-12-14 00:00:00,['TNT']
bos,"Sat, Dec 9",Arizona Coyotes,2023-12-09 18:00:00,['NHL CENTER ICE']
bos,"Sat, Dec 16",New York Rangers,2023-12-17 00:00:00,['NHL CENTER ICE']
bos,"Fri, Dec 15",New York Islanders,2023-12-16 00:30:00,['NHL CENTER ICE']
bos,"Fri, Dec 22",Winnipeg Jets,2023-12-23 01:00:00,['NHL CENTER ICE']
bos,"Tue, Dec 19",Minnesota Wild,2023-12-20 00:00:00,['NHL CENTER ICE']
bos,"Wed, Dec 27",Buffalo Sabres,2023-12-28 00:30:00,['TNT']
bos,"Sat, Dec 23",Minnesota Wild,2023-12-24 00:00:00,['NHL CENTER ICE']
bos,"Sun, Dec 31",Detroit Red Wings,2023-12-31 22:00:00,['NHL CENTER ICE']
bos,"Sat, Dec 30",New Jersey Devils,2023-12-31 00:00:00,['NHL CENTER ICE']
bos,"Thu, Jan 4",Pittsburgh Penguins,2024-01-05 00:00:00,['ESPN']
bos,"Tue, Jan 2",Columbus Blue Jackets,2024-01-03 00:00:00,['NHL CENTER ICE']
bos,"Mon, Jan 8",Colorado Avalanche,2024-01-09 02:00:00,['NHL CENTER ICE']
bos,"Sat, Jan 6",Tampa Bay Lightning,2024-01-07 00:00:00,['NHL CENTER ICE']
bos,"Thu, Jan 11",Vegas Golden Knights,2024-01-12 03:00:00,['NHL CENTER ICE']
bos,"Tue, Jan 9",Arizona Coyotes,2024-01-10 02:00:00,['NHL CENTER ICE']
