team,date,opponent,time,channel
buf,"Thu, Oct 12",New York Rangers,invalid time,['NHL CENTER ICE']
buf,"Sat, Oct 14",New York Islanders,invalid time,['NHL CENTER ICE']
buf,"Tue, Oct 17",Tampa Bay Lightning,invalid time,['NHL CENTER ICE']
buf,"Thu, Oct 19",Calgary Flames,invalid time,['NHL CENTER ICE']
buf,DATE,Montreal Canadiens,invalid time,['NHL CENTER ICE']
buf,"Tue, Oct 24",Ottawa Senators,2023-10-24 22:45:00,['NHLPP|ESPN+']
buf,"Mon, Oct 23",Montreal Canadiens,invalid time,['NHL NET']
buf,"Sun, Oct 29",Colorado Avalanche,2023-10-29 17:00:00,['NHLPP|ESPN+']
buf,"Fri, Oct 27",New Jersey Devils,2023-10-27 23:00:00,['NHLPP|ESPN+']
buf,"Fri, Nov 3",Philadelphia Flyers,2023-11-03 23:00:00,['NHL NET']
buf,"Wed, Nov 1",Philadelphia Flyers,2023-11-01 23:00:00,['TNT']
buf,"Tue, Nov 7",Carolina Hurricanes,2023-11-08 00:00:00,['NHL CENTER ICE']
buf,"Sat, Nov 4",Toronto Maple Leafs,2023-11-04 23:00:00,['NHL NET']
buf,"Sat, Nov 11",Pittsburgh Penguins,2023-11-12 00:00:00,['NHL CENTER ICE']
buf,"Fri, Nov 10",Minnesota Wild,2023-11-11 00:00:00,['NHL CENTER ICE']
buf,"Fri, Nov 17",Winnipeg Jets,2023-11-18 01:00:00,['NHL CENTER ICE']
buf,"Tue, Nov 14",Boston Bruins,2023-11-15 00:00:00,['NHL CENTER ICE']
buf,"Wed, Nov 22",Washington Capitals,2023-11-23 00:00:00,['NHL CENTER ICE']
buf,"Sun, Nov 19",Chicago Blackhawks,2023-11-20 00:00:00,['NHL CENTER ICE']
buf,"Sat, Nov 25",New Jersey Devils,2023-11-26 00:00:00,['NHL CENTER ICE']
buf,"Fri, Nov 24",Pittsburgh Penguins,2023-11-24 23:00:00,['TNT']
buf,"Thu, Nov 30",St Louis Blues,2023-12-01 01:00:00,['NHL CENTER ICE']
buf,"Mon, Nov 27",New York Rangers,2023-11-28 00:00:00,['NHL CENTER ICE']
buf,"Sun, Dec 3",Nashville Predators,2023-12-04 00:00:00,['NHL CENTER ICE']
buf,"Sat, Dec 2",Carolina Hurricanes,2023-12-03 00:00:00,['NHL CENTER ICE']
buf,"Thu, Dec 7",Boston Bruins,2023-12-08 00:00:00,['NHL CENTER ICE']
buf,"Tue, Dec 5",Detroit Red Wings,2023-12-06 00:30:00,"['ESPN+', 'HULU']"
buf,"Mon, Dec 11",Arizona Coyotes,2023-12-12 00:00:00,['NHL CENTER ICE']
buf,"Sat, Dec 9",Montreal Canadiens,2023-12-10 00:00:00,['NHL CENTER ICE']
buf,"Fri, Dec 15",Vegas Golden Knights,2023-12-16 03:00:00,['NHL CENTER ICE']
buf,"Wed, Dec 13",Colorado Avalanche,2023-12-14 02:30:00,['TNT']
buf,"Tue, Dec 19",Columbus Blue Jackets,2023-12-20 00:00:00,['NHL CENTER ICE']
buf,"Sat, Dec 16",Arizona Coyotes,2023-12-17 02:00:00,['NHL CENTER ICE']
buf,"Sat, Dec 23",New York Rangers,2023-12-24 00:30:00,['NHL CENTER ICE']
buf,"Thu, Dec 21",Toronto Maple Leafs,2023-12-22 00:00:00,['NHL CENTER ICE']
buf,"Sat, Dec 30",Columbus Blue Jackets,2023-12-30 22:00:00,['NHL CENTER ICE']
buf,"Wed, Dec 27",Boston Bruins,2023-12-28 00:30:00,['TNT']
buf,"Thu, Jan 4",Montreal Canadiens,2024-01-05 00:00:00,['NHL CENTER ICE']
buf,"Sun, Dec 31",Ottawa Senators,2023-12-31 23:00:00,['NHL CENTER ICE']
buf,"Tue, Jan 9",Seattle Kraken,2024-01-10 00:00:00,['NHL CENTER ICE']
buf,"Sat, Jan 6",Pittsburgh Penguins,2024-01-07 00:00:00,['NHL CENTER ICE']
buf,"Sat, Jan 13",Vancouver Canucks,2024-01-13 21:00:00,['NHL CENTER ICE']
buf,"Thu, Jan 11",Ottawa Senators,2024-01-12 00:00:00,['NHL CENTER ICE']
buf,"Wed, Jan 17",Chicago Blackhawks,2024-01-18 00:30:00,['TNT']
buf,"Mon, Jan 15",San Jose Sharks,2024-01-15 18:00:00,['NHL CENTER ICE']
buf,"Tue, Jan 23",Anaheim Ducks,2024-01-24 03:00:00,['NHL CENTER ICE']
buf,"Sat, Jan 20",Tampa Bay Lightning,2024-01-20 17:30:00,['NHL CENTER ICE']
buf,"Sat, Jan 27",San Jose Sharks,2024-01-27 21:00:00,['NHL CENTER ICE']
buf,"Wed, Jan 24",Los Angeles Kings,2024-01-25 03:30:00,['NHL CENTER ICE']
buf,"Sat, Feb 10",St Louis Blues,2024-02-10 18:00:00,"['ABC', 'ESPN+']"
buf,"Tue, Feb 6",Dallas Stars,2024-02-07 00:00:00,['NHL CENTER ICE']
buf,"Thu, Feb 15",Florida Panthers,2024-02-16 00:00:00,['NHL CENTER ICE']
buf,"Tue, Feb 13",Los Angeles Kings,2024-02-14 00:00:00,['NHL CENTER ICE']
buf,"Mon, Feb 19",Anaheim Ducks,2024-02-19 17:30:00,['NHL CENTER ICE']
buf,"Sat, Feb 17",Minnesota Wild,2024-02-17 22:00:00,['NHL CENTER ICE']
buf,"Fri, Feb 23",Columbus Blue Jackets,2024-02-24 00:00:00,['NHL CENTER ICE']
buf,"Wed, Feb 21",Montreal Canadiens,2024-02-22 00:00:00,['NHL CENTER ICE']
buf,"Tue, Feb 27",Florida Panthers,2024-02-28 00:00:00,"['ESPN+', 'HULU']"
buf,"Sun, Feb 25",Carolina Hurricanes,2024-02-25 23:00:00,['NHL CENTER ICE']
buf,"Sat, Mar 2",Vegas Golden Knights,2024-03-03 00:00:00,"['ESPN+', 'HULU']"
buf,"Thu, Feb 29",Tampa Bay Lightning,2024-03-01 00:00:00,['NHL CENTER ICE']
buf,"Wed, Mar 6",Toronto Maple Leafs,2024-03-07 00:00:00,['TNT']
buf,"Sun, Mar 3",Winnipeg Jets,2024-03-04 00:00:00,['NHL CENTER ICE']
buf,"Sat, Mar 9",Edmonton Oilers,2024-03-09 17:30:00,"['ESPN+', 'HULU']"
buf,"Thu, Mar 7",Nashville Predators,2024-03-08 01:00:00,['NHL CENTER ICE']
buf,"Thu, Mar 14",New York Islanders,2024-03-14 23:30:00,"['ESPN+', 'HULU']"
buf,"Tue, Mar 12",Detroit Red Wings,2024-03-12 23:00:00,['NHL CENTER ICE']
buf,"Mon, Mar 18",Seattle Kraken,2024-03-19 02:00:00,['NHL CENTER ICE']
buf,"Sat, Mar 16",Detroit Red Wings,2024-03-16 16:30:00,['NHL CENTER ICE']
buf,"Thu, Mar 21",Edmonton Oilers,2024-03-22 01:00:00,['NHL CENTER ICE']
buf,"Tue, Mar 19",Vancouver Canucks,2024-03-20 02:00:00,['NHL CENTER ICE']
buf,"Wed, Mar 27",Ottawa Senators,2024-03-27 23:00:00,['NHL CENTER ICE']
buf,"Sun, Mar 24",Calgary Flames,2024-03-25 01:00:00,['NHL CENTER ICE']
buf,"Sat, Mar 30",Toronto Maple Leafs,2024-03-30 23:00:00,"['ESPN+', 'HULU']"
buf,"Fri, Mar 29",New Jersey Devils,2024-03-29 23:00:00,['NHL CENTER ICE']
buf,"Fri, Apr 5",Philadelphia Flyers,2024-04-05 23:00:00,['NHL CENTER ICE']
buf,"Tue, Apr 2",Washington Capitals,2024-04-02 23:00:00,['NHL CENTER ICE']
buf,"Tue, Apr 9",Dallas Stars,2024-04-10 00:00:00,['NHL CENTER ICE']
buf,"Sun, Apr 7",Detroit Red Wings,2024-04-07 17:00:00,['TNT']
