team,date,opponent,time,channel
car,"Wed, Oct 11",Ottawa Senators,invalid time,['NHL CENTER ICE']
car,"Sat, Oct 14",Los Angeles Kings,invalid time,['NHL CENTER ICE']
car,"Sun, Oct 15",Anaheim Ducks,invalid time,['NHL CENTER ICE']
car,"Tue, Oct 17",San Jose Sharks,invalid time,['NHL CENTER ICE']
car,"Thu, Oct 19",Seattle Kraken,invalid time,['NHL CENTER ICE']
car,"Thu, Oct 26",Seattle Kraken,2023-10-26 23:00:00,['NHLPP|ESPN+']
car,DATE,Tampa Bay Lightning,invalid time,['NHL CENTER ICE']
car,"Mon, Oct 30",Philadelphia Flyers,2023-10-30 23:00:00,['NHLPP|ESPN+']
car,"Tue, Oct 24",Tampa Bay Lightning,2023-10-24 23:00:00,['NHLPP|ESPN+']
car,"Sat, Nov 4",New York Islanders,2023-11-04 23:30:00,['NHLPP|ESPN+']
car,"Fri, Oct 27",San Jose Sharks,2023-10-27 23:00:00,['NHLPP|ESPN+']
car,"Fri, Nov 10",Florida Panthers,2023-11-11 00:00:00,['NHL CENTER ICE']
car,"Thu, Nov 2",New York Rangers,2023-11-02 23:00:00,['NHLPP|ESPN+']
car,"Wed, Nov 15",Philadelphia Flyers,2023-11-16 00:30:00,['TNT']
car,"Tue, Nov 7",Buffalo Sabres,2023-11-08 00:00:00,['NHL CENTER ICE']
car,"Wed, Nov 22",Edmonton Oilers,2023-11-23 00:00:00,['NHL CENTER ICE']
car,"Sat, Nov 11",Tampa Bay Lightning,2023-11-12 00:00:00,['NHL CENTER ICE']
car,"Sun, Nov 26",Columbus Blue Jackets,2023-11-26 22:00:00,['NHL CENTER ICE']
car,"Sat, Nov 18",Pittsburgh Penguins,2023-11-19 00:00:00,['NHL CENTER ICE']
car,"Thu, Nov 30",New York Islanders,2023-12-01 00:30:00,"['ESPN+', 'HULU']"
car,"Fri, Nov 24",Tampa Bay Lightning,2023-11-24 20:00:00,['NHL CENTER ICE']
car,"Mon, Dec 4",Winnipeg Jets,2023-12-05 02:00:00,['NHL CENTER ICE']
car,"Tue, Nov 28",Philadelphia Flyers,2023-11-29 00:30:00,"['ESPN+', 'HULU']"
car,"Thu, Dec 7",Calgary Flames,2023-12-08 02:00:00,['NHL CENTER ICE']
car,"Sat, Dec 2",Buffalo Sabres,2023-12-03 00:00:00,['NHL CENTER ICE']
car,"Tue, Dec 12",Ottawa Senators,2023-12-13 00:00:00,['NHL CENTER ICE']
car,"Wed, Dec 6",Edmonton Oilers,2023-12-07 02:30:00,['TNT']
car,"Fri, Dec 15",Nashville Predators,2023-12-16 00:30:00,"['ESPN+', 'HULU']"
car,"Sat, Dec 9",Vancouver Canucks,2023-12-10 03:00:00,['NHL CENTER ICE']
car,"Tue, Dec 19",Vegas Golden Knights,2023-12-20 00:00:00,['NHL CENTER ICE']
car,"Thu, Dec 14",Detroit Red Wings,2023-12-15 00:30:00,"['ESPN+', 'HULU']"
car,"Sat, Dec 23",New York Islanders,2023-12-24 00:30:00,['NHL CENTER ICE']
car,"Sun, Dec 17",Washington Capitals,2023-12-17 23:00:00,['NHL CENTER ICE']
car,"Thu, Dec 28",Montreal Canadiens,2023-12-29 00:00:00,['NHL CENTER ICE']
car,"Thu, Dec 21",Pittsburgh Penguins,2023-12-22 00:00:00,['NHL CENTER ICE']
car,"Tue, Jan 2",New York Rangers,2024-01-03 00:00:00,['NHL CENTER ICE']
car,"Wed, Dec 27",Nashville Predators,2023-12-28 01:00:00,['NHL CENTER ICE']
car,"Sat, Jan 6",St Louis Blues,2024-01-07 01:00:00,['NHL CENTER ICE']
car,"Sat, Dec 30",Toronto Maple Leafs,2023-12-31 00:00:00,['NHL CENTER ICE']
car,"Sat, Jan 13",Pittsburgh Penguins,2024-01-14 00:00:00,['NHL CENTER ICE']
car,"Fri, Jan 5",Washington Capitals,2024-01-06 00:00:00,['NHL CENTER ICE']
car,"Fri, Jan 19",Detroit Red Wings,2024-01-20 00:00:00,['NHL CENTER ICE']
car,"Thu, Jan 11",Anaheim Ducks,2024-01-12 00:00:00,['NHL CENTER ICE']
car,"Wed, Jan 24",Boston Bruins,2024-01-25 00:30:00,['TNT']
car,"Mon, Jan 15",Los Angeles Kings,2024-01-15 20:00:00,['NHL CENTER ICE']
car,"Sat, Jan 27",Arizona Coyotes,2024-01-28 00:00:00,['NHL CENTER ICE']
car,"Sun, Jan 21",Minnesota Wild,2024-01-21 22:00:00,['NHL CENTER ICE']
car,"Thu, Feb 8",Colorado Avalanche,2024-02-09 01:00:00,['NHL CENTER ICE']
car,"Thu, Jan 25",New Jersey Devils,2024-01-26 00:30:00,"['ESPN+', 'HULU']"
car,"Tue, Feb 13",Dallas Stars,2024-02-14 01:00:00,['NHL CENTER ICE']
car,"Tue, Feb 6",Vancouver Canucks,2024-02-07 00:00:00,['NHL CENTER ICE']
car,"Sat, Feb 17",Vegas Golden Knights,2024-02-18 03:30:00,['NHL CENTER ICE']
car,"Sat, Feb 10",New Jersey Devils,2024-02-11 00:00:00,['NHL CENTER ICE']
car,"Thu, Feb 22",Florida Panthers,2024-02-23 00:00:00,['NHL CENTER ICE']
car,"Fri, Feb 16",Arizona Coyotes,2024-02-17 02:00:00,['NHL CENTER ICE']
car,"Sun, Feb 25",Buffalo Sabres,2024-02-25 23:00:00,['NHL CENTER ICE']
car,"Mon, Feb 19",Chicago Blackhawks,2024-02-19 18:00:00,['NHL CENTER ICE']
car,"Thu, Feb 29",Columbus Blue Jackets,2024-03-01 00:00:00,"['ESPN+', 'HULU']"
car,"Sat, Feb 24",Dallas Stars,2024-02-25 01:00:00,['NHL CENTER ICE']
car,"Thu, Mar 7",Montreal Canadiens,2024-03-08 00:00:00,['NHL CENTER ICE']
car,"Tue, Feb 27",Minnesota Wild,2024-02-28 01:00:00,['NHL CENTER ICE']
car,"Sun, Mar 10",Calgary Flames,2024-03-10 21:00:00,['NHL CENTER ICE']
car,"Sat, Mar 2",Winnipeg Jets,2024-03-02 17:30:00,['NHL CENTER ICE']
car,"Thu, Mar 14",Florida Panthers,2024-03-14 23:00:00,['NHL CENTER ICE']
car,"Sat, Mar 9",New Jersey Devils,2024-03-09 17:30:00,['NHL CENTER ICE']
car,"Sun, Mar 17",Ottawa Senators,2024-03-17 22:00:00,['NHL CENTER ICE']
car,"Tue, Mar 12",New York Rangers,2024-03-12 23:00:00,['NHL CENTER ICE']
car,"Thu, Mar 21",Philadelphia Flyers,2024-03-21 23:00:00,['NHL CENTER ICE']
car,"Sat, Mar 16",Toronto Maple Leafs,2024-03-16 23:00:00,['NHL CENTER ICE']
car,"Sun, Mar 24",Toronto Maple Leafs,2024-03-24 22:00:00,['NHL CENTER ICE']
car,"Tue, Mar 19",New York Islanders,2024-03-19 23:30:00,"['ESPN+', 'HULU']"
car,"Thu, Mar 28",Detroit Red Wings,2024-03-28 23:30:00,"['ESPN+', 'HULU']"
car,"Fri, Mar 22",Washington Capitals,2024-03-22 23:00:00,['NHL CENTER ICE']
car,"Thu, Apr 4",Boston Bruins,2024-04-04 23:00:00,['NHL CENTER ICE']
car,"Tue, Mar 26",Pittsburgh Penguins,2024-03-26 23:00:00,['NHL CENTER ICE']
car,"Sun, Apr 7",Columbus Blue Jackets,2024-04-07 21:00:00,['NHL CENTER ICE']
car,"Sat, Mar 30",Montreal Canadiens,2024-03-30 23:00:00,['NHL CENTER ICE']
car,"Fri, Apr 12",St Louis Blues,2024-04-13 00:00:00,['NHL CENTER ICE']
car,"Tue, Apr 9",Boston Bruins,2024-04-09 23:00:00,['NHL CENTER ICE']
car,"Tue, Apr 16",Columbus Blue Jackets,2024-04-16 23:00:00,['NHL CENTER ICE']
